Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Utilities-Renewable,113.09,-34.47,0.63,0.86,0.52,0.62,0.22,99,99,99,1,68,2743.T
2,Beverages-Wineries & Distilleries,46.34,4.230000000000004,0.41,0.7,0.59,0.64,0.57,98,98,87,94,94,2540.T
3,Waste Management,42.13,12.100000000000001,0.75,0.35,0.56,,0.56,96,89,98,99,98,2325.T
4,Integrated Freight & Logistics,31.64,2.219999999999999,0.44,0.62,0.79,0.42,0.75,94,87,89,60,96,2384.T
5,Health Information Services,31.57,-10.530000000000001,0.52,0.71,0.53,0.75,0.57,91,96,83,98,87,2413.T
6,Infrastructure Operations,31.19,-5.84,0.63,0.77,0.69,0.59,0.65,89,94,94,91,70,2353.T
7,Specialty Business Services,28.465,2.8324999999999996,0.7775,0.7324999999999999,0.6475,0.4275,0.44999999999999996,87,79,49,77,79,"2498.T,2480.T,2499.T,2749.T"
8,Diagnostics & Research,27.72,-0.0400000000000027,0.82,0.87,0.53,0.44,0.13,85,85,4,19,23,2395.T
9,Advertising Agencies,27.571999999999996,3.681999999999995,0.604,0.62,0.61,0.572,0.504,83,77,85,89,32,"2656.T,2436.T,2461.T,2411.T,2433.T"
10,Apparel Retail,24.066666666666666,-1.9333333333333336,0.29666666666666663,0.6166666666666667,0.5800000000000001,0.4666666666666666,0.26666666666666666,81,83,96,79,81,"2726.T,2670.T,2686.T"
11,Internet Retail,23.883333333333336,-9.830000000000002,0.5133333333333333,0.63,0.6466666666666666,0.26333333333333336,0.33,79,91,43,6,2,"2673.T,2652.T,2678.T"
12,Confectioners,21.273999999999997,1.9100000000000001,0.5439999999999999,0.62,0.608,0.36,0.542,77,68,74,81,74,"2216.T,2221.T,2201.T,2211.T,2217.T"
13,Information Technology Services,20.64428571428571,-1.0271428571428594,0.545,0.6192857142857143,0.5871428571428572,0.5221428571428571,0.4785714285714286,74,74,64,40,72,"2315.T,2488.T,2317.T,2185.T,2335.T,2332.T,2359.T,2354.T,2391.T,2493.T,2349.T,2338.T,2375.T,2327.T"
14,Packaged Foods,19.729,0.17099999999999937,0.5385,0.623,0.6014999999999999,0.532,0.5549999999999999,72,70,47,57,28,"2700.T,2296.T,2286.T,2607.T,2288.T,2654.T,2215.T,2264.T,2220.T,2224.T,2266.T,2612.T,2226.T,2669.T,250A.T,2204.T,2291.T,2269.T,2229.T,2293.T"
