Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Farm Products,40.79,3.3500000000000014,0.68,0.6,0.7,0.65,0.44,99,99,98,92,90,2924.T
2,Electronics & Computer Distribution,36.13,3.6500000000000057,0.77,0.62,0.51,0.67,0.46,98,92,85,85,68,3020.T
3,Real Estate Services,26.381999999999998,2.4319999999999986,0.6359999999999999,0.686,0.5780000000000001,0.6439999999999999,0.426,95,85,75,75,88,"2982.T,2970.T,2991.T,2780.T,2980.T"
4,Pharmaceutical Retailers,25.96,-3.789999999999999,0.39,0.515,0.675,0.565,0.575,92,90,88,88,75,"3034.T,3088.T"
5,Building Materials,25.2,13.29,0.83,0.63,0.68,0.57,0.71,90,57,62,18,52,3157.T
6,Industrial Distribution,25.17,4.330000000000002,0.7749999999999999,0.76,0.665,0.495,0.395,88,72,52,32,78,"3153.T,3176.T"
7,Semiconductor Equipment & Materials,23.77,-10.470000000000002,0.63,0.93,0.58,0.51,0.57,85,95,15,10,8,3089.T
8,Auto & Truck Dealerships,21.36,-1.115000000000002,0.72,0.72,0.5349999999999999,0.545,0.5,82,80,70,52,18,"3186.T,3011.T"
9,Medical Care Facilities,17.78,-7.699999999999999,0.34,0.45,0.54,0.46,0.27,80,88,99,99,99,2901.T
10,Textile Manufacturing,17.46,1.3800000000000026,0.7525,0.74,0.47000000000000003,0.495,0.5075,78,68,72,40,35,"3123.T,3201.T,3202.T,3110.T"
11,Food Distribution,16.455000000000002,3.347500000000002,0.705,0.685,0.635,0.39749999999999996,0.5175000000000001,75,60,45,15,57,"2874.T,3143.T,3160.T,2816.T"
12,Gambling,16.32,-7.489999999999998,0.31,0.33,0.91,0.5,0.31,72,82,92,80,5,2767.T
13,Software-Infrastructure,15.93,-5.530000000000001,0.62,0.57,0.63,0.74,0.61,70,75,68,78,62,3040.T
14,Other Industrial Metals & Mining,15.910000000000002,-3.4233333333333302,0.49666666666666665,0.7033333333333333,0.6633333333333333,0.6966666666666667,0.5266666666666667,68,70,80,45,48,"3036.T,3023.T,3168.T"
15,Apparel Retail,14.993333333333332,-7.116666666666667,0.38000000000000006,0.5633333333333334,0.4266666666666667,0.5333333333333333,0.4766666666666666,65,78,90,98,95,"3189.T,2778.T,2792.T"
16,Tobacco,12.37,-1.9400000000000013,0.38,0.62,0.79,0.56,0.42,62,62,55,65,20,2914.T
17,Apparel Manufacturing,9.356666666666667,-5.273333333333333,0.5399999999999999,0.65,0.5233333333333333,0.5833333333333334,0.5833333333333334,60,65,60,38,92,"2776.T,3205.T,3045.T"
18,Discount Stores,9.28,-0.030000000000001137,0.47,0.6,0.4,0.41,0.6,57,52,10,12,2,2782.T
