Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Packaged Foods,2700.T,260.59,-8.890000000000043,0.63,0.72,0.74,0.54,0.62,99,99,99,99,83
2,Information Technology Services,2315.T,175.32,5.280000000000001,0.75,0.96,0.56,0.62,0.41,99,99,91,89,71
3,Utilities-Renewable,2743.T,113.09,-34.47,0.63,0.86,0.52,0.62,0.22,99,99,98,1,72
4,Confectioners,2216.T,85.24,5.640000000000001,0.6,0.56,0.81,0.68,0.52,98,97,99,98,94
5,Internet Retail,2673.T,82.73,-32.81,0.62,0.82,0.42,0.08,0.37,97,98,97,92,24
6,Apparel Retail,2726.T,71.45,0.3299999999999983,0.29,0.46,0.8,0.42,0.46,97,97,99,97,98
7,Specialty Business Services,2498.T,61.93,0.8900000000000006,0.87,0.95,0.69,0.37,0.2,96,96,81,91,96
8,Advertising Agencies,2656.T,53.89,15.910000000000004,0.73,0.74,0.3,0.52,0.71,95,92,83,94,18
9,Personal Services,2418.T,47.2,9.93,0.72,0.73,0.71,0.42,0.71,94,91,92,90,97
10,Beverages-Wineries & Distilleries,2540.T,46.34,4.230000000000004,0.41,0.7,0.59,0.64,0.57,94,93,87,92,88
11,Waste Management,2325.T,42.13,12.100000000000001,0.75,0.35,0.56,,0.56,93,85,97,99,99
12,Beverages-Brewers,2531.T,41.41,-3.4000000000000057,0.78,0.84,0.69,0.62,0.21,92,95,63,83,39
13,Information Technology Services,2488.T,40.55,-3.6600000000000037,0.45,0.64,0.7,0.49,0.5,92,94,94,87,91
14,Software-Application,2345.T,37.0,2.6000000000000014,0.66,0.79,0.35,0.64,0.42,91,89,1,36,1
15,Packaged Foods,2296.T,35.3,-0.2700000000000031,0.56,0.69,0.68,0.74,0.49,90,90,83,95,26
16,Beverages-Non-Alcoholic,2585.T,33.69,-9.420000000000002,0.53,0.72,0.65,0.87,0.21,90,94,90,90,12
17,Information Technology Services,2317.T,32.3,-1.4200000000000017,0.38,0.53,0.86,0.54,0.58,89,88,94,88,80
18,Integrated Freight & Logistics,2384.T,31.64,2.219999999999999,0.44,0.62,0.79,0.42,0.75,88,84,88,67,89
19,Health Information Services,2413.T,31.57,-10.530000000000001,0.52,0.71,0.53,0.75,0.57,88,92,78,96,86
20,Software-Infrastructure,2326.T,31.22,-0.8500000000000014,0.56,0.66,0.39,0.66,0.54,87,87,84,99,95
21,Infrastructure Operations,2353.T,31.19,-5.84,0.63,0.77,0.69,0.59,0.65,86,90,89,86,74
22,Advertising Agencies,2436.T,30.63,2.7099999999999973,0.51,0.49,0.79,0.75,0.41,85,83,93,93,85
23,Packaged Foods,2286.T,28.76,-3.4899999999999984,0.61,0.78,0.72,0.35,0.65,85,88,81,58,55
24,Specialty Business Services,2480.T,28.65,7.34,0.7,0.5,0.73,0.38,0.39,84,78,70,82,27
25,Advertising Agencies,2461.T,28.09,4.68,0.69,0.66,0.69,0.49,0.55,83,80,85,64,43
26,Diagnostics & Research,2395.T,27.72,-0.0400000000000027,0.82,0.87,0.53,0.44,0.13,83,83,20,26,41
27,Staffing & Employment Services,2429.T,26.49,2.009999999999998,0.71,0.75,0.72,0.38,0.36,82,81,86,62,23
28,Staffing & Employment Services,2410.T,25.22,-4.440000000000001,0.81,0.92,0.87,0.8,0.3,81,85,72,58,33
29,Packaged Foods,2607.T,23.1,5.470000000000002,0.71,0.89,0.63,0.51,0.65,81,72,5,53,33
30,Food Distribution,2692.T,22.58,-8.040000000000003,0.31,0.54,0.6,0.8,0.65,80,86,95,97,77
31,Information Technology Services,2185.T,22.58,-1.370000000000001,0.61,0.76,0.73,0.77,0.24,80,81,72,73,93
32,Education & Training Services,2415.T,21.87,1.1500000000000021,0.6,0.68,0.83,0.6,0.57,78,77,76,79,90
33,Specialty Business Services,2499.T,21.21,6.100000000000001,0.79,0.71,0.5,0.67,0.58,78,69,55,78,49
34,Specialty Retail,2666.T,20.09,-0.23999999999999844,0.6,0.75,0.59,0.68,0.58,77,75,66,75,31
35,Advertising Agencies,2411.T,19.95,-3.030000000000001,0.58,0.74,0.64,0.62,0.5,76,79,73,67,59
36,Personal Services,2344.T,18.3,-2.0500000000000007,0.49,0.62,0.73,0.55,0.61,76,76,80,54,34
37,Lodging,2404.T,17.17,-8.659999999999997,0.18,0.56,0.62,0.39,0.55,75,82,88,83,64
38,Publishing,2341.T,16.24,-0.11000000000000298,0.75,0.87,0.4,0.57,0.53,74,70,67,70,60
39,Restaurants,2695.T,16.13,1.0799999999999983,0.45,0.32,0.94,0.45,0.67,74,69,90,7,2
40,Entertainment,2378.T,16.05,-0.5599999999999987,0.64,0.57,0.85,0.61,0.67,73,71,69,38,72
41,Packaged Foods,2288.T,15.58,0.5600000000000005,0.6,0.66,0.78,0.4,0.59,72,68,71,71,54
42,Real Estate Services,2337.T,15.51,1.8900000000000006,0.58,0.67,0.48,0.45,0.58,72,65,56,53,40
43,Personal Services,2424.T,15.45,-4.43,0.49,0.72,0.32,0.7,0.48,71,74,67,77,30
44,Real Estate Services,2721.T,15.33,2.130000000000001,0.51,0.53,0.51,0.26,0.62,70,65,65,5,74
45,Rental & Leasing Services,2393.T,15.15,6.34,0.8,0.8,0.49,0.47,0.55,69,54,61,65,68
46,Utilities-Regulated Water,2588.T,14.91,-5.609999999999999,0.59,0.81,0.62,0.67,0.73,69,76,69,40,42
47,Entertainment,2329.T,14.43,-4.800000000000001,0.39,0.54,0.79,0.24,0.53,68,74,78,15,92
48,Personal Services,2485.T,14.27,-7.580000000000002,0.04,0.29,0.63,0.63,0.72,67,78,96,80,67
49,Packaged Foods,2654.T,14.23,0.2599999999999998,0.58,0.68,0.76,0.58,0.56,67,66,58,14,15
50,Information Technology Services,2335.T,14.16,-3.5,0.48,0.62,0.71,0.48,0.61,66,72,75,56,34
51,Beverages-Non-Alcoholic,2579.T,13.07,0.6099999999999994,0.49,0.54,0.45,0.45,0.58,65,63,24,72,88
52,Software-Application,2303.T,12.38,-6.139999999999999,0.38,0.53,0.81,0.71,0.3,65,73,79,74,63
53,Engineering & Construction,2311.T,12.28,7.68,0.92,0.84,0.45,0.65,0.22,64,41,22,28,13
54,Confectioners,2221.T,11.68,1.3699999999999992,0.59,0.63,0.52,0.18,0.69,63,58,59,81,76
55,Grocery Stores,2687.T,11.14,-3.5999999999999996,0.53,0.83,0.54,0.7,0.21,62,67,56,35,17
56,Information Technology Services,2332.T,10.79,-1.8000000000000007,0.5,0.58,0.7,0.8,0.45,62,64,77,72,62
57,Security & Protection Services,2331.T,10.68,-0.7900000000000009,0.56,0.67,0.78,0.4,0.64,61,60,42,23,84
58,Information Technology Services,2359.T,10.43,1.5600000000000005,0.63,0.69,0.55,0.65,0.54,60,56,52,49,60
59,Software-Application,2492.T,9.9,0.5899999999999999,0.23,0.26,0.8,0.57,0.63,60,57,92,94,90
60,Discount Stores,2722.T,9.44,0.9000000000000004,0.58,0.74,0.44,0.33,0.41,59,53,48,41,21
61,Staffing & Employment Services,2181.T,9.21,-1.6099999999999994,0.61,0.41,0.66,0.51,0.63,58,59,82,84,59
62,Leisure,2340.T,9.06,2.08,0.42,0.51,0.52,0.27,0.24,58,49,62,85,80
63,Packaged Foods,2215.T,8.71,0.620000000000001,0.85,0.86,0.51,0.3,0.23,57,52,5,11,19
64,Education & Training Services,2464.T,8.63,0.45000000000000107,0.5,0.43,0.57,0.59,0.62,56,53,60,62,29
65,Specialty Retail,2730.T,8.6,-3.210000000000001,0.5,0.46,0.42,0.7,0.57,56,61,68,81,76
66,Packaged Foods,2264.T,8.43,4.39,0.67,0.48,0.55,0.58,0.61,55,38,38,78,27
67,Restaurants,2702.T,8.31,-0.5199999999999996,0.38,0.75,0.84,0.53,0.36,54,55,28,42,14
68,Department Stores,2653.T,8.18,-3.6899999999999995,0.24,0.51,0.76,0.81,0.17,53,62,74,29,9
69,Packaged Foods,2220.T,7.98,2.2300000000000004,0.52,0.39,0.81,0.36,0.5,53,45,74,13,22
70,Personal Services,2437.T,7.77,8.03,0.83,0.74,0.29,0.15,0.72,52,20,4,24,37
71,Packaged Foods,2224.T,7.42,-0.04999999999999982,0.6,0.69,0.67,0.58,0.48,51,51,58,57,81
72,Confectioners,2201.T,7.41,0.08000000000000007,0.68,0.82,0.73,0.3,0.34,51,50,11,12,17
73,Personal Services,2196.T,7.2,9.56,0.44,0.51,0.4,0.55,0.57,50,13,76,76,7
74,Conglomerates,2462.T,7.2,4.03,0.63,0.79,0.7,0.23,0.59,50,35,39,17,47
75,Medical Care Facilities,2374.T,6.41,-3.09,0.33,0.65,0.67,0.46,0.55,49,58,35,50,24
76,Scientific & Technical Instruments,2667.T,6.33,-8.16,0.53,0.54,0.38,0.76,0.52,48,67,65,26,94
77,Farm Products,2292.T,5.7,-1.0899999999999999,0.47,0.69,0.58,0.44,0.62,47,48,30,47,10
78,Restaurants,2705.T,5.6,1.1499999999999995,0.8,0.67,0.67,0.42,0.68,47,40,53,59,65
79,Pharmaceutical Retailers,2664.T,5.44,-0.21999999999999975,0.5,0.54,0.48,0.44,0.58,46,44,51,68,61
80,Advertising Agencies,2433.T,5.3,-1.8600000000000003,0.51,0.47,0.63,0.48,0.35,45,49,62,30,8
81,Beverages-Brewers,2502.T,5.12,-0.25,0.35,0.46,0.63,0.41,0.87,44,44,49,65,78
82,Confectioners,2211.T,5.05,1.98,0.48,0.61,0.63,0.4,0.36,44,34,25,22,12
83,Publishing,2376.T,4.98,-1.46,0.47,0.49,0.47,0.56,0.6,43,47,47,60,75
84,Discount Stores,2698.T,4.62,-7.14,0.22,0.84,0.72,0.54,0.58,42,60,64,69,73
