Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Real Estate Services,2982.T,84.39,10.879999999999995,0.74,0.82,0.62,0.85,0.7,99,99,99,96,80
2,Packaged Foods,2903.T,53.5,6.939999999999998,0.54,0.46,0.48,0.75,0.69,99,98,99,90,76
3,Apparel Retail,3189.T,44.8,-19.47,0.25,0.53,0.24,0.88,0.71,99,99,99,99,99
4,Packaged Foods,2814.T,43.41,1.8499999999999943,0.84,0.87,0.8,0.5,0.73,98,96,78,69,92
5,Packaged Foods,2926.T,40.92,-1.3599999999999994,0.69,0.59,0.58,0.52,0.43,97,97,98,75,32
6,Farm Products,2924.T,40.79,3.3500000000000014,0.68,0.6,0.7,0.65,0.44,96,95,96,94,88
7,Other Industrial Metals & Mining,3036.T,38.21,-1.9699999999999989,0.58,0.57,0.76,0.8,0.57,96,96,97,84,75
8,Industrial Distribution,3153.T,37.85,4.25,0.69,0.84,0.7,0.46,0.43,95,90,65,66,89
9,Real Estate Services,2970.T,36.93,15.280000000000001,0.66,0.62,0.52,0.41,0.63,94,79,80,83,95
10,Electronics & Computer Distribution,3020.T,36.13,3.6500000000000057,0.77,0.62,0.51,0.67,0.46,93,89,85,88,70
11,Grocery Stores,3096.T,33.93,10.669999999999998,0.97,0.93,0.55,0.67,0.51,93,80,77,74,85
12,Food Distribution,2874.T,33.09,2.570000000000004,0.57,0.65,0.55,0.69,0.54,92,88,84,36,35
13,Auto & Truck Dealerships,3186.T,32.65,-1.480000000000004,0.81,0.79,0.5,0.66,0.38,91,91,82,41,5
14,Packaged Foods,2918.T,31.74,1.129999999999999,0.69,0.74,0.59,0.6,0.31,91,88,89,67,18
15,Specialty Retail,3181.T,31.32,1.1400000000000006,0.7,0.67,0.39,0.45,0.53,90,87,88,82,52
16,Packaged Foods,3139.T,30.85,-3.210000000000001,0.53,0.63,0.38,0.58,0.44,89,91,91,87,77
17,Food Distribution,3143.T,29.91,6.07,0.83,0.91,0.54,0.29,0.38,88,82,36,25,84
18,Restaurants,3077.T,29.1,-20.35,0.49,0.59,0.61,0.47,0.37,88,99,36,26,56
19,Real Estate Services,2991.T,27.54,-7.530000000000001,0.7,0.92,0.6,0.85,0.45,87,93,91,96,99
20,Packaged Foods,2809.T,27.11,0.14999999999999858,0.48,0.48,0.78,0.64,0.38,86,85,87,63,15
21,Pharmaceutical Retailers,3034.T,26.95,-8.129999999999999,0.46,0.6,0.81,0.58,0.49,85,93,86,91,79
22,Textile Manufacturing,3123.T,26.74,5.559999999999999,0.88,0.77,0.55,0.39,0.59,85,77,71,34,44
23,Packaged Foods,2802.T,26.32,-2.6099999999999994,0.57,0.51,0.67,0.88,0.51,84,86,95,86,71
