Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Real Estate - Diversified,56.44,-11.280000000000001,0.67,0.63,0.59,0.5,0.67,99,99,95,67,24,1783.T
2,Copper,56.06,7.800000000000004,0.73,0.68,0.51,0.6,0.57,95,90,86,99,90,1515.T
3,Conglomerates,46.86,-0.8149999999999977,0.62,0.665,0.595,0.7849999999999999,0.56,90,81,81,90,62,"160A.T,1821.T"
4,Electronic Components,46.32,-3.509999999999998,0.5,0.68,0.66,0.45,0.41,86,95,90,81,86,1723.T
5,Industrial Distribution,43.32,-4.899999999999999,0.43,0.8,0.68,0.27,0.49,81,86,67,62,76,1736.T
6,Engineering & Construction,27.191896551724135,0.7444827586206841,0.5287931034482759,0.6381034482758621,0.6967241379310344,0.5594827586206897,0.48775862068965514,76,67,71,71,57,"1844.T,1811.T,1803.T,1850.T,1810.T,1718.T,1812.T,1867.T,1720.T,1870.T,1871.T,1801.T,1815.T,1798.T,1743.T,1835.T,1719.T,1443.T,1799.T,1828.T,1848.T,1417.T,1826.T,1861.T,1433.T,1852.T,1827.T,1717.T,1758.T,1776.T,1813.T,1434.T,1793.T,1762.T,1450.T,1429.T,1802.T,1780.T,1721.T,1833.T,1795.T,1768.T,1822.T,1860.T,1786.T,1866.T,1841.T,1807.T,1770.T,1788.T,1820.T,1853.T,1764.T,1438.T,1414.T,1726.T,1446.T,1716.T"
7,Specialty Business Services,26.31,-4.23,0.43,0.66,0.62,0.57,0.48,71,71,76,95,95,1418.T
8,Gold,26.13,-6.640000000000004,0.23,0.3,0.56,0.12,0.73,67,76,99,86,99,1491.T
9,Oil & Gas E&P,20.47,2.5849999999999973,0.665,0.79,0.77,0.495,0.46499999999999997,62,57,29,5,10,"1605.T,1662.T"
10,Real Estate - Development,19.005,-0.022500000000000853,0.6425,0.7075,0.5675,0.6475,0.4575,57,62,62,76,14,"146A.T,1814.T,1847.T,1757.T"
11,Real Estate Services,18.475,2.1099999999999994,0.51,0.5800000000000001,0.655,0.51,0.645,52,52,57,52,81,"1435.T,1766.T"
12,Electronics & Computer Distribution,17.42,1.6300000000000026,0.56,0.73,0.7,0.54,0.45,48,48,48,24,29,167A.T
13,Thermal Coal,14.705000000000002,2.060000000000004,0.39,0.57,0.7,0.38,0.485,43,38,33,10,5,"1518.T,1514.T"
14,Farm Products,11.3625,-2.09375,0.53625,0.63375,0.61,0.62375,0.52125,38,43,24,38,52,"1384.T,1333.T,1377.T,1381.T,1379.T,1380.T,1382.T,1383.T"
15,Residential Construction,11.01,1.0220000000000002,0.5599999999999999,0.7060000000000001,0.726,0.42000000000000004,0.526,33,24,19,43,33,"1808.T,1840.T,1430.T,1419.T,1420.T"
16,Packaged Foods,10.923333333333334,-1.0500000000000007,0.55,0.6433333333333333,0.71,0.48666666666666664,0.5366666666666667,29,33,38,48,67,"1332.T,1301.T,1375.T"
17,Waste Management,8.02,0.6399999999999997,0.54,0.5,0.77,0.25,0.48,24,14,52,19,71,1712.T
18,Metal Fabrication,6.96,-0.8300000000000001,0.54,0.47,0.51,0.54,0.59,19,19,43,57,38,1787.T
19,Utilities - Renewable,4.35,0.024999999999999467,0.54,0.745,0.38,0.52,0.42,14,10,1,1,1,"1711.T,1407.T"
20,Utilities - Regulated Gas,2.26,-8.15,0.53,0.84,0.69,0.5,0.56,10,29,5,14,48,1663.T
21,Agricultural Inputs,1.92,0.18999999999999995,0.52,0.75,0.51,0.39,0.52,5,1,10,29,43,1376.T
22,Communication Equipment,1.64,-0.5000000000000002,0.56,0.43,0.7,0.47,0.69,1,5,14,33,19,1724.T
