Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Consumer Electronics,289.515,-54.35500000000002,0.4425,0.63,0.65,0.6575,0.3475,99,99,99,98,36,"ZEPP,SONO,SONY,AAPL"
2,Computer Hardware,248.02375,-15.756249999999966,0.5081249999999999,0.6775,0.655625,0.634375,0.356875,99,99,99,99,99,"RGTI,QBTS,QUBT,IONQ,SNDK,UMAC,WDC,STX,PSTG,ANET,DELL,SMCI,LOGI,SSYS,CRSR,HPQ"
3,Consulting Services,181.23000000000002,54.25000000000003,0.44111111111111106,0.5155555555555555,0.49222222222222217,0.5744444444444444,0.4511111111111111,99,97,92,96,99,"DGNX,EFTY,HURN,CRAI,EFX,FCN,ICFI,VRSK,BAH"
4,Other Industrial Metals & Mining,159.58705882352942,24.204705882352954,0.6652941176470588,0.6794117647058824,0.5123529411764707,0.5764705882352942,0.5270588235294118,98,99,96,99,99,"UAMY,TMC,NB,CRML,ALM,MP,USAR,LAC,IPX,SKE,MTRN,CMP,VALE,ELVR,RIO,BHP,TECK"
5,Uranium,138.95666666666668,7.338333333333338,0.5933333333333334,0.585,0.625,0.5750000000000001,0.42166666666666663,97,98,98,97,9,"LEU,UUUU,UEC,CCJ,ISOU,NXE"
6,Other Precious Metals & Mining,94.835,-3.3116666666666674,0.69,0.7016666666666667,0.6883333333333334,0.5933333333333334,0.5650000000000001,96,96,94,87,92,"HL,PPTA,SBSW,MUX,BVN,TFPM"
7,Gold,85.98823529411764,-6.579411764705895,0.5502941176470588,0.6411764705882353,0.7741176470588236,0.5029411764705882,0.6144117647058823,96,96,95,86,98,"IDR,CDE,NG,HYMC,SSRM,CMCL,DRD,CNL,GFI,AU,IAG,KGC,ARMN,EQX,AAUC,SA,CGAU,B,OR,NEM,CTGO,SAND,AEM,FSM,PAAS,AUGO,HMY,EGO,ORLA,WPM,FNV,AGI,RGLD,BGL"
8,Electrical Equipment & Parts,82.68894736842105,-8.850526315789466,0.5005263157894737,0.603157894736842,0.5499999999999999,0.6663157894736842,0.37526315789473685,95,95,91,89,56,"BE,AMPX,LTBR,EOSE,EAF,KE,VRT,AEIS,PLPC,NVT,POWL,ENS,AYI,ENVX,HAYW,HUBB,ENR,ADSE,ATKR"
9,Coking Coal,81.045,2.6274999999999977,0.6525,0.7025,0.5175000000000001,0.64,0.4675,94,93,81,51,8,"METC,HCC,AMR,SXC"
10,Communication Equipment,80.99916666666667,-5.3233333333333235,0.48666666666666664,0.5708333333333334,0.6241666666666666,0.6020833333333333,0.3825,94,94,96,93,85,"ONDS,VSAT,ASTS,COMM,FEIM,GILT,CIEN,LITE,UI,TSAT,NTGR,AAOI,HPE,EXTR,VIAV,DGII,CSCO,ERIC,ADTN,MSI,CLFD,BDC,HLIT,ZBRA"
11,Silver,80.495,-5.060000000000002,0.5349999999999999,0.645,0.6599999999999999,0.6799999999999999,0.45499999999999996,93,94,89,90,81,"AG,EXK"
12,Mortgage Finance,80.28,2.0533333333333275,0.42333333333333334,0.4633333333333333,0.62,0.5766666666666667,0.42166666666666663,92,92,82,46,47,"BETR,GHLD,RKT,PFSI,WD,VEL"
