Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Capital Markets,61.322500000000005,-3.872499999999988,0.38250000000000006,0.505,0.5449999999999999,0.5566666666666666,0.1825,99,99,99,96,94,"HOOD,CRCL,MS,SCHW"
2,Auto & Truck Dealerships,54.72,1.009999999999998,0.6,0.55,0.55,0.79,0.19,99,99,97,99,99,CVNA
3,Electronic Gaming & Multimedia,54.67666666666667,1.3900000000000006,0.47333333333333333,0.5466666666666666,0.58,0.6733333333333333,0.5033333333333333,98,98,96,97,78,"RBLX,NTES,EA"
4,Gold,53.92999999999999,4.785999999999994,0.712,0.576,0.664,0.79,0.532,97,97,93,95,91,"AU,NEM,AEM,B,WPM"
5,Electronic Components,41.870000000000005,0.6700000000000088,0.5333333333333333,0.63,0.8033333333333333,0.7133333333333333,0.3566666666666667,96,95,94,87,42,"GLW,APH,TEL"
6,Computer Hardware,38.79666666666667,8.026666666666667,0.57,0.6016666666666667,0.62,0.5416666666666666,0.24666666666666667,95,87,84,60,3,"STX,WDC,ANET,PSTG,DELL,HPQ"
7,Advertising Agencies,38.185,3.7049999999999983,0.54,0.36,0.69,0.51,0.12,94,93,98,99,99,"APP,TTD"
8,Internet Content & Information,37.151666666666664,2.1033333333333246,0.5333333333333333,0.515,0.6233333333333334,0.5816666666666667,0.2916666666666667,93,94,89,79,95,"RDDT,SPOT,GOOGL,META,BIDU,PINS"
9,Rental & Leasing Services,35.95,4.340000000000003,0.65,0.75,0.65,0.44,0.26,92,90,70,43,1,URI
10,Utilities - Independent Power Producers,35.32,-6.309999999999995,0.22999999999999998,0.385,0.76,0.61,0.26,91,96,99,98,82,"VST,NRG"
11,Biotechnology,32.93833333333333,3.6849999999999987,0.7066666666666667,0.64,0.7566666666666667,0.6283333333333333,0.49666666666666665,90,84,69,49,87,"INSM,ALNY,ONC,ARGX,REGN,VRTX"
12,Resorts & Casinos,32.66,-0.44000000000000483,0.7,0.74,0.67,0.4,0.59,89,92,78,11,16,LVS
13,Airlines,31.83,-1.0266666666666708,0.5266666666666667,0.6366666666666666,0.52,0.58,0.37000000000000005,88,91,73,69,84,"UAL,RYAAY,DAL"
14,Credit Services,30.081666666666667,-0.7633333333333319,0.6516666666666667,0.73,0.48500000000000004,0.47333333333333333,0.26333333333333336,87,88,77,77,77,"SOFI,SYF,COF,AXP,MA,PYPL"
15,Communication Equipment,29.61,2.2525000000000013,0.5425,0.615,0.645,0.45999999999999996,0.32499999999999996,86,81,72,84,90,"UI,HPE,CSCO,MSI"
16,Travel Services,29.09857142857143,-1.5928571428571416,0.6485714285714286,0.7085714285714285,0.4714285714285714,0.59,0.27285714285714285,85,86,81,81,83,"RCL,VIK,CCL,EXPE,TCOM,BKNG,ABNB"
17,Banks - Diversified,28.375555555555554,-0.5166666666666657,0.5805555555555556,0.6844444444444444,0.5827777777777778,0.5977777777777777,0.4683333333333333,84,83,80,82,89,"SAN,BBVA,C,ING,BCS,BK,BMO,CM,MUFG,HSBC,UBS,BNS,TD,JPM,RY,WFC,BAC,SMFG"
18,Engineering & Construction,26.94333333333333,-2.9333333333333336,0.4266666666666667,0.5366666666666667,0.6066666666666667,0.6533333333333333,0.35333333333333333,83,85,90,90,18,"EME,PWR,FER"
19,Entertainment,25.744999999999997,-0.7525000000000048,0.64625,0.72125,0.51875,0.54625,0.32625,82,79,85,89,93,"LLYVK,LYV,TKO,NFLX,FOXA,WBD,FWONA,DIS"
20,Gambling,25.439999999999998,1.2349999999999994,0.72,0.565,0.5900000000000001,0.415,0.215,81,73,79,21,39,"DKNG,FLUT"
21,Specialty Industrial Machinery,25.40875,-1.333750000000002,0.4375,0.5575,0.5475,0.52375,0.4125,80,80,92,78,49,"SYM,GEV,CMI,ROK,PH,AME,IR,OTIS"
22,Farm Products,25.28,-0.25,0.71,0.78,0.54,0.38,0.68,79,78,46,8,8,ADM
23,Mortgage Finance,25.14,-6.18,0.44,0.53,0.74,0.5,0.69,78,89,88,6,61,RKT
24,Tobacco,25.040000000000003,-2.3666666666666636,0.48666666666666664,0.5499999999999999,0.5866666666666667,0.7933333333333333,0.6366666666666666,77,82,83,92,96,"BTI,MO,PM"
25,Software - Infrastructure,23.471111111111114,-1.387777777777778,0.4566666666666667,0.4855555555555556,0.5822222222222222,0.6922222222222223,0.2644444444444444,76,74,91,88,30,"NET,ORCL,MDB,SNPS,ZS,MSFT,XYZ,CRWD,FTNT"
26,Internet Retail,23.36,0.007500000000000284,0.495,0.54,0.5225,0.60125,0.41125,74,72,82,91,98,"SE,BABA,DASH,EBAY,AMZN,CPNG,MELI,JD"
27,Utilities - Renewable,22.08,-3.0600000000000023,0.21,0.29,0.72,0.54,0.14,73,76,95,94,36,CEG
28,Aerospace & Defense,21.589,-1.0720000000000027,0.553,0.533,0.669,0.671,0.61,72,69,87,86,60,"GE,BA,AXON,RTX,NOC,GD,LHX,HEI-A,HEI,TDG"
29,Auto Parts,20.494999999999997,-2.6650000000000027,0.645,0.595,0.78,0.49,0.5800000000000001,71,71,66,74,86,"AZO,ORLY"
30,Real Estate Services,19.355,-3.349999999999998,0.5349999999999999,0.505,0.85,0.52,0.46499999999999997,70,70,76,46,64,"CBRE,CSGP"
31,REIT - Healthcare Facilities,19.03,-0.6600000000000001,0.59,0.47,0.78,0.64,0.47,69,65,74,80,97,WELL
32,Specialty Retail,17.81,-2.0700000000000003,0.67,0.68,0.65,0.48,0.5,68,66,59,14,48,TSCO
33,Building Materials,16.939999999999998,1.1749999999999972,0.5,0.63,0.6950000000000001,0.375,0.245,67,61,35,53,20,"CRH,VMC"
34,Banks - Regional,16.873571428571427,-0.7235714285714323,0.5642857142857143,0.6392857142857142,0.44642857142857145,0.4735714285714286,0.35571428571428576,66,64,58,73,52,"DB,ITUB,NWG,NU,KB,HBAN,PNC,TFC,FITB,MTB,USB,HDB,IBN,FCNCA"
35,Semiconductors,15.74909090909091,-4.185454545454544,0.49,0.629090909090909,0.41363636363636364,0.53,0.41363636363636364,65,68,67,42,9,"AVGO,AMD,NVDA,MU,INTC,ADI,NXPI,TXN,QCOM,MCHP,MRVL"
36,Agricultural Inputs,15.3,-0.8599999999999994,0.6950000000000001,0.755,0.475,0.725,0.41000000000000003,64,62,65,83,50,"CTVA,NTR"
37,Steel,14.695,-5.210000000000001,0.515,0.625,0.4,0.52,0.57,63,67,55,27,72,"MT,NUE"
38,Medical Care Facilities,14.59,0.2599999999999998,0.68,0.79,0.45,0.41,0.59,62,59,32,65,24,HCA
39,Residential Construction,13.745000000000001,0.4400000000000013,0.66,0.6950000000000001,0.71,0.495,0.535,61,55,16,1,1,"DHI,LEN"
40,Utilities - Regulated Gas,13.74,-0.8100000000000005,0.52,0.66,0.67,0.42,0.57,60,60,52,68,85,ATO
41,Oil & Gas Refining & Marketing,13.669999999999998,2.0749999999999993,0.95,0.895,0.35,0.31999999999999995,0.425,59,53,39,12,14,"VLO,PSX"
42,Industrial Distribution,13.646666666666668,-3.349999999999998,0.62,0.7200000000000001,0.47000000000000003,0.61,0.4766666666666666,58,63,53,70,21,"FAST,FERG,GWW"
43,Asset Management,13.35375,0.036249999999999005,0.38375,0.53125,0.63,0.34625,0.24,57,56,64,59,47,"STT,BN,RJF,BLK,BAM,BX,APO,OWL"
44,Grocery Stores,12.79,0.8999999999999986,0.34,0.3,0.48,0.42,0.56,56,54,60,72,92,KR
45,Oil & Gas Integrated,11.807,2.16,0.6849999999999999,0.617,0.521,0.434,0.40800000000000003,55,45,50,17,23,"IMO,E,CVE,BP,CVX,XOM,TTE,EQNR,PBR-A,PBR"
46,Medical Distribution,11.446666666666667,-0.14333333333333442,0.6066666666666666,0.5499999999999999,0.47,0.56,0.6633333333333334,54,52,68,85,71,"CAH,COR,MCK"
47,Health Information Services,11.34,-13.96,0.46,0.64,0.57,0.79,0.6,53,77,86,93,79,VEEV
48,Financial Data & Stock Exchanges,10.814,-2.5199999999999996,0.37,0.434,0.6140000000000001,0.548,0.45,52,57,71,71,53,"COIN,NDAQ,CME,ICE,MSCI"
