Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Gold,59.93375,4.890000000000001,0.7075,0.61625,0.6725,0.78125,0.54375,99,99,92,97,94,"GFI,KGC,AU,NEM,AEM,B,WPM,FNV"
2,Uranium,50.2,3.9299999999999997,0.44,0.47,0.48,0.8,0.32,99,99,98,92,2,CCJ
3,Computer Hardware,46.46,7.769999999999996,0.542,0.594,0.634,0.61,0.236,98,94,91,75,3,"STX,WDC,ANET,PSTG,DELL"
4,Electronic Gaming & Multimedia,46.275,2.042499999999997,0.5125,0.55,0.5075000000000001,0.625,0.49,97,98,95,96,81,"RBLX,NTES,TTWO,EA"
5,Electronic Components,41.870000000000005,0.6700000000000088,0.5333333333333333,0.63,0.8033333333333333,0.7133333333333333,0.3566666666666667,96,95,93,87,40,"GLW,APH,TEL"
6,Capital Markets,40.6225,-1.4149999999999991,0.38125,0.46375,0.575,0.5042857142857143,0.2625,95,97,97,94,92,"HOOD,CRCL,IBKR,GS,MS,SCHW,LPLA,TW"
7,Advertising Agencies,38.185,3.7049999999999983,0.54,0.36,0.69,0.51,0.12,94,92,99,99,99,"APP,TTD"
8,Communication Equipment,36.25333333333334,2.0233333333333405,0.5266666666666667,0.5966666666666667,0.5533333333333333,0.49,0.29666666666666663,93,91,85,91,93,"UI,HPE,CSCO"
9,Rental & Leasing Services,35.95,4.340000000000003,0.65,0.75,0.65,0.44,0.26,92,86,74,41,1,URI
10,Internet Content & Information,35.589999999999996,2.299999999999997,0.5514285714285715,0.5428571428571428,0.6357142857142858,0.5814285714285715,0.29714285714285715,91,90,86,76,91,"RDDT,SPOT,GOOGL,GOOG,META,BIDU,PINS"
11,Software - Infrastructure,35.52571428571429,-2.7057142857142864,0.47000000000000003,0.4778571428571428,0.5685714285714286,0.6178571428571429,0.27999999999999997,90,93,96,98,85,"PLTR,NET,CRWV,AFRM,ORCL,MDB,TOST,SNPS,VRSN,ZS,MSFT,XYZ,PANW,FTNT"
12,Utilities - Independent Power Producers,35.32,-6.309999999999995,0.22999999999999998,0.385,0.76,0.61,0.26,89,96,99,99,82,"VST,NRG"
13,Biotechnology,32.93833333333333,3.6849999999999987,0.7066666666666667,0.64,0.7566666666666667,0.6283333333333333,0.49666666666666665,88,81,72,49,88,"INSM,ALNY,ONC,ARGX,REGN,VRTX"
