Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Engineering & Construction,1844.T,254.14,51.14999999999998,0.72,0.68,0.84,0.85,0.39,99,99,99,97,85
2,Real Estate - Development,146A.T,78.95,5.790000000000006,0.89,0.93,0.4,0.67,0.53,99,98,89,82,36
3,Farm Products,1384.T,70.5,-6.780000000000001,0.73,0.88,0.52,0.53,0.61,98,99,77,92,97
4,Engineering & Construction,1811.T,62.92,6.170000000000002,0.58,0.81,0.64,0.53,0.73,97,94,57,42,67
5,Conglomerates,160A.T,61.28,-0.5799999999999983,0.74,0.76,0.59,0.7,0.55,96,96,91,90,36
6,Engineering & Construction,1803.T,58.68,9.29,0.66,0.72,0.7,0.56,0.53,95,90,93,96,98
7,Real Estate - Diversified,1783.T,56.44,-11.280000000000001,0.67,0.63,0.59,0.5,0.67,94,97,97,54,32
8,Copper,1515.T,56.06,7.800000000000004,0.73,0.68,0.51,0.6,0.57,93,89,94,98,92
9,Engineering & Construction,1850.T,55.13,-6.399999999999999,0.67,0.8,0.93,0.54,0.39,92,95,68,38,33
10,Engineering & Construction,1810.T,52.01,-2.5900000000000034,0.32,0.79,0.69,0.54,0.69,91,93,95,87,82
11,Engineering & Construction,1718.T,51.28,-3.0600000000000023,0.51,0.73,0.71,0.57,0.45,90,92,92,68,38
12,Thermal Coal,1518.T,49.02,5.8600000000000065,0.56,0.72,0.67,0.36,0.5,89,86,83,63,70
13,Electronic Components,1723.T,46.32,-3.509999999999998,0.5,0.68,0.66,0.45,0.41,88,91,96,84,90
14,Engineering & Construction,1812.T,45.13,3.0800000000000054,0.67,0.8,0.68,0.59,0.88,87,84,76,88,86
15,Engineering & Construction,1867.T,43.92,-0.5399999999999991,0.59,0.72,0.78,0.82,0.39,86,87,82,75,62
16,Industrial Distribution,1736.T,43.32,-4.899999999999999,0.43,0.8,0.68,0.27,0.49,85,88,58,53,81
17,Engineering & Construction,1720.T,43.17,0.1600000000000037,0.55,0.65,0.62,0.84,0.59,84,85,88,83,60
18,Engineering & Construction,1870.T,42.98,4.039999999999999,0.56,0.58,0.88,0.67,0.25,83,81,85,80,3
19,Engineering & Construction,1871.T,40.65,-0.6200000000000045,0.6,0.48,0.55,0.68,0.53,82,83,98,99,99
20,Engineering & Construction,1801.T,40.1,2.190000000000005,0.5,0.61,0.78,0.68,0.59,81,80,86,85,75
21,Real Estate - Development,1814.T,37.98,-1.7100000000000009,0.57,0.71,0.67,0.7,0.37,80,82,80,91,64
22,Engineering & Construction,1815.T,37.41,2.3999999999999986,0.76,0.66,0.76,0.56,0.46,79,75,74,58,66
23,Engineering & Construction,1798.T,36.82,1.759999999999998,0.65,0.81,0.67,0.61,0.36,78,76,43,56,39
24,Engineering & Construction,1743.T,33.91,-2.8100000000000023,0.44,0.77,0.76,0.88,0.41,77,78,75,86,24
25,Engineering & Construction,1835.T,33.8,-2.280000000000001,0.52,0.68,0.71,0.74,0.4,76,77,81,65,18
26,Conglomerates,1821.T,32.44,-1.0500000000000043,0.5,0.57,0.6,0.87,0.57,75,74,87,98,74
27,Engineering & Construction,1719.T,31.5,-0.23000000000000043,0.6,0.67,0.74,0.47,0.81,74,72,78,73,83
28,Engineering & Construction,1443.T,30.75,-6.450000000000003,0.69,0.81,0.88,0.42,0.5,73,79,45,26,13
29,Real Estate - Development,1847.T,30.34,0.14000000000000057,0.76,0.81,0.7,0.72,0.6,72,68,66,70,69
30,Engineering & Construction,1799.T,29.35,-1.0399999999999991,0.41,0.59,0.64,0.69,0.53,71,69,84,89,91
31,Engineering & Construction,1828.T,28.21,-3.039999999999999,0.34,0.38,0.72,0.63,0.38,70,71,89,81,93
32,Engineering & Construction,1848.T,28.06,1.9699999999999989,0.53,0.65,0.66,0.62,0.61,69,65,71,59,12
33,Oil & Gas E&P,1605.T,27.31,3.2799999999999976,0.69,0.83,0.72,0.61,0.47,68,60,44,20,9
34,Specialty Business Services,1418.T,26.31,-4.23,0.43,0.66,0.62,0.57,0.48,67,70,73,95,95
35,Gold,1491.T,26.13,-6.640000000000004,0.23,0.3,0.56,0.12,0.73,66,73,99,93,99
36,Engineering & Construction,1417.T,25.89,1.5100000000000016,0.45,0.49,0.8,0.57,0.38,65,62,72,78,73
37,Engineering & Construction,1826.T,24.16,3.580000000000002,0.47,0.71,0.74,0.6,0.4,64,55,70,77,94
38,Engineering & Construction,1861.T,24.11,-1.2199999999999989,0.65,0.6,0.57,0.53,0.62,63,64,65,74,79
39,Engineering & Construction,1433.T,24.08,-3.740000000000002,0.62,0.77,0.43,0.65,0.43,62,67,55,79,21
40,Residential Construction,1808.T,22.89,-3.259999999999998,0.52,0.8,0.63,0.76,0.45,61,66,62,66,52
41,Engineering & Construction,1852.T,22.47,0.379999999999999,0.56,0.66,0.77,0.74,0.64,60,57,61,57,19
42,Engineering & Construction,1827.T,21.77,-1.9699999999999989,0.4,0.53,0.66,0.47,0.57,59,59,67,60,96
43,Engineering & Construction,1717.T,21.71,3.990000000000002,0.63,0.71,0.61,0.58,0.25,58,51,63,47,59
44,Engineering & Construction,1758.T,21.65,3.9899999999999984,0.74,0.81,0.8,0.6,0.53,57,49,41,48,34
45,Real Estate Services,1435.T,21.04,6.359999999999999,0.75,0.66,0.76,0.48,0.68,56,42,40,5,72
46,Engineering & Construction,1776.T,20.62,-4.329999999999998,0.35,0.42,0.62,0.6,0.54,55,63,79,94,88
47,Engineering & Construction,1813.T,20.37,0.7800000000000011,0.55,0.67,0.7,0.55,0.53,54,53,34,24,30
48,Engineering & Construction,1434.T,20.03,-4.309999999999999,0.5,0.72,0.62,0.44,0.53,53,61,52,6,49
49,Engineering & Construction,1793.T,19.48,-3.8599999999999994,0.52,0.7,0.63,0.53,0.74,52,58,39,36,80
50,Engineering & Construction,1762.T,18.93,-2.3099999999999987,0.37,0.72,0.6,0.47,0.53,51,56,42,43,40
51,Engineering & Construction,1450.T,18.67,-1.629999999999999,0.46,0.52,0.78,0.47,0.43,49,54,69,69,84
52,Engineering & Construction,1429.T,18.61,3.629999999999999,0.74,0.76,0.71,0.61,0.47,48,43,29,27,5
