Rank,Industry,Ticker,Relative Strength,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Diff
1,Semiconductors,MU,129.62,0.78,0.64,0.75,0.28,0.72,99,99,97,64,10,5.390000000000001
2,Entertainment,WBD,116.88,0.91,0.65,0.69,0.64,0.63,99,97,98,95,45,5.75
3,Software - Infrastructure,PLTR,113.52,0.72,0.56,0.74,0.59,0.81,98,98,99,99,99,-1.6000000000000085
4,Advertising Agencies,APP,108.85,0.62,0.56,0.84,0.61,0.66,97,99,99,99,99,-17.180000000000007
5,Semiconductors,INTC,97.74,0.65,0.58,0.77,0.15,0.56,96,94,95,7,23,12.829999999999998
6,Semiconductor Equipment & Materials,LRCX,90.57,0.82,0.52,0.89,0.41,0.67,95,95,96,78,31,4.059999999999988
7,Semiconductors,AMD,83.86,0.71,0.7,0.71,0.74,0.6,94,96,79,93,6,-2.700000000000003
8,Semiconductors,AVGO,64.48,0.71,0.58,0.22,0.6,0.69,93,92,94,97,86,3.3100000000000023
9,Software - Application,SHOP,63.37,0.78,0.58,0.55,0.53,0.76,92,93,91,90,86,-2.770000000000003
10,Semiconductor Equipment & Materials,KLAC,56.46,0.81,0.55,0.93,0.4,0.57,91,91,92,81,43,0.6099999999999994
11,Internet Content & Information,GOOGL,53.18,0.87,0.6,0.57,0.65,0.6,90,88,89,57,28,8.32
12,Semiconductor Equipment & Materials,ASML,52.65,0.81,0.48,0.91,0.25,0.57,89,90,83,19,26,4.719999999999999
13,Internet Content & Information,GOOG,52.33,0.88,0.59,0.57,0.64,0.59,88,87,88,53,29,8.299999999999997
14,Auto Manufacturers,TSLA,43.24,0.59,0.43,0.78,0.43,0.66,87,89,93,52,69,-3.559999999999995
15,Semiconductors,NVDA,43.07,0.69,0.51,0.63,0.64,0.55,86,83,87,94,57,8.189999999999998
16,Software - Infrastructure,ZS,38.73,0.6,0.6,0.66,0.31,0.8,85,85,86,91,88,-4.660000000000004
17,Electronic Gaming & Multimedia,EA,36.88,0.48,0.57,0.83,0.62,0.64,84,86,84,59,75,-7.049999999999997
18,Software - Infrastructure,CRWD,33.54,0.68,0.61,0.76,0.3,0.74,83,82,82,87,95,-0.14999999999999858
19,Semiconductor Equipment & Materials,AMAT,31.9,0.69,0.53,0.92,0.28,0.63,82,79,78,44,16,0.9599999999999973
20,Utilities - Renewable,CEG,28.83,0.54,0.57,0.65,0.6,0.73,81,84,85,92,62,-10.899999999999999
21,Consumer Electronics,AAPL,26.36,0.84,0.57,0.82,0.33,0.58,80,75,63,17,42,5.629999999999999
22,Electronic Gaming & Multimedia,TTWO,26.18,0.51,0.47,0.63,0.12,0.56,79,78,80,75,92,-0.8500000000000014
23,Internet Retail,DASH,23.81,0.41,0.33,0.57,0.57,0.75,78,81,90,96,93,-8.629999999999999
24,Software - Infrastructure,PANW,21.88,0.63,0.55,0.65,0.33,0.7,77,65,59,25,71,5.979999999999999
25,Software - Application,DDOG,21.49,0.47,0.49,0.68,0.45,0.78,76,73,66,68,9,1.3199999999999967
26,Diagnostics & Research,IDXX,21.32,0.58,0.6,0.39,0.52,0.84,75,80,81,70,51,-10.909999999999997
27,Oil & Gas Equipment & Services,BKR,19.31,0.67,0.42,0.58,0.65,0.45,74,66,74,62,35,3.09
28,Utilities - Regulated Electric,XEL,19.24,0.54,0.45,0.83,0.71,0.55,73,70,72,65,79,0.8999999999999986
29,Aerospace & Defense,AXON,19.14,0.58,0.53,0.37,0.47,0.72,72,76,71,98,96,-3.280000000000001
30,Internet Retail,PDD,19.11,0.79,0.49,0.68,0.65,0.88,71,71,75,22,39,0.629999999999999
31,Communication Equipment,CSCO,19.09,0.74,0.59,0.57,0.44,0.62,70,68,61,76,73,2.0100000000000016
