Rank,Industry,Ticker,Relative Strength,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Diff
1,Computer Hardware,QBTS,830.47,0.53,0.47,0.75,0.52,0.58,99,99,99,99,99,102.19000000000005
2,Biotechnology,ABVX,794.13,0.7,0.6,0.41,0.95,0.75,99,99,99,99,22,117.93999999999994
3,Computer Hardware,RGTI,734.96,0.49,0.47,0.86,0.57,0.66,99,99,99,99,99,-61.039999999999964
4,Internet Retail,NEGG,721.47,0.77,0.63,0.57,0.59,0.41,99,99,99,99,1,161.82000000000005
5,Software - Infrastructure,SUPX,621.69,0.51,0.38,0.59,0.81,0.65,99,99,99,99,99,-109.52999999999997
6,Software - Infrastructure,DFDV,561.26,0.25,0.4,0.45,0.27,0.62,99,99,99,99,99,-256.38
7,Electrical Equipment & Parts,BE,557.81,0.7,0.66,0.7,0.84,0.43,99,99,99,99,80,73.33999999999992
8,Biotechnology,QURE,486.64,0.59,0.61,0.85,0.44,0.87,99,99,99,87,98,54.06
9,Capital Markets,IREN,443.93,0.48,0.55,0.74,0.37,0.68,99,99,99,97,19,-81.89000000000004
10,Mortgage Finance,BETR,442.31,0.58,0.61,0.74,0.48,0.77,99,99,99,22,58,-59.80000000000001
11,Biotechnology,DBVT,405.82,0.45,0.61,0.52,0.36,0.65,99,99,99,99,99,-112.10999999999996
12,Real Estate Services,OPEN,404.78,0.47,0.37,0.38,0.63,0.22,99,99,99,97,1,-63.53000000000003
13,Other Industrial Metals & Mining,UAMY,400.63,0.41,0.59,0.77,0.49,0.61,99,99,99,99,99,-240.71000000000004
14,Biotechnology,INBX,386.44,0.85,0.72,0.75,0.43,0.58,99,99,97,95,31,134.17
15,Biotechnology,CDTX,350.61,0.46,0.47,0.8,0.63,0.73,99,99,99,99,95,34.31
16,Biotechnology,CELC,349.52,0.81,0.76,0.24,0.94,0.75,99,99,99,99,12,33.01999999999998
17,Biotechnology,ANRO,342.75,0.87,0.73,0.53,0.68,0.68,99,99,82,14,1,105.58000000000001
18,Internet Retail,TDUP,313.38,0.5,0.49,0.27,0.69,0.77,99,99,99,99,99,-21.970000000000027
19,Electrical Equipment & Parts,AMPX,307.48,0.51,0.48,0.78,0.46,0.47,99,99,99,99,87,-17.329999999999984
20,Information Technology Services,APLD,307.1,0.5,0.62,0.78,0.67,0.5,99,99,99,98,59,-47.89999999999998
21,Capital Markets,CIFR,304.99,0.56,0.64,0.64,0.34,0.74,99,99,99,74,5,-47.389999999999986
22,Biotechnology,NBTX,303.49,0.4,0.45,0.79,0.75,0.5,99,99,99,96,14,-16.789999999999964
23,Biotechnology,VTYX,294.2,0.84,0.7,0.82,0.45,0.82,99,98,96,91,5,104.19
24,Biotechnology,NKTR,286.41,0.63,0.5,0.68,0.44,0.65,99,99,99,95,9,28.150000000000034
25,Biotechnology,KOD,275.8,0.79,0.63,0.75,0.6,0.96,99,99,99,94,82,36.0
26,Software - Infrastructure,NBIS,270.53,0.47,0.46,0.83,0.5,0.68,99,99,98,96,37,-46.39000000000004
27,Biotechnology,PRAX,266.38,0.84,0.82,0.79,0.51,0.94,99,98,49,49,3,50.97
28,Other Industrial Metals & Mining,CRML,264.98,0.47,0.54,0.6,0.59,0.41,99,99,96,78,1,-121.56
