Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Software - Infrastructure,PLTR,135.96,0.14000000000001478,0.24,0.36,0.59,0.58,0.27,99,99,99,99,99
2,Specialty Industrial Machinery,GEV,92.14,3.219999999999999,0.36,0.29,0.75,0.8,0.3,99,99,99,99,24
3,Banks - Diversified,SAN,56.69,-2.1500000000000057,0.57,0.8,0.48,0.68,0.76,98,98,98,96,98
4,Software - Application,SHOP,43.72,0.8599999999999994,0.39,0.61,0.53,0.45,0.35,96,96,93,83,88
5,Semiconductors,AMD,35.7,1.9500000000000028,0.41,0.41,0.74,0.58,0.3,95,93,95,16,1
6,Banks - Diversified,C,35.04,1.1000000000000014,0.65,0.61,0.61,0.55,0.3,94,94,91,64,65
7,Semiconductors,NVDA,34.43,-0.759999999999998,0.36,0.53,0.64,0.67,0.38,93,95,96,76,37
8,Aerospace & Defense,GE,33.57,1.3200000000000003,0.5,0.41,0.59,0.87,0.4,91,91,94,94,84
9,Aerospace & Defense,BA,30.62,2.6999999999999993,0.61,0.53,0.37,0.68,0.24,90,89,85,90,16
10,Capital Markets,GS,28.64,1.5399999999999991,0.62,0.59,0.48,0.5,0.33,89,88,88,57,74
11,Entertainment,NFLX,27.5,-0.5700000000000003,0.47,0.68,0.28,0.76,0.41,88,90,90,98,95
12,Internet Content & Information,GOOGL,27.21,6.050000000000001,0.72,0.76,0.65,0.6,0.35,87,74,55,27,48
13,Semiconductors,TSM,26.5,0.620000000000001,0.37,0.53,0.56,0.56,0.31,85,87,87,67,61
14,Internet Content & Information,GOOG,26.44,5.900000000000002,0.73,0.76,0.64,0.61,0.35,84,73,50,26,52
15,Credit Services,COF,25.9,0.8699999999999974,0.74,0.61,0.31,0.43,0.4,83,84,70,74,73
16,Banks - Diversified,MUFG,23.04,-0.9400000000000013,0.62,0.71,0.55,0.65,0.61,82,80,72,80,68
17,Capital Markets,MS,22.56,2.2799999999999976,0.7,0.7,0.36,0.48,0.31,80,72,67,62,67
18,Aerospace & Defense,RTX,22.4,-1.4400000000000013,0.62,0.5,0.68,0.68,0.55,79,79,83,66,71
19,Internet Retail,PDD,22.39,11.64,0.62,0.81,0.65,0.19,0.51,78,51,15,7,55
20,Software - Application,UBER,22.32,0.8500000000000014,0.59,0.64,0.24,0.22,0.42,77,76,65,70,43
21,Banks - Diversified,HSBC,21.53,-3.7099999999999973,0.52,0.69,0.44,0.6,0.84,76,85,76,73,96
22,Capital Markets,SCHW,21.31,-0.3000000000000007,0.43,0.49,0.6,0.61,0.31,74,77,84,79,40
23,Internet Content & Information,META,20.94,-3.849999999999998,0.39,0.46,0.58,0.56,0.31,73,82,89,76,82
24,Consumer Electronics,SONY,20.19,-4.719999999999999,0.52,0.74,0.5,0.7,0.73,72,83,63,93,89
25,Banks - Diversified,JPM,20.05,0.9499999999999993,0.7,0.56,0.51,0.57,0.26,71,71,77,68,66
26,Farm & Heavy Construction Machinery,CAT,18.49,-3.870000000000001,0.57,0.49,0.67,0.47,0.38,70,78,80,30,13
27,Software - Infrastructure,MSFT,18.32,0.6499999999999986,0.36,0.27,0.69,0.66,0.44,68,66,79,64,15
28,Banks - Diversified,RY,18.23,6.690000000000001,0.84,0.78,0.37,0.67,0.43,67,54,46,52,26
29,Telecom Services,T,18.01,-0.16999999999999815,0.67,0.66,0.62,0.72,0.59,66,68,71,89,91
30,Asset Management,BLK,16.75,-1.8200000000000003,0.5,0.6,0.45,0.6,0.48,65,70,62,48,44
31,Communication Equipment,CSCO,15.96,2.8500000000000014,0.42,0.49,0.44,0.66,0.59,63,59,73,72,80
32,Internet Retail,AMZN,15.51,1.4800000000000004,0.61,0.68,0.38,0.39,0.26,62,63,52,45,59
33,Banks - Diversified,WFC,15.38,0.47000000000000064,0.66,0.59,0.34,0.48,0.33,61,65,57,60,70
34,Banks - Diversified,BAC,14.97,0.9900000000000002,0.84,0.76,0.39,0.54,0.3,60,62,49,43,33
35,Credit Services,AXP,14.75,2.7699999999999996,0.86,0.75,0.25,0.43,0.3,59,55,43,55,57
36,Drug Manufacturers - General,GILD,14.46,-3.6999999999999993,0.17,0.54,0.52,0.66,0.79,57,67,78,85,99
37,Asset Management,BX,13.37,-0.33000000000000007,0.52,0.53,0.59,0.22,0.38,56,61,60,20,38
38,Drug Manufacturers - General,NVS,11.73,-0.7599999999999998,0.79,0.67,0.35,0.76,0.69,55,57,40,39,40
39,Drug Manufacturers - General,JNJ,11.33,-2.0,0.62,0.8,0.67,0.69,0.7,54,60,45,24,41
40,Medical Devices,BSX,10.55,0.3500000000000014,0.62,0.51,0.54,0.51,0.46,52,49,61,71,87
41,Other Industrial Metals & Mining,BHP,10.25,1.5700000000000003,0.67,0.77,0.45,0.29,0.5,51,43,20,12,7
42,Tobacco,PM,10.17,-1.9900000000000002,0.44,0.56,0.28,0.92,0.56,50,56,66,95,93
43,Entertainment,DIS,9.88,-0.10999999999999943,0.71,0.48,0.38,0.58,0.5,49,48,74,50,34
44,Drug Manufacturers - General,ABBV,9.67,-1.25,0.8,0.7,0.55,0.49,0.82,48,52,33,28,72
45,Oil & Gas Integrated,SHEL,9.39,-0.17999999999999972,0.72,0.61,0.56,0.52,0.45,46,44,44,32,23
46,Oil & Gas Integrated,CVX,9.35,1.8899999999999997,0.68,0.63,0.49,0.42,0.41,45,39,37,10,18
47,Apparel Retail,TJX,9.22,-0.629999999999999,0.65,0.7,0.6,0.43,0.46,44,46,39,51,49
48,Semiconductors,ARM,9.04,5.889999999999999,0.46,0.51,0.44,0.52,0.27,43,26,24,33,12
49,Drug Manufacturers - General,AZN,7.8,-1.9899999999999993,0.82,0.72,0.56,0.69,0.72,41,45,28,15,51
50,Credit Services,V,6.66,-0.7199999999999998,0.79,0.65,0.34,0.63,0.51,40,37,51,78,77
51,Home Improvement Retail,LOW,6.28,-2.1599999999999993,0.7,0.72,0.55,0.47,0.42,39,41,12,18,21
52,Financial Data & Stock Exchanges,SPGI,6.16,-1.29,0.42,0.38,0.61,0.47,0.44,38,38,54,37,56
53,Home Improvement Retail,HD,5.87,-1.9100000000000001,0.63,0.65,0.53,0.49,0.36,37,40,22,29,29
54,Banks - Regional,HDB,5.8,-4.94,0.31,0.31,0.59,0.65,0.5,35,50,68,84,20
55,Consumer Electronics,AAPL,5.79,1.94,0.6,0.76,0.33,0.32,0.48,34,32,7,11,63
56,Telecom Services,TMUS,5.54,-1.46,0.56,0.7,0.6,0.63,0.57,33,35,41,56,90
57,Discount Stores,WMT,5.49,-1.0199999999999996,0.25,0.41,0.73,0.69,0.35,32,33,59,82,85
58,Oil & Gas Integrated,XOM,4.57,2.97,0.88,0.7,0.36,0.25,0.44,30,20,26,13,9
59,Semiconductors,TXN,4.45,-2.1099999999999994,0.85,0.86,0.13,0.5,0.68,29,34,23,21,27
