Rank,Industry,Ticker,Relative Strength,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Diff
1,Capital Markets,HOOD,153.43,0.33,0.39,0.58,0.78,0.19,99,99,99,99,99,-7.509999999999991
2,Internet Content & Information,RDDT,113.39,0.48,0.5,0.86,0.49,0.21,99,99,98,89,99,8.269999999999996
3,Advertising Agencies,APP,112.29,0.55,0.58,0.67,0.7,0.09,99,99,99,99,99,4.430000000000007
4,Electronic Gaming & Multimedia,RBLX,109.15,0.49,0.41,0.65,0.91,0.26,99,99,99,99,91,5.109999999999999
5,Credit Services,SOFI,103.95,0.56,0.65,0.55,0.51,0.27,99,99,98,92,93,-4.420000000000002
6,Biotechnology,INSM,93.54,0.85,0.86,0.75,0.67,0.41,99,99,93,43,95,9.200000000000003
7,Specialty Industrial Machinery,SYM,88.7,0.36,0.36,0.63,0.6,0.34,99,98,99,80,7,14.579999999999998
8,Specialty Industrial Machinery,GEV,79.48,0.26,0.39,0.76,0.78,0.25,98,99,99,99,97,-15.780000000000001
9,Gold,AU,79.28,0.57,0.42,0.65,0.77,0.46,98,98,96,98,90,7.469999999999999
10,Banks - Regional,DB,71.72,0.34,0.44,0.75,0.56,0.77,98,98,97,96,98,-1.0100000000000051
11,Software - Infrastructure,NET,70.82,0.56,0.44,0.7,0.9,0.15,98,97,99,99,96,1.9799999999999898
12,Communication Equipment,UI,70.31,0.59,0.61,0.59,0.41,0.42,97,97,95,97,99,5.1200000000000045
13,Computer Hardware,STX,63.13,0.69,0.79,0.58,0.84,0.22,97,96,96,92,16,5.43
14,Computer Hardware,WDC,62.64,0.7,0.75,0.74,0.77,0.25,97,97,97,72,3,1.2800000000000011
15,Biotechnology,ALNY,62.04,0.61,0.61,0.93,0.77,0.37,97,98,94,92,86,-9.140000000000008
16,Banks - Diversified,SAN,59.07,0.52,0.61,0.59,0.64,0.78,96,96,96,96,97,-0.35999999999999943
17,Travel Services,RCL,57.11,0.77,0.81,0.32,0.66,0.25,96,97,95,93,87,-4.640000000000001
