Rank,Industry,Ticker,Relative Strength,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Diff
1,Capital Markets,HOOD,153.43,0.33,0.39,0.58,0.78,0.19,99,99,99,99,99,-7.509999999999991
2,Software - Infrastructure,PLTR,133.33,0.18,0.27,0.67,0.39,0.26,99,99,99,99,99,-5.199999999999989
3,Internet Content & Information,RDDT,113.39,0.48,0.5,0.86,0.49,0.21,99,99,98,88,99,8.269999999999996
4,Advertising Agencies,APP,112.29,0.55,0.58,0.67,0.7,0.09,99,99,99,99,99,4.430000000000007
5,Electronic Gaming & Multimedia,RBLX,109.15,0.49,0.41,0.65,0.91,0.26,99,99,99,99,90,5.109999999999999
6,Credit Services,SOFI,103.95,0.56,0.65,0.55,0.51,0.27,99,99,98,92,92,-4.420000000000002
7,Biotechnology,INSM,93.54,0.85,0.86,0.75,0.67,0.41,99,98,93,41,95,9.200000000000003
8,Gold,GFI,90.73,0.66,0.62,0.72,0.81,0.6,98,98,92,96,96,5.890000000000001
9,Specialty Industrial Machinery,SYM,88.7,0.36,0.36,0.63,0.6,0.34,98,97,99,78,6,14.579999999999998
10,Gold,KGC,86.36,0.74,0.7,0.67,0.77,0.49,98,98,92,97,96,7.840000000000003
11,Specialty Industrial Machinery,GEV,79.48,0.26,0.39,0.76,0.78,0.25,98,99,99,99,97,-15.780000000000001
12,Gold,AU,79.28,0.57,0.42,0.65,0.77,0.46,97,97,96,98,88,7.469999999999999
13,Software - Infrastructure,NET,70.82,0.56,0.44,0.7,0.9,0.15,97,97,98,99,95,1.9799999999999898
14,Communication Equipment,UI,70.31,0.59,0.61,0.59,0.41,0.42,97,97,95,97,99,5.1200000000000045
15,Software - Infrastructure,CRWV,64.82,0.18,0.38,0.28,0.7,0.0,97,98,99,99,32,-17.310000000000002
16,Computer Hardware,STX,63.13,0.69,0.79,0.58,0.84,0.22,97,96,96,92,14,5.43
17,Computer Hardware,WDC,62.64,0.7,0.75,0.74,0.77,0.25,96,96,97,69,3,1.2800000000000011
18,Biotechnology,ALNY,62.04,0.61,0.61,0.93,0.77,0.37,96,97,94,92,85,-9.140000000000008
19,Banks - Diversified,SAN,59.07,0.52,0.61,0.59,0.64,0.78,96,96,95,96,97,-0.35999999999999943
20,Travel Services,RCL,57.11,0.77,0.81,0.32,0.66,0.25,96,96,94,93,85,-4.640000000000001
21,Gold,NEM,56.31,0.79,0.69,0.73,0.77,0.4,95,94,86,85,56,4.200000000000003
22,Entertainment,LLYVK,54.9,0.83,0.9,0.67,0.47,0.18,95,95,90,95,94,-0.44000000000000483
23,Semiconductors,AVGO,54.64,0.38,0.46,0.62,0.8,0.31,95,95,96,96,90,-0.5399999999999991
24,Banks - Diversified,BBVA,54.17,0.45,0.48,0.83,0.52,0.75,95,94,94,92,97,2.719999999999999
25,Entertainment,LLYVA,53.25,0.83,0.9,0.64,0.45,0.19,94,95,89,95,95,-0.29999999999999716
26,Software - Infrastructure,AFRM,52.21,0.57,0.48,0.7,0.62,0.13,94,95,97,82,77,-4.560000000000002
27,Gold,AEM,51.59,0.73,0.6,0.68,0.79,0.59,94,91,88,95,95,6.650000000000006
28,Uranium,CCJ,50.2,0.44,0.47,0.48,0.8,0.32,94,92,96,88,8,3.9299999999999997
29,Computer Hardware,ANET,47.67,0.37,0.37,0.73,0.48,0.25,94,93,80,63,26,-0.3200000000000003
30,Computer Hardware,PSTG,47.48,0.76,0.59,0.55,0.44,0.18,93,53,34,47,5,35.55
31,Internet Retail,SE,47.19,0.57,0.82,0.48,0.6,0.51,93,94,93,98,99,-3.6700000000000017
32,Airlines,UAL,46.76,0.66,0.78,0.51,0.59,0.27,93,92,77,81,94,0.4899999999999949
33,Electronic Components,GLW,46.38,0.66,0.68,0.87,0.82,0.25,93,91,88,74,73,3.8000000000000043
34,Electronic Components,APH,45.81,0.42,0.56,0.71,0.82,0.34,92,93,94,94,21,-0.7999999999999972
35,Travel Services,VIK,44.8,0.63,0.74,0.6,0.57,0.28,92,92,89,82,88,-1.6799999999999997
36,Capital Markets,CRCL,44.35,0.26,0.35,0.39,,0.0,92,94,98,31,32,-8.719999999999999
37,Biotechnology,ONC,44.24,0.72,0.51,0.76,0.86,0.57,92,86,89,86,93,12.370000000000001
38,Travel Services,CCL,43.0,0.6,0.71,0.58,0.59,0.22,91,93,91,81,51,-5.32
39,Software - Application,SHOP,42.91,0.33,0.32,0.63,0.39,0.19,91,90,91,85,86,2.219999999999999
40,Capital Markets,IBKR,42.78,0.35,0.4,0.67,0.5,0.18,91,89,95,89,94,5.200000000000003
41,Gold,B,42.41,0.81,0.77,0.64,0.79,0.6,91,91,71,60,60,0.5499999999999972
42,Engineering & Construction,EME,40.08,0.43,0.54,0.81,0.64,0.33,91,91,92,83,16,-2.1499999999999986
43,Gold,WPM,40.06,0.66,0.4,0.62,0.83,0.61,90,88,87,95,89,5.060000000000002
44,Utilities - Independent Power Producers,VST,40.01,0.21,0.37,0.67,0.7,0.21,90,94,97,97,83,-9.130000000000003
45,Tobacco,BTI,39.91,0.36,0.5,0.77,0.93,0.69,90,93,92,89,88,-7.07
46,Software - Infrastructure,ORCL,39.7,0.25,0.34,0.65,0.72,0.35,90,92,97,70,57,-6.149999999999999
47,Software - Application,SNOW,39.42,0.76,0.43,0.45,0.76,0.32,89,71,89,94,47,18.830000000000002
48,Internet Retail,BABA,38.04,0.69,0.52,0.51,0.41,0.62,89,71,64,81,99,17.099999999999998
49,Electronic Gaming & Multimedia,NTES,37.82,0.59,0.57,0.44,0.65,0.51,89,88,86,93,76,1.1099999999999994
50,Insurance - Life,PUK,37.72,0.47,0.49,0.59,0.54,0.67,89,88,87,88,67,1.240000000000002
51,Internet Retail,DASH,36.88,0.3,0.31,0.74,0.72,0.21,88,90,95,94,89,-2.1499999999999986
52,Software - Infrastructure,MDB,36.25,0.84,0.7,0.62,0.82,0.19,88,81,33,23,1,9.420000000000002
53,Rental & Leasing Services,URI,35.95,0.65,0.75,0.65,0.44,0.26,88,86,71,39,8,4.340000000000003
54,Banks - Diversified,C,35.63,0.46,0.68,0.56,0.54,0.14,88,89,86,71,67,-1.5899999999999963
55,Aerospace & Defense,GE,34.71,0.44,0.52,0.64,0.85,0.33,88,87,90,93,82,0.1700000000000017
56,Internet Retail,EBAY,34.49,0.34,0.51,0.8,0.87,0.52,87,91,90,85,86,-9.299999999999997
57,Internet Content & Information,SPOT,34.22,0.5,0.52,0.41,0.7,0.23,87,89,87,97,97,-3.200000000000003
58,Diagnostics & Research,IDXX,34.17,0.42,0.44,0.8,0.57,0.39,87,88,90,69,13,-1.8099999999999952
59,Semiconductors,AMD,33.71,0.37,0.44,0.72,0.51,0.27,87,90,93,16,1,-5.469999999999999
60,Electronic Components,TEL,33.42,0.52,0.65,0.83,0.5,0.48,86,87,87,53,37,-0.9899999999999949
61,Banks - Diversified,ING,33.4,0.39,0.52,0.57,0.51,0.89,86,88,83,81,92,-1.9200000000000017
62,Aerospace & Defense,BA,33.08,0.56,0.59,0.38,0.55,0.2,86,84,79,88,11,1.9699999999999989
63,Gold,FNV,32.73,0.7,0.73,0.67,0.72,0.6,86,85,61,90,83,1.4599999999999973
64,Resorts & Casinos,LVS,32.66,0.7,0.74,0.67,0.4,0.59,85,86,79,12,19,-0.44000000000000483
65,Banks - Diversified,BCS,32.58,0.28,0.62,0.61,0.62,0.69,85,90,88,91,96,-5.039999999999999
66,Semiconductors,NVDA,32.13,0.29,0.52,0.63,0.59,0.28,85,89,94,78,21,-4.619999999999997
67,Utilities - Independent Power Producers,NRG,30.63,0.25,0.4,0.85,0.52,0.31,85,87,97,98,59,-3.4899999999999984
