Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Advertising Agencies,113.8,13.579999999999998,0.54,0.69,0.61,0.62,0.41,99,99,99,99,99,APP
2,Capital Markets,59.402499999999996,-3.0400000000000063,0.5275,0.5775,0.485,0.5725,0.3375,98,98,95,95,94,"HOOD,GS,MS,SCHW"
3,Auto & Truck Dealerships,56.04,0.13000000000000256,0.63,0.56,0.58,0.76,0.32,97,97,98,98,98,CVNA
4,Software - Infrastructure,53.015,0.5100000000000051,0.3575,0.33499999999999996,0.5575,0.55,0.315,95,95,97,97,97,"PLTR,ORCL,SNPS,CRWD"
5,Electronic Components,45.07,-2.210000000000001,0.47,0.56,0.61,0.8,0.33,94,94,94,90,23,APH
6,Electronic Gaming & Multimedia,37.89,3.0700000000000003,0.62,0.58,0.45,0.77,0.4,92,92,89,92,68,NTES
7,Specialty Industrial Machinery,31.055,1.6724999999999994,0.4825,0.47250000000000003,0.5825,0.525,0.4,90,90,90,85,21,"GEV,PH,ETN,ITW"
8,Computer Hardware,30.634999999999998,1.8599999999999994,0.375,0.595,0.6000000000000001,0.525,0.305,89,89,79,34,6,"ANET,DELL"
9,Banks - Diversified,27.118333333333336,1.0941666666666663,0.6625,0.6749999999999999,0.49666666666666665,0.6533333333333333,0.49666666666666665,87,85,81,73,74,"SAN,BBVA,C,UBS,BMO,MUFG,HSBC,TD,JPM,BNS,WFC,BAC"
10,Internet Retail,27.110000000000003,5.828000000000003,0.704,0.692,0.536,0.42000000000000004,0.53,85,81,73,81,95,"SE,BABA,PDD,AMZN,MELI"
11,Internet Content & Information,26.573333333333334,-0.6433333333333344,0.5299999999999999,0.62,0.5166666666666667,0.61,0.33,84,87,82,84,90,"SPOT,GOOG,META"
12,Tobacco,22.03,-2.986666666666668,0.5,0.6699999999999999,0.5766666666666667,0.8833333333333334,0.5033333333333334,82,84,85,87,82,"BTI,MO,PM"
13,Semiconductors,20.798571428571428,2.2914285714285683,0.5557142857142857,0.6257142857142857,0.3742857142857143,0.5114285714285715,0.3985714285714286,81,76,61,42,27,"AVGO,TSM,MU,INTC,ADI,ARM,QCOM"
14,Utilities - Renewable,20.7,-1.2800000000000011,0.3,0.17,0.6,0.67,0.16,79,82,92,94,56,CEG
15,Auto Parts,20.3,-0.8099999999999987,0.5,0.51,0.72,0.67,0.54,77,79,74,69,77,ORLY
16,Aerospace & Defense,18.896,1.2419999999999973,0.6519999999999999,0.546,0.514,0.672,0.48,76,74,71,60,29,"GE,BA,NOC,GD,LMT"
17,Entertainment,18.69,-0.33999999999999986,0.59,0.5800000000000001,0.33,0.6699999999999999,0.45499999999999996,74,77,87,89,79,"NFLX,DIS"
18,REIT - Healthcare Facilities,16.84,-0.14999999999999858,0.51,0.37,0.7,0.63,0.67,73,73,84,71,92,WELL
19,Medical Care Facilities,13.5,1.5700000000000003,0.71,0.83,0.36,0.69,0.54,71,68,39,63,11,HCA
20,Consumer Electronics,12.99,-1.3900000000000006,0.56,0.75,0.41500000000000004,0.51,0.605,69,71,48,55,85,"SONY,AAPL"
21,Communication Equipment,11.950000000000001,2.4750000000000014,0.52,0.62,0.62,0.635,0.45499999999999996,68,58,63,44,61,"CSCO,MSI"
22,Asset Management,11.8475,-0.5950000000000006,0.48,0.43,0.49,0.3425,0.3825,66,69,65,31,44,"BN,BLK,BX,APO"
23,Financial Data & Stock Exchanges,11.8,0.015000000000000568,0.38,0.4225,0.475,0.54,0.4275,65,66,77,56,39,"COIN,SPGI,CME,MCO"
24,Semiconductor Equipment & Materials,11.2025,0.9700000000000006,0.43,0.54,0.335,0.4075,0.4075,63,63,60,19,5,"LRCX,KLAC,ASML,AMAT"
25,Software - Application,11.112,3.1350000000000007,0.52,0.453,0.398,0.5722222222222223,0.41333333333333333,61,52,66,68,47,"SHOP,SNOW,CDNS,UBER,SAP,STRC,INTU,ADP,NOW,ADBE"
26,Credit Services,10.283333333333333,0.23333333333333428,0.7966666666666667,0.7066666666666667,0.38666666666666666,0.5333333333333333,0.42,60,61,52,65,66,"AXP,MA,V"
27,Apparel Retail,9.22,-0.629999999999999,0.65,0.7,0.6,0.43,0.46,58,60,46,47,48,TJX
28,Footwear & Accessories,8.63,-1.7199999999999989,0.65,0.7,0.57,0.5,0.66,56,65,58,1,3,NKE
29,Auto Manufacturers,8.33,1.8399999999999999,0.625,0.705,0.365,0.46,0.33999999999999997,55,44,35,82,63,"TSLA,RACE"
30,Oil & Gas Integrated,8.065999999999999,1.0059999999999985,0.712,0.658,0.43,0.406,0.418,53,48,40,11,16,"BP,SHEL,CVX,XOM,TTE"
31,Medical Devices,6.75,-0.6066666666666665,0.5933333333333334,0.56,0.4666666666666666,0.48,0.5433333333333333,52,50,53,37,71,"BSX,MDT,SYK"
32,Other Industrial Metals & Mining,6.52,1.7149999999999999,0.6000000000000001,0.7,0.47,0.265,0.5349999999999999,50,37,27,8,13,"BHP,RIO"
33,Travel Services,6.484999999999999,-1.7100000000000009,0.74,0.5700000000000001,0.275,0.525,0.475,48,53,55,52,58,"BKNG,ABNB"
34,Banks - Regional,6.456666666666666,-0.44333333333333513,0.6566666666666667,0.6166666666666666,0.35333333333333333,0.49666666666666665,0.32,47,47,42,35,19,"PNC,USB,IBN"
