Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Computer Hardware,56.32,2.1499999999999986,0.7,0.67,0.58,0.82,0.32,99,99,99,96,29,STX
2,Uranium,55.28,8.11,0.49,0.51,0.43,0.73,0.29,99,97,97,91,18,CCJ
3,Utilities - Independent Power Producers,44.78,0.5900000000000034,0.39,0.31,0.6,0.73,0.25,97,96,99,99,99,VST
4,Gold,41.28,2.673333333333339,0.7033333333333333,0.6,0.5466666666666667,0.7633333333333333,0.54,96,94,90,97,94,"AEM,B,WPM"
5,Travel Services,36.19,5.344999999999999,0.745,0.635,0.45999999999999996,0.51,0.355,94,88,87,78,90,"CCL,TCOM"
6,Internet Retail,35.62,-12.39,0.4,0.7,0.78,0.86,0.45,93,99,94,88,85,EBAY
7,Rental & Leasing Services,34.51,3.6099999999999994,0.73,0.69,0.61,0.42,0.29,91,90,78,47,9,URI
8,Banks - Regional,32.785,-2.2775000000000034,0.5700000000000001,0.7525,0.5225000000000001,0.56,0.52,90,93,84,94,91,"DB,ITUB,NWG,NU"
9,Banks - Diversified,29.7,-2.746666666666666,0.48,0.6733333333333333,0.5966666666666667,0.6266666666666666,0.6666666666666666,88,91,91,87,99,"BCS,BK,ING"
10,Biotechnology,27.86,2.84,0.675,0.5425,0.75,0.645,0.505,87,85,82,62,93,"ALNY,ONC,ARGX,REGN"
11,Electrical Equipment & Parts,27.62,4.120000000000001,0.36,0.28,0.71,0.64,0.28,85,82,96,82,28,VRT
12,Gambling,27.4,4.254999999999999,0.8049999999999999,0.54,0.525,0.44000000000000006,0.46,84,81,88,25,79,"DKNG,FLUT"
13,Entertainment,27.328000000000003,0.17200000000000415,0.746,0.724,0.39,0.422,0.328,82,87,81,85,97,"LLYVA,TKO,LYV,FWONK,FWONA"
14,Engineering & Construction,22.09,-0.5899999999999999,0.545,0.525,0.48,0.625,0.425,81,79,85,90,50,"PWR,FER"
15,Airlines,21.92,4.370000000000001,0.72,0.7,0.18,0.3,0.28,79,76,44,16,76,DAL
16,Auto Parts,21.91,-0.3299999999999983,0.69,0.64,0.57,0.59,0.63,78,78,71,79,84,AZO
17,Aerospace & Defense,21.880000000000003,-2.669999999999998,0.508,0.356,0.5820000000000001,0.744,0.634,76,84,93,99,88,"AXON,HWM,LHX,HEI-A,HEI"
18,Diagnostics & Research,19.725,4.515000000000002,0.585,0.5449999999999999,0.455,0.525,0.315,75,69,46,49,26,"IDXX,A"
19,Scientific & Technical Instruments,18.62,3.8900000000000006,0.68,0.56,0.51,0.59,0.6,74,68,76,53,96,GRMN
20,Electronic Gaming & Multimedia,17.63,0.14999999999999858,0.4,0.68,0.62,0.43,0.58,72,75,65,51,22,EA
21,Telecom Services,16.505,-0.39000000000000057,0.515,0.635,0.51,0.515,0.495,71,71,68,71,31,"AMX,CHT"
22,Agricultural Inputs,16.35,-0.8699999999999974,0.62,0.58,0.38,0.75,0.45,69,72,75,84,66,CTVA
23,Building Materials,14.895,4.515000000000001,0.59,0.5349999999999999,0.5700000000000001,0.48,0.315,68,59,43,54,12,"MLM,VMC"
24,Auto Manufacturers,14.77,0.1399999999999988,0.71,0.73,0.29,0.38,0.59,66,66,49,28,6,F
25,Healthcare Plans,13.49,1.1300000000000008,0.9,0.93,0.6,0.53,0.51,65,62,6,1,1,HUM
26,Semiconductors,12.396666666666667,-0.8733333333333348,0.65,0.62,0.43999999999999995,0.41,0.47,63,63,56,19,7,"MPWR,NXPI,MCHP"
27,Oil & Gas Integrated,12.282499999999999,2.91,0.735,0.5825,0.5125,0.4575,0.3125,62,57,60,31,24,"IMO,E,SU,PBR"
28,Oil & Gas Refining & Marketing,11.094999999999999,4.409999999999998,0.935,0.71,0.30000000000000004,0.36,0.375,60,49,34,21,10,"VLO,PSX"
29,Software - Infrastructure,11.03,-0.9550000000000001,0.42000000000000004,0.405,0.32,0.8300000000000001,0.38,59,60,79,93,49,"ZS,CRWV"
30,Steel,11.01,-6.299999999999999,0.7,0.7,0.45,0.56,0.48,57,74,40,4,4,NUE
31,Grocery Stores,9.24,-4.76,0.26,0.44,0.45,0.48,0.32,56,65,74,76,81,KR
32,Building Products & Equipment,8.595,0.5400000000000009,0.52,0.52,0.4,0.55,0.42500000000000004,54,53,72,81,62,"JCI,CARR"
33,Lodging,7.494999999999999,0.11499999999999844,0.655,0.635,0.25,0.4,0.3,53,51,53,59,75,"HLT,MAR"
34,Food Distribution,7.38,0.16999999999999993,0.52,0.5,0.59,0.66,0.69,51,50,63,34,41,SYY
35,Insurance - Life,7.040000000000001,-1.1959999999999997,0.6779999999999999,0.6679999999999999,0.41,0.46399999999999997,0.576,50,54,35,56,63,"PUK,MFC,MET,AFL,PRU"
