Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electronic Components,86.185,7.965000000000003,0.54,0.54,0.5549999999999999,0.6699999999999999,0.185,99,99,99,98,90,"CLS,FLEX"
2,Gold,75.74000000000001,4.38000000000001,0.56,0.535,0.5700000000000001,0.75,0.46,98,97,92,99,92,"GFI,AU"
3,Credit Services,72.965,-3.7549999999999955,0.7250000000000001,0.7150000000000001,0.435,0.405,0.32,97,98,95,90,87,"SOFI,SYF"
4,Luxury Goods,59.45,2.690000000000005,0.42,0.34,0.63,0.32,0.4,95,95,98,97,99,TPR
5,Engineering & Construction,54.975,3.595000000000006,0.53,0.45,0.7949999999999999,0.6299999999999999,0.32499999999999996,94,94,97,94,32,"FIX,EME"
6,Travel Services,47.3,5.659999999999997,0.75,0.59,0.51,0.51,0.37,92,90,90,81,42,VIK
7,Capital Markets,40.43,-1.8624999999999972,0.44499999999999995,0.5475,0.5449999999999999,0.5075,0.49,90,92,89,78,95,"FUTU,IBKR,NMR,TW"
8,Specialty Industrial Machinery,39.32,8.850000000000001,0.48,0.38,0.41000000000000003,0.475,0.29,89,89,94,59,19,"SYM,DOV"
9,Communication Equipment,29.086666666666662,-0.2700000000000031,0.6933333333333334,0.75,0.4166666666666667,0.42333333333333334,0.48,87,86,76,92,94,"UI,HPE,ERIC"
10,Semiconductors,28.083999999999996,4.619999999999994,0.58,0.61,0.388,0.47800000000000004,0.42400000000000004,86,83,86,60,27,"CRDO,STM,ASX,ON,GFS"
11,Discount Stores,28.025,-1.495000000000001,0.32,0.45,0.53,0.8,0.48,84,87,87,95,5,"DLTR,DG"
12,Computer Hardware,26.1875,11.190000000000001,0.64,0.5275,0.5825,0.5225,0.3175,83,68,84,29,8,"WDC,PSTG,SMCI,HPQ"
13,Specialty Retail,21.32,-5.399999999999999,0.56,0.6,0.59,0.56,0.405,81,84,83,65,22,"ULTA,TSCO"
14,Residential Construction,19.62,0.9700000000000024,0.71,0.69,0.56,0.32,0.5,79,78,38,3,10,PHM
15,Internet Content & Information,19.03,-2.3833333333333293,0.64,0.6133333333333333,0.5333333333333333,0.39666666666666667,0.48666666666666664,78,81,75,56,84,"Z,ZG,BIDU"
16,Financial Conglomerates,18.85,-1.8099999999999987,0.61,0.82,0.53,0.8,0.7,76,79,56,25,25,IX
17,Rental & Leasing Services,17.98,1.1400000000000006,0.88,0.93,0.25,0.68,0.57,75,73,60,86,71,AER
18,Asset Management,17.646,0.7560000000000002,0.5660000000000001,0.576,0.49000000000000005,0.42000000000000004,0.33399999999999996,73,75,71,37,51,"CG,NTRS,STT,TROW,OWL"
19,Entertainment,16.96,-0.28999999999999915,0.74,0.72,0.44,0.47,0.57,71,76,81,89,97,FOX
20,Banks - Regional,16.66875,1.42,0.72125,0.65,0.3975,0.47750000000000004,0.3125,70,70,67,44,40,"BAP,SHG,CFG,RF,KEY,HBAN,FITB,FCNCA"
21,Telecom Services,15.453333333333333,-1.1366666666666667,0.6866666666666666,0.7983333333333333,0.5266666666666667,0.6699999999999999,0.5616666666666666,68,71,63,35,13,"VIV,VOD,RCI,TLK,TU,BCE"
22,Diagnostics & Research,13.925,3.085000000000001,0.67,0.73,0.425,0.575,0.51,67,60,44,73,81,"LH,NTRA"
23,Medical Devices,12.593333333333334,0.20333333333333314,0.7166666666666667,0.7666666666666666,0.49666666666666665,0.43,0.5133333333333333,65,65,40,43,67,"PODD,PHG,ZBH"
24,Utilities - Regulated Gas,12.44,0.16000000000000014,0.54,0.72,0.52,0.52,0.55,63,63,54,70,76,ATO
25,Scientific & Technical Instruments,11.653333333333334,-0.29999999999999893,0.4766666666666666,0.47666666666666674,0.5266666666666667,0.49000000000000005,0.36000000000000004,62,62,78,63,65,"TRMB,TDY,KEYS"
26,Agricultural Inputs,10.73,-0.10999999999999943,0.61,0.44,0.38,0.6,0.5,60,60,68,87,44,NTR
27,Software - Infrastructure,8.89625,5.85125,0.70375,0.59,0.4,0.515,0.4225,59,44,43,52,63,"MDB,CYBR,VRSN,GEN,NTAP,GPN,CHKP,GDDY"
28,Insurance - Property & Casualty,8.75,-1.9666666666666668,0.6466666666666666,0.59,0.43333333333333335,0.5966666666666667,0.5633333333333334,57,57,65,76,70,"L,WRB,MKL"
29,Household & Personal Products,7.800000000000001,1.5100000000000007,0.5549999999999999,0.515,0.455,0.675,0.6,56,54,62,14,16,"EL,CHD"
30,Drug Manufacturers - Specialty & Generic,7.53,3.8000000000000003,0.72,0.75,0.36,0.47,0.44,54,48,14,46,35,TEVA
31,Financial Data & Stock Exchanges,7.09,-7.57,0.3,0.5,0.66,0.59,0.5,52,67,79,68,60,CBOE
32,REIT - Healthcare Facilities,5.29,-0.20999999999999996,0.47,0.41,0.62,0.44,0.89,51,51,59,41,89,VTR
33,Oil & Gas Integrated,5.13,3.4800000000000004,0.75,0.6633333333333333,0.45999999999999996,0.39999999999999997,0.34,49,38,27,13,11,"CVE,EC,PBR-A"
34,Personal Services,4.36,-2.6499999999999995,0.35,0.37,0.64,0.77,0.66,48,56,73,83,68,ROL
35,Utilities - Regulated Electric,3.8475,-0.6749999999999998,0.44,0.45125000000000004,0.6849999999999999,0.58125,0.57625,46,49,51,54,54,"CNP,FTS,PPL,AEE,FE,DTE,CMS,EIX"
36,Packaging & Containers,2.765,3.58,0.71,0.6599999999999999,0.36,0.44,0.47,44,32,24,16,38,"PKG,SW"
37,Pollution & Treatment Controls,2.38,-0.8700000000000001,0.46,0.52,0.6,0.51,0.42,43,46,46,30,33,VLTO
38,Railroads,2.24,-0.6199999999999997,0.53,0.59,0.19,0.49,0.4,41,41,33,75,57,WAB
39,Utilities - Regulated Water,1.98,-0.98,0.44,0.59,0.55,0.7,0.75,40,43,49,49,52,AWK
40,Restaurants,0.41000000000000014,-0.22499999999999964,0.505,0.395,0.465,0.695,0.52,38,37,57,79,59,"DRI,QSR"
41,Oil & Gas Midstream,0.0,0.0,0.59,0.4,0.28,0.75,0.44,37,35,37,38,42,VG
