Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Other Industrial Metals & Mining,286.05,-24.639999999999986,0.47,0.57,0.74,0.56,0.58,99,99,99,74,93,MP
2,Telecom Services,189.79,152.14,0.93,0.77,0.39,0.37,0.64,99,90,62,2,96,SATS
3,Beverages - Non-Alcoholic,93.63,9.799999999999997,0.79,0.88,0.46,0.54,0.61,98,99,89,78,1,CELH
4,Utilities - Independent Power Producers,87.46,11.629999999999995,0.56,0.22,0.78,0.69,0.33,96,98,99,98,91,TLN
5,Computer Hardware,74.48,21.365000000000002,0.605,0.5499999999999999,0.39,0.475,0.25,95,94,95,99,94,"IONQ,LOGI"
6,Mortgage Finance,71.93,-3.1399999999999864,0.55,0.52,0.66,0.55,0.61,94,96,96,94,84,COOP
7,Communication Equipment,63.435,4.215000000000003,0.5449999999999999,0.45999999999999996,0.645,0.515,0.425,93,95,98,90,99,"ASTS,CIEN"
8,Resorts & Casinos,47.51,13.689999999999998,0.8,0.71,0.38,0.2,0.71,91,84,80,43,40,WYNN
9,"Furnishings, Fixtures & Appliances",41.98,3.729999999999997,0.74,0.74,0.51,0.53,0.36,90,91,82,71,77,SGI
10,Gold,40.635000000000005,6.160000000000004,0.7549999999999999,0.72,0.33999999999999997,0.73,0.55,89,87,70,85,89,"PAAS,AGI"
11,Electrical Equipment & Parts,38.87,4.369999999999997,0.55,0.49,0.81,0.43,0.19,88,88,91,48,4,NVT
12,Health Information Services,35.21,2.469999999999999,0.69,0.66,0.29,0.3,0.35,87,83,84,77,99,DOCS
13,Aerospace & Defense,33.615,-1.6924999999999955,0.40249999999999997,0.29,0.58,0.7875,0.335,85,89,94,87,34,"BWXT,AVAV,CW,WWD"
14,Internet Content & Information,33.01,-1.0599999999999952,0.56,0.52,0.44999999999999996,0.525,0.46,84,85,78,62,44,"TME,SNAP"
15,Airlines,32.72,2.9349999999999987,0.8,0.73,0.35000000000000003,0.665,0.54,83,82,79,57,38,"LTM,LUV"
16,Auto Manufacturers,32.135,-7.219999999999999,0.635,0.6599999999999999,0.515,0.445,0.585,82,93,68,95,95,"XPEV,RIVN"
17,Apparel Manufacturing,27.32,3.289999999999999,0.59,0.41,0.57,0.61,0.33,80,74,90,93,83,RL
18,Utilities - Regulated Water,25.37,6.170000000000002,0.65,0.68,0.44,0.53,0.43,79,66,63,91,56,SBS
19,Engineering & Construction,25.099999999999998,0.379999999999999,0.5175,0.5325,0.5,0.6575,0.4425,78,76,83,83,51,"APG,MTZ,STN,J"
20,Security & Protection Services,24.61,1.9499999999999993,0.61,0.6,0.74,0.41,0.4,76,72,74,59,29,ALLE
21,Diagnostics & Research,24.61,3.405000000000001,0.66,0.605,0.56,0.5,0.315,76,71,57,11,7,"MEDP,ILMN"
22,Oil & Gas Equipment & Services,24.35,-3.169999999999998,0.69,0.61,0.54,0.56,0.27,74,80,76,73,45,FTI
23,Biotechnology,24.263333333333332,0.5533333333333346,0.61,0.5766666666666667,0.5800000000000001,0.6266666666666666,0.6466666666666666,73,73,72,65,88,"SMMT,INCY,GMAB"
24,Real Estate Services,24.02,-2.030000000000001,0.78,0.76,0.6,0.33,0.49,72,79,44,22,78,JLL
25,Utilities - Regulated Electric,22.28,-2.549999999999997,0.4566666666666667,0.52,0.5733333333333334,0.6933333333333334,0.6766666666666667,71,77,87,80,54,"KEP,EMA,LNT"
26,Metal Fabrication,22.2,-3.3000000000000007,0.42,0.34,0.37,0.71,0.62,70,78,93,96,98,CRS
27,Entertainment,21.115,0.04999999999999716,0.69,0.6499999999999999,0.32999999999999996,0.48,0.4,68,70,67,54,79,"ROKU,NWS"
28,Rental & Leasing Services,20.47,6.159999999999998,0.76,0.68,0.69,0.59,0.49,67,60,88,60,70,FTAI
29,Auto Parts,20.45,1.5700000000000003,0.75,0.79,0.43,0.43,0.4,66,65,56,20,10,MGA
30,Electronics & Computer Distribution,20.18,0.7199999999999989,0.54,0.62,0.46,0.45,0.24,65,68,71,35,68,SNX
31,Utilities - Renewable,18.2,3.5599999999999987,0.49,0.7,0.42,0.38,0.64,63,62,28,70,39,EBR
32,Insurance - Diversified,17.525,-1.7800000000000011,0.635,0.575,0.495,0.55,0.395,62,67,65,67,61,"AEG,BNT"
33,Residential Construction,15.96,2.530000000000001,0.8,0.72,0.54,0.41,0.3,61,57,29,10,9,TOL
34,Food Distribution,15.004999999999999,-2.9400000000000013,0.54,0.49,0.5900000000000001,0.63,0.43,60,63,85,76,63,"PFGC,USFD"
35,Capital Markets,14.344999999999999,3.334999999999999,0.675,0.62,0.45,0.35,0.265,59,51,48,34,60,"HLI,JEF"
36,Tools & Accessories,12.456666666666665,-1.8066666666666684,0.5166666666666667,0.5133333333333333,0.6233333333333334,0.48666666666666664,0.47333333333333333,57,59,73,56,59,"LECO,RBC,SNA"
37,Auto & Truck Dealerships,12.11,-2.2200000000000006,0.62,0.65,0.33,0.45,0.51,56,61,41,46,50,PAG
38,Medical Care Facilities,10.995,-0.14000000000000057,0.715,0.74,0.29500000000000004,0.5900000000000001,0.495,55,52,51,89,71,"EHC,FMS"
39,Banks - Regional,10.635,1.325000000000001,0.5900000000000001,0.595,0.335,0.395,0.43,54,50,50,68,66,"EWBC,BCH"
40,Credit Services,10.06,-1.4699999999999989,0.87,0.8,0.28,0.42,0.4,52,54,37,30,21,ALLY
41,REIT - Diversified,9.92,1.5700000000000003,0.62,0.48,0.58,0.65,0.93,51,48,60,52,73,WPC
42,Internet Retail,9.92,-1.8200000000000003,0.75,0.78,0.37,0.9,0.47,51,55,66,99,90,CHWY
43,Asset Management,8.47,0.9400000000000004,0.735,0.605,0.42500000000000004,0.44999999999999996,0.555,49,45,46,61,72,"PHYS,PFG"
44,REIT - Mortgage,7.64,1.0899999999999999,0.67,0.55,0.67,0.38,0.68,48,43,43,27,65,NLY
45,Trucking,6.8,-1.0700000000000003,0.62,0.67,0.32,0.3,0.12,46,46,38,40,20,XPO
46,Software - Application,6.511428571428572,2.032857142857143,0.6471428571428571,0.4642857142857143,0.44,0.4857142857142857,0.33571428571428574,45,38,52,88,76,"YMM,BSY,GWRE,MANH,DOCU,DT,DUOL"
47,Specialty Retail,6.353333333333334,-2.5566666666666658,0.47000000000000003,0.5833333333333334,0.41,0.40666666666666673,0.3033333333333333,44,49,39,28,41,"CASY,DKS,BBY"
48,Software - Infrastructure,6.12,2.043333333333333,0.5033333333333333,0.48666666666666664,0.5366666666666666,0.47000000000000003,0.4533333333333333,43,37,33,55,82,"FFIV,OKTA,KSPI"
49,Waste Management,5.67,-0.7800000000000002,0.49,0.485,0.575,0.52,0.39,41,40,49,63,52,"GFL,CLH"
