Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Utilities - Regulated Electric,153.095,13.185000000000002,0.48,0.4,0.59,0.6799999999999999,0.39,99,99,99,99,98,"OKLO,OGE"
2,Communication Equipment,87.96,15.559999999999988,0.72,0.72,0.74,0.58,0.28,98,98,97,89,86,LITE
3,Gold,54.785,7.630000000000003,0.685,0.745,0.31,0.715,0.395,97,94,85,95,88,"CDE,RGLD"
4,Solar,48.42,0.7600000000000051,0.73,0.68,0.41,0.6,0.41,95,95,91,92,42,NXT
5,Aerospace & Defense,47.385,-3.0975000000000037,0.49,0.4925,0.4375,0.62,0.51,94,97,94,91,80,"KTOS,HII,DRS,CAE"
6,Internet Retail,42.37,5.164999999999999,0.4,0.425,0.59,0.62,0.235,92,89,92,83,15,"W,CART"
7,Internet Content & Information,41.515,9.435000000000002,0.645,0.6799999999999999,0.5900000000000001,0.5800000000000001,0.48,91,86,71,67,65,"BZ,MTCH"
8,Farm & Heavy Construction Machinery,36.13,-1.3900000000000006,0.59,0.56,0.63,0.56,0.23,89,91,89,41,17,OSK
9,Household & Personal Products,36.12,-9.370000000000005,0.29,0.18,0.67,0.36,0.46,88,92,98,98,99,HIMS
10,Oil & Gas Refining & Marketing,33.95,9.140000000000004,0.87,0.79,0.43,0.51,0.31,86,83,76,24,1,DINO
11,Financial Conglomerates,32.7,0.1700000000000017,0.45,0.31,0.72,0.45,0.38,85,88,95,97,97,FRHC
12,Metal Fabrication,24.75,4.780000000000001,0.69,0.73,0.42,0.48,0.52,83,76,64,73,94,MLI
13,Leisure,24.36,2.120000000000001,0.67,0.71,0.44,0.49,0.58,82,80,83,65,68,HAS
14,Asset Management,24.314999999999998,0.514999999999997,0.63,0.585,0.475,0.42000000000000004,0.255,80,82,80,56,62,"IVZ,SEIC"
15,Airports & Air Services,21.8,-4.140000000000001,0.47,0.62,0.51,0.65,0.33,79,85,88,86,83,PAC
16,Building Products & Equipment,20.255,-0.9199999999999982,0.49,0.5,0.595,0.42500000000000004,0.355,77,79,65,29,11,"WMS,SPXC"
17,Electrical Equipment & Parts,20.23,2.120000000000001,0.6,0.61,0.58,0.37,0.17,76,74,73,35,55,AYI
18,Pharmaceutical Retailers,19.13,2.4599999999999973,0.57,0.63,0.78,0.42,0.61,74,71,67,70,39,WBA
19,Real Estate Services,18.91,-1.9699999999999989,0.6950000000000001,0.685,0.755,0.41500000000000004,0.55,73,77,70,38,48,"CIGI,FSV"
20,Specialty Industrial Machinery,17.826,0.5760000000000005,0.5,0.492,0.6759999999999999,0.404,0.354,71,73,79,36,35,"GNRC,GTLS,DCI,CR,AOS"
21,Resorts & Casinos,17.41,8.28,0.84,0.72,0.36,0.25,0.45,70,55,44,14,9,MGM
22,Engineering & Construction,16.28,0.3100000000000023,0.495,0.495,0.44,0.41500000000000004,0.31,68,70,48,15,3,"BLD,TTEK"
