Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Biotechnology,154.60285714285715,0.45142857142857906,0.6314285714285715,0.5157142857142858,0.49857142857142855,0.5914285714285714,0.46,99,99,99,74,63,"ABVX,RYTM,CORT,IONS,AXSM,LEGN,RVMD"
2,Capital Markets,66.42999999999999,21.603333333333318,0.5766666666666667,0.5166666666666667,0.3333333333333333,0.5233333333333333,0.37333333333333335,99,99,84,37,11,"IREN,MARA,MKTX"
3,Electronic Components,49.81,5.359999999999999,0.47,0.48,0.56,0.58,0.23,97,97,99,91,73,SANM
4,Gold,47.42,7.174999999999997,0.77,0.74,0.48000000000000004,0.76,0.39,96,96,80,99,83,"OR,EQX"
5,Semiconductors,39.465,4.545000000000002,0.5900000000000001,0.5700000000000001,0.535,0.495,0.45999999999999996,94,94,93,90,81,"RMBS,SITM"
6,Auto Manufacturers,32.76,4.2499999999999964,0.5,0.62,0.52,0.36,0.65,93,90,91,84,49,ZK
7,Pollution & Treatment Controls,31.4,-0.730000000000004,0.495,0.5549999999999999,0.77,0.51,0.26,91,93,96,77,33,"FSS,ZWS"
8,Residential Construction,27.040000000000003,-2.4349999999999987,0.585,0.685,0.495,0.38,0.41500000000000004,90,91,46,13,17,"IBP,TMHC"
9,Airlines,26.14,6.25,0.8,0.68,0.44,0.32,0.36,89,79,60,59,97,ALK
10,REIT - Healthcare Facilities,24.656666666666666,-0.7800000000000011,0.7633333333333333,0.6833333333333332,0.6,0.48,0.6366666666666666,87,87,87,83,84,"AHR,CTRE,HR"
11,Discount Stores,21.91,-6.370000000000001,0.32,0.34,0.65,0.42,0.54,86,89,97,86,87,OLLI
12,Resorts & Casinos,21.825,-0.07000000000000384,0.695,0.635,0.595,0.5,0.295,84,84,86,64,54,"RRR,BYD"
13,Rental & Leasing Services,21.185,1.745000000000001,0.745,0.6799999999999999,0.36,0.42500000000000004,0.48,83,77,79,80,67,"R,AL"
14,Broadcasting,20.73,-3.6799999999999997,0.61,0.71,0.51,0.41,0.72,81,86,69,53,57,NXST
