Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Computer Hardware,520.1,13.82000000000005,0.51,0.38,0.57,0.62,0.3,99,99,99,99,99,RGTI
2,Communication Equipment,126.86000000000001,16.265000000000015,0.755,0.71,0.54,0.35,0.48,99,99,93,27,26,"VSAT,BDC"
3,Gambling,90.34,-8.769999999999996,0.62,0.67,0.3,0.52,0.33,97,97,97,99,99,SGHC
4,Electronic Components,81.1,2.8299999999999983,0.5,0.51,0.48,0.71,0.31,96,96,99,97,90,TTMI
5,Uranium,58.86,16.78,0.6499999999999999,0.565,0.625,0.625,0.2,94,93,90,69,9,"UEC,NXE"
6,Other Precious Metals & Mining,52.26666666666667,-1.9966666666666555,0.5033333333333334,0.5299999999999999,0.48,0.8033333333333333,0.5,93,94,96,94,59,"SBSW,TFPM,BVN"
7,Copper,45.28,5.230000000000004,0.8,0.81,0.25,0.67,0.29,91,91,74,80,40,HBM
8,Gold,44.16,8.699999999999996,0.73,0.53,0.55,0.83,0.49,90,87,89,93,46,EGO
9,Auto Parts,40.17,1.4266666666666694,0.67,0.7133333333333334,0.34,0.41,0.5299999999999999,89,89,91,30,43,"QS,DORM,LEA"
10,Software - Application,40.11,0.509999999999998,0.755,0.7,0.5449999999999999,0.59,0.52,87,90,83,86,87,"YOU,FROG"
11,Semiconductors,30.5825,3.2600000000000016,0.6875,0.5825,0.535,0.44,0.5025,86,81,87,41,30,"PI,SMTC,ALGM,CRUS"
12,Farm Products,29.61,-1.3399999999999999,0.69,0.74,0.56,0.59,0.2,84,86,86,90,89,CALM
13,Engineering & Construction,26.23,-1.6499999999999986,0.53,0.8,0.45,0.66,0.24,83,83,81,81,81,GVA
14,Aerospace & Defense,26.08,-4.66,0.525,0.46499999999999997,0.385,0.5,0.415,81,84,94,96,97,"ACHR,SPR"
15,Recreational Vehicles,25.475,0.875,0.745,0.73,0.495,0.63,0.315,80,80,63,26,6,"DOOO,THO"
16,Security & Protection Services,23.67,1.3100000000000023,0.71,0.89,0.24,0.29,0.37,79,79,17,21,33,BCO
17,Capital Markets,23.217499999999998,3.3374999999999986,0.55,0.5925,0.40750000000000003,0.425,0.345,77,74,67,46,56,"RIOT,PIPR,MC,BGC"
18,Airlines,22.93,1.4250000000000007,0.61,0.6599999999999999,0.435,0.59,0.435,76,77,80,83,70,"SKYW,CPA"
19,Specialty Business Services,19.87,8.030000000000001,0.76,0.79,0.52,0.34,0.53,74,71,41,39,23,MMS
20,Specialty Chemicals,17.259999999999998,0.06999999999999673,0.515,0.55,0.44499999999999995,0.5549999999999999,0.54,73,73,79,76,51,"SXT,BCPC"
