Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Communication Equipment,206.62,-12.650000000000006,0.62,0.64,0.5,0.56,0.65,99,99,98,97,98,COMM
2,Diagnostics & Research,111.21,9.349999999999994,0.71,0.67,0.75,0.7,0.69,98,98,97,95,99,WGS
3,Gold,93.44,9.11,0.69,0.7033333333333333,0.36000000000000004,0.8033333333333333,0.5599999999999999,97,95,94,98,94,"SSRM,ORLA,SAND"
4,Credit Services,89.12,2.1300000000000097,0.63,0.16,0.56,0.84,0.39,95,97,99,99,97,SEZL
5,Solar,84.54,5.740000000000009,0.71,0.78,0.45,0.33,0.38,94,94,47,11,1,RUN
6,Advertising Agencies,66.85,5.609999999999992,0.69,0.65,0.43,0.53,0.07,92,92,95,77,56,MGNI
7,Capital Markets,65.095,14.530000000000001,0.5,0.5,0.485,0.585,0.31,91,88,62,52,66,"WULF,ETOR"
8,Utilities - Renewable,58.0,-1.5499999999999972,0.74,0.76,0.48,0.58,0.54,89,91,92,78,44,ENLT
9,Aerospace & Defense,48.14,-5.655000000000001,0.6950000000000001,0.6799999999999999,0.6000000000000001,0.575,0.53,88,89,83,88,86,"MRCY,VSEC"
10,Resorts & Casinos,45.459999999999994,7.49499999999999,0.755,0.665,0.43,0.395,0.54,86,81,84,44,36,"MLCO,HGV"
11,Internet Content & Information,44.98,0.25,0.59,0.64,0.65,0.25,0.54,84,86,91,80,88,GENI
12,Metal Fabrication,38.52,-1.9499999999999957,0.61,0.65,0.31,0.42,0.4,83,83,88,91,16,WOR
13,Information Technology Services,37.115,-5.814999999999998,0.63,0.635,0.5175000000000001,0.5975,0.42,81,84,89,81,67,"APLD,WNS,CNXC,PONY"
14,Specialty Chemicals,30.0825,2.7424999999999997,0.6675,0.655,0.3425,0.56,0.35,80,73,67,56,25,"PRM,HWKN,FUL,CBT"
15,"Furnishings, Fixtures & Appliances",29.21,-1.4399999999999977,0.66,0.71,0.46,0.41,0.33,78,78,69,55,58,PATK
16,Travel Services,28.723333333333333,0.4733333333333327,0.7599999999999999,0.7166666666666667,0.47,0.5233333333333333,0.37666666666666665,77,75,72,53,81,"CUK,TNL,GBTG"
17,Auto Parts,28.375,5.579999999999998,0.5800000000000001,0.635,0.375,0.505,0.28500000000000003,75,66,77,72,28,"AAP,ATMU"
18,Broadcasting,28.17,-1.8699999999999974,0.69,0.76,0.3,0.29,0.4,73,77,36,58,69,TGNA
19,Health Information Services,27.99,-3.780000000000001,0.77,0.83,0.45,0.55,0.17,72,80,66,94,91,BTSG
20,Healthcare Plans,26.95,0.8399999999999999,0.79,0.81,0.46,0.62,0.6,70,70,50,92,95,ALHC
21,Utilities - Independent Power Producers,24.59,-2.0700000000000003,0.56,0.53,0.66,0.76,0.41,69,72,86,73,75,TAC
22,Telecom Services,24.203333333333333,0.6400000000000006,0.6466666666666666,0.68,0.47,0.5766666666666667,0.5233333333333333,67,67,75,75,84,"VEON,TDS,LBTYK"
23,Conglomerates,23.669999999999998,4.189999999999998,0.755,0.665,0.515,0.5700000000000001,0.49,66,62,55,34,31,"SEB,OTTR"
24,Building Products & Equipment,20.994999999999997,2.104999999999997,0.675,0.48,0.45499999999999996,0.41500000000000004,0.305,64,61,81,28,30,"GMS,GFF"
25,Insurance - Life,20.12,-4.48,0.6,0.73,0.64,0.5,0.36,62,69,70,62,39,GNW
26,Software - Application,18.901666666666667,7.70166666666667,0.6966666666666667,0.47500000000000003,0.40166666666666667,0.5583333333333333,0.32666666666666666,61,55,78,86,92,"KC,NCNO,GTM,BL,ASAN,VERX"
27,Insurance - Property & Casualty,15.416666666666666,-4.859999999999998,0.5733333333333334,0.52,0.3466666666666667,0.63,0.6066666666666666,59,64,80,89,89,"LMND,PLMR,KMPR"
28,Residential Construction,12.356666666666667,2.8433333333333337,0.7466666666666667,0.7233333333333333,0.4833333333333334,0.26666666666666666,0.5033333333333333,58,52,22,9,38,"MHO,CVCO,KBH"
29,Discount Stores,11.97,-2.24,0.44,0.49,0.57,0.64,0.27,56,59,73,83,42,PSMT
30,Electrical Equipment & Parts,11.55,0.10999999999999943,0.655,0.6599999999999999,0.555,0.32,0.5449999999999999,55,56,42,20,45,"ENS,HAYW"
31,Building Materials,10.889999999999999,2.6599999999999984,0.53,0.53,0.485,0.525,0.365,53,47,59,84,77,"USLM,TGLS"
32,REIT - Diversified,10.06,0.0,0.9,0.77,0.52,0.53,0.79,52,53,41,38,52,BNL
33,Auto & Truck Dealerships,9.47,0.7400000000000002,0.84,0.63,0.24,0.3,0.25,50,48,61,61,78,CARG
34,Security & Protection Services,9.06,2.250000000000001,0.85,0.74,0.57,0.35,0.41,48,45,39,47,48,BRC
35,Farm & Heavy Construction Machinery,7.84,1.63,0.54,0.56,0.43,0.45,0.31,47,44,53,33,5,TEX
36,Biotechnology,7.3808333333333325,-1.8016666666666667,0.5299999999999999,0.5033333333333333,0.49,0.5990909090909091,0.5063636363636363,45,50,64,70,80,"MIRM,PTGX,ZLAB,AKRO,SLNO,AAPG,MENS,TLX,KRYS,ADMA,CYTK,PCVX"
37,REIT - Retail,6.36,1.5500000000000007,0.75,0.59,0.16,0.33,0.66,44,39,34,17,73,SKT
38,Asset Management,6.256666666666665,0.34333333333333194,0.5733333333333334,0.5233333333333333,0.4583333333333333,0.4116666666666667,0.42333333333333334,42,42,44,36,41,"FHI,APAM,HTGC,HASI,GBDC,CNS"
39,Specialty Industrial Machinery,6.08,-5.800000000000001,0.51,0.66,0.48,0.42,0.25,41,58,56,30,23,CXT
40,Recreational Vehicles,5.41,3.3200000000000003,0.81,0.82,0.47,0.46,0.41,39,34,14,8,3,HOG
41,Banks - Regional,4.792222222222222,0.7711111111111109,0.7166666666666667,0.6711111111111111,0.30444444444444446,0.35555555555555557,0.2622222222222222,38,38,38,45,62,"RNST,INDB,FIBK,UCB,FBP,WSFS,FULT,EBC,BMA"
42,REIT - Mortgage,3.55,1.1199999999999997,0.65,0.56,0.27,0.34,0.62,36,36,45,48,64,BXMT
43,Electronic Components,1.64,0.34999999999999987,0.64,0.61,0.41,0.49,0.22,34,33,28,59,53,PLXS
44,Software - Infrastructure,1.4366666666666665,2.9450000000000003,0.64,0.6083333333333333,0.325,0.355,0.3283333333333333,33,30,31,69,70,"DLO,AVPT,RELY,CLBT,EEFT,TENB"
45,REIT - Specialty,1.3966666666666667,-3.7333333333333334,0.57,0.5733333333333334,0.38999999999999996,0.5233333333333333,0.77,31,41,48,31,61,"EPR,PCH,RYN"
46,Department Stores,-0.51,1.45,0.64,0.68,0.49,0.36,0.32,30,28,17,3,9,M
47,Apparel Manufacturing,-2.11,4.17,0.79,0.675,0.395,0.45,0.25,28,17,16,27,6,"ZGN,PVH"
48,Agricultural Inputs,-2.32,1.8700000000000006,0.56,0.52,0.31,0.45,0.4,27,25,25,16,22,SMG
49,Oil & Gas Equipment & Services,-2.823333333333334,3.4399999999999986,0.6333333333333333,0.4833333333333334,0.38000000000000006,0.4766666666666666,0.25333333333333335,25,19,23,22,12,"VAL,LB,WHD"
50,Utilities - Regulated Gas,-3.27,-1.99,0.46,0.31,0.57,0.53,0.53,23,31,52,67,72,MDU
51,REIT - Office,-4.28,1.8699999999999992,0.755,0.54,0.275,0.525,0.45499999999999996,22,20,20,25,59,"DEI,SLG"
52,Insurance - Specialty,-4.46,1.2000000000000002,0.51,0.31,0.49,0.31,0.39,20,22,33,50,50,AGO
53,Trucking,-5.51,-0.7400000000000002,0.59,0.5,0.3,0.44,0.2,19,23,27,23,34,SNDR
54,Oil & Gas E&P,-6.1925,2.990000000000001,0.6075,0.54,0.45,0.48,0.215,17,16,19,12,8,"CRC,CIVI,SM,VIST"
55,Beverages - Non-Alcoholic,-6.48,-3.9100000000000006,0.3,0.34,0.62,0.67,0.57,16,27,58,64,14,FIZZ
56,Thermal Coal,-8.3,4.489999999999998,0.47,0.34,0.46,0.32,0.3,14,12,11,2,2,CNR
57,Electronics & Computer Distribution,-13.32,0.9900000000000002,0.59,0.69,0.3,0.38,0.33,12,9,2,5,19,NSIT
58,Specialty Business Services,-13.34,1.9299999999999997,0.6,0.58,0.31,0.44,0.15,11,8,12,41,33,CBZ
59,Staffing & Employment Services,-13.473333333333334,0.40999999999999837,0.6933333333333334,0.6833333333333332,0.29666666666666663,0.45,0.3566666666666667,9,11,5,19,11,"KFY,TNET,RHI"
60,Household & Personal Products,-14.08,-1.9800000000000004,0.5,0.43,0.28,0.88,0.46,8,14,30,66,47,IPAR
61,Engineering & Construction,-17.83,0.6300000000000026,0.56,0.48,0.26,0.47,0.21,6,5,3,14,20,EXPO
62,Scientific & Technical Instruments,-18.69,-0.7699999999999996,0.53,0.53,0.34,0.38,0.43,5,6,9,6,17,NOVT
63,Insurance Brokers,-24.61,-5.609999999999999,0.51,0.4,0.25,0.61,0.54,3,3,6,42,55,BWIN
