Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Computer Hardware,577.3,60.729999999999905,0.45,0.38,0.29,0.65,0.21,99,99,99,99,99,QUBT
2,Footwear & Accessories,96.2,9.200000000000003,0.83,0.83,0.7,0.49,0.2,98,98,90,70,40,WWW
3,Pollution & Treatment Controls,62.21,21.28,0.63,0.44,0.27,0.65,0.54,97,87,94,89,86,PCT
4,Engineering & Construction,54.30500000000001,-1.2249999999999943,0.52,0.46,0.515,0.685,0.32999999999999996,95,97,95,97,84,"AGX,MYRG"
5,Utilities - Independent Power Producers,52.93,3.030000000000001,0.73,0.68,0.61,0.78,0.55,94,95,97,87,79,KEN
6,Silver,52.34,5.830000000000005,0.71,0.71,0.29,0.8,0.38,92,90,87,95,87,MAG
7,Specialty Industrial Machinery,50.61,3.7050000000000054,0.665,0.625,0.57,0.525,0.315,90,92,79,79,70,"XMTR,SXI"
8,Electrical Equipment & Parts,47.69,11.589999999999996,0.51,0.6,0.58,0.31,0.21,89,86,62,35,14,POWL
9,Real Estate Services,41.62,-4.359999999999999,0.79,0.82,0.87,0.35,0.56,87,89,75,17,65,NMRK
10,Software - Infrastructure,35.85,10.29,0.675,0.57,0.29000000000000004,0.37,0.495,86,75,57,67,71,"NN,PAGS"
11,Gambling,35.044999999999995,-12.030000000000001,0.625,0.5449999999999999,0.44999999999999996,0.515,0.49,84,94,98,98,5,"SBET,BRSL"
12,Oil & Gas Refining & Marketing,31.945,14.945,0.745,0.625,0.22999999999999998,0.41000000000000003,0.315,83,57,56,29,2,"CVI,PBF"
13,Software - Application,28.258888888888887,4.077777777777776,0.6722222222222222,0.6188888888888889,0.3577777777777778,0.4555555555555555,0.36000000000000004,81,71,83,92,81,"DAVE,SPNS,NATL,BTDR,RNG,WRD,ALRM,GRND,ALKT"
14,Drug Manufacturers - Specialty & Generic,27.42833333333333,-2.9350000000000023,0.5866666666666667,0.5933333333333334,0.535,0.6233333333333333,0.6416666666666667,79,83,70,37,41,"INDV,KNSA,BHC,AMRX,HCM,ALVO"
15,Communication Equipment,27.235,2.344999999999999,0.63,0.745,0.42500000000000004,0.47000000000000003,0.35,78,73,65,63,78,"EXTR,VIAV"
16,Auto Parts,27.096666666666664,-1.6666666666666679,0.6566666666666667,0.5933333333333334,0.42333333333333334,0.43333333333333335,0.48666666666666664,76,81,73,81,54,"DAN,GTX,GT"
17,Medical Instruments & Supplies,26.3,-7.739999999999998,0.67,0.6,0.59,0.64,0.34,75,84,84,60,94,WRBY
18,Credit Services,25.74,6.7499999999999964,0.81,0.7150000000000001,0.325,0.335,0.14500000000000002,73,65,60,62,73,"ENVA,BFH"
19,Auto & Truck Dealerships,24.026666666666667,-3.3900000000000006,0.6566666666666666,0.7066666666666667,0.29,0.5966666666666667,0.5,71,79,71,78,76,"KAR,SAH,DRVN"
20,Restaurants,23.93,-1.75,0.49,0.5,0.46,0.61,0.45,70,76,86,86,83,CAKE
21,Oil & Gas Equipment & Services,23.585,3.2974999999999994,0.64,0.5349999999999999,0.425,0.5575,0.30500000000000005,68,67,59,43,35,"NEXT,TDW,OII,USAC"
22,Semiconductor Equipment & Materials,22.07,4.969999999999999,0.55,0.55,0.43,0.38,0.46,67,59,40,10,1,ACLS
23,Utilities - Renewable,21.71,-4.18,0.55,0.7,0.53,0.63,0.31,65,78,81,76,51,RNW
24,Aerospace & Defense,17.9,-0.21000000000000085,0.51,0.57,0.47,0.62,0.35,63,63,76,40,37,AIR
25,Food Distribution,17.44,-6.299999999999997,0.54,0.48,0.54,0.52,0.6,62,70,89,90,97,CHEF
26,Biotechnology,17.077272727272728,-3.2709090909090897,0.6418181818181818,0.5818181818181819,0.42818181818181816,0.5763636363636363,0.43363636363636365,60,68,43,54,59,"LQDA,SRRK,TARS,NAMS,ARWR,XENE,KYMR,CPRX,VKTX,CRNX,RARE"
27,Asset Management,15.645,-1.5,0.665,0.7,0.325,0.365,0.53,59,60,52,57,63,"BBUC,BUR"
28,Oil & Gas Drilling,14.18,-1.7400000000000002,0.41,0.4,0.67,0.4,0.47,57,54,92,83,90,SOC
29,Entertainment,13.235,2.1449999999999996,0.56,0.405,0.345,0.41,0.36500000000000005,56,51,67,33,32,"MANU,BATRK"
30,Conglomerates,12.97,-4.659999999999998,0.7,0.75,0.31,0.59,0.58,54,62,63,73,75,BBU
31,Residential Construction,11.98,-4.77,0.62,0.62,0.36,0.3,0.65,52,56,38,6,8,DFH
32,Farm & Heavy Construction Machinery,11.34,-2.630000000000001,0.41,0.43,0.37,0.51,0.38,51,52,78,68,30,ALG
33,Recreational Vehicles,10.745,1.1799999999999997,0.635,0.6699999999999999,0.45,0.505,0.29000000000000004,49,49,49,8,3,"PII,LCII"
34,Leisure,9.57,5.75,0.64,0.65,0.48,0.28,0.46,48,44,29,21,24,PRKS
35,Banks - Regional,6.466666666666666,-0.26833333333333353,0.6958333333333333,0.6583333333333333,0.32416666666666666,0.34500000000000003,0.3016666666666667,46,48,41,52,68,"BANC,SBCF,SYBT,TRMK,UMBF,FBK,PFS,TOWN,CVBF,WSBC,BOH,BBAR"
36,Health Information Services,2.8,6.66,0.77,0.69,0.25,0.35,0.63,44,27,21,65,89,PRVA
37,Mortgage Finance,2.61,-1.2800000000000002,0.65,0.69,0.43,0.28,0.35,43,46,8,3,16,WD
38,Capital Markets,2.0433333333333334,2.5633333333333335,0.6066666666666667,0.5433333333333333,0.365,0.33499999999999996,0.42000000000000004,41,35,54,71,19,"MRX,CLSK,MIAX"
39,REIT - Retail,1.625,-0.3900000000000001,0.635,0.5549999999999999,0.43,0.42,0.41000000000000003,40,41,37,32,52,"UE,CURB"
40,Oil & Gas Midstream,0.9050000000000002,3.325,0.7,0.44999999999999996,0.495,0.435,0.31,38,30,44,51,57,"STNG,EE"
41,Education & Training Services,0.0,0.0,0.61,0.59,0.05,,,36,37,47,48,48,MH
42,Gold,0.0,0.0,0.66,0.69,0.51,,,36,37,47,48,48,AUGO
43,Utilities - Regulated Gas,-0.09,-1.2100000000000002,0.5,0.65,0.31,0.58,0.67,33,40,35,46,62,CPK
44,REIT - Industrial,-0.58,0.93,0.83,0.77,0.24,0.62,0.92,32,33,22,30,46,LXP
45,Specialty Chemicals,-2.5433333333333334,2.69,0.68,0.6833333333333332,0.3833333333333333,0.48333333333333334,0.5133333333333333,30,22,19,13,11,"KWR,ASH,WDFC"
46,REIT - Hotel & Motel,-2.76,2.0600000000000005,0.74,0.7,0.25,0.33,0.33,29,24,16,11,33,APLE
47,Diagnostics & Research,-3.18,2.7899999999999996,0.62,0.67,0.33,0.29,0.33,27,17,3,22,67,VCYT
48,Semiconductors,-3.6533333333333324,-0.20666666666666567,0.6,0.6,0.17666666666666667,0.36999999999999994,0.4033333333333333,25,29,17,14,10,"SYNA,DIOD,POWI"
49,Internet Content & Information,-3.94,-1.5499999999999998,0.33,0.34,0.4,0.21,0.31,24,32,51,84,92,RUM
50,Luxury Goods,-5.13,-8.24,0.58,0.65,0.3,0.4,0.47,22,43,13,2,6,CPRI
51,Utilities - Regulated Water,-5.575,0.07500000000000018,0.46,0.525,0.44,0.585,0.625,21,19,30,38,38,"CWT,AWR"
52,Utilities - Diversified,-5.58,-0.8200000000000003,0.4,0.38,0.43,0.53,0.78,19,25,33,44,60,AVA
53,Discount Stores,-7.23,5.77,0.53,0.58,0.6,0.51,0.2,17,10,14,59,44,TBBB
54,Specialty Business Services,-7.58,0.625,0.575,0.5700000000000001,0.38,0.53,0.28,16,14,32,56,43,"FA,UNF"
55,Chemicals,-7.62,2.6900000000000004,0.73,0.61,0.5,0.35,0.21,14,11,10,5,21,MEOH
56,Security & Protection Services,-8.06,-0.7500000000000009,0.56,0.24,0.42,0.53,0.33,13,16,68,94,98,GEO
57,Medical Care Facilities,-8.29,-2.9499999999999993,0.5,0.55,0.4,0.54,0.29,11,21,6,27,22,SGRY
