Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Specialty Industrial Machinery,108.79,-5.603333333333325,0.51,0.5299999999999999,0.6566666666666667,0.6833333333333332,0.30666666666666664,99,98,99,99,98,"PSIX,AMSC,HLIO"
2,Software - Application,102.8275,-13.040000000000006,0.6174999999999999,0.6525000000000001,0.345,0.5375,0.4325,98,99,98,97,92,"PRCH,DBD,CXM,PLUS"
3,Solar,102.72,9.829999999999998,0.74,0.65,0.47,0.5,0.57,97,97,97,30,2,SEDG
4,Industrial Distribution,71.18,-0.6499999999999915,0.62,0.59,0.75,0.18,0.28,95,95,93,83,93,DXPE
5,Tobacco,63.47,1.9699999999999989,0.57,0.81,0.67,0.66,0.37,93,92,92,95,97,TPB
6,Farm Products,61.9,0.10000000000000142,0.74,0.95,0.38,0.33,0.37,92,93,28,40,67,VITL
7,Metal Fabrication,55.35,-5.490000000000002,0.6,0.82,0.43,0.75,0.46,90,90,87,92,95,CMPO
8,Drug Manufacturers - Specialty & Generic,54.53,-3.1899999999999977,0.78,0.89,0.46,0.49,0.5,88,88,33,53,55,ANIP
9,Farm & Heavy Construction Machinery,49.54,9.299999999999997,0.64,0.79,0.5,0.4,0.41,87,82,52,32,13,BLBD
10,Gold,48.15,0.46999999999999886,0.73,0.59,0.45,0.79,0.3,85,85,78,90,65,FSM
11,Specialty Retail,47.83,-3.5649999999999977,0.5900000000000001,0.45999999999999996,0.5,0.69,0.33,83,87,90,93,10,"EYE,SVV"
12,Oil & Gas Equipment & Services,44.82,10.410000000000004,0.56,0.39,0.44,0.73,0.53,82,79,95,98,99,SEI
13,Information Technology Services,37.12,-7.640000000000001,0.65,0.62,0.29,0.74,0.4,80,83,88,87,83,FORTY
14,Auto Parts,36.13,1.720000000000006,0.77,0.7949999999999999,0.42500000000000004,0.42,0.35,78,79,80,23,15,"ADNT,PHIN"
15,Biotechnology,29.06142857142857,-0.6778571428571389,0.5757142857142857,0.5457142857142857,0.5335714285714286,0.6,0.48142857142857143,77,77,73,42,53,"CELC,ADPT,OCUL,CNTA,IRON,GLPG,HRMY,BLTE,AGIO,FOLD,APGE,DYN,VCEL,SRPT"
16,Health Information Services,27.575,2.16,0.71,0.745,0.45499999999999996,0.515,0.37,75,75,47,77,62,"PHR,PINC"
17,Electronic Components,25.16,1.4699999999999989,0.67,0.64,0.66,0.38,0.2,73,73,70,43,38,KN
18,Travel Services,23.36,3.4399999999999977,0.46,0.56,0.29,0.32,0.11,72,70,55,45,23,TRIP
19,Medical Devices,21.045,-1.615000000000002,0.6799999999999999,0.64,0.49,0.385,0.54,70,72,48,57,73,"ATEC,QDEL"
20,Asset Management,17.34,2.59,0.61,0.615,0.42,0.5900000000000001,0.375,68,63,57,38,18,"WT,DBRG"
21,Aerospace & Defense,17.21,5.050000000000001,0.62,0.54,0.41,0.26,0.49,67,52,22,25,50,VVX
22,"Furnishings, Fixtures & Appliances",17.095,3.3200000000000003,0.665,0.5700000000000001,0.415,0.435,0.365,65,58,32,27,30,"SCS,HNI"
23,Leisure,16.895,1.9749999999999996,0.615,0.5349999999999999,0.41000000000000003,0.45,0.20500000000000002,63,65,63,67,63,"OSW,MSGE"
24,Specialty Business Services,16.36,-0.9050000000000011,0.685,0.645,0.36,0.45999999999999996,0.6100000000000001,62,67,58,62,80,"LZ,TIC"
25,Internet Content & Information,16.150000000000002,2.4200000000000035,0.65,0.6133333333333334,0.35000000000000003,0.5433333333333333,0.44333333333333336,60,57,65,72,87,"JOYY,WB,YELP"
26,Banks - Regional,15.28111111111111,1.4355555555555544,0.758888888888889,0.6655555555555556,0.34444444444444444,0.3766666666666667,0.32333333333333336,58,60,45,55,77,"LC,CUBI,NIC,EFSC,CHCO,CASH,OFG,BANR,BUSE"
27,Specialty Chemicals,15.036666666666667,6.176666666666666,0.75,0.6966666666666667,0.24,0.36999999999999994,0.3766666666666667,57,43,12,10,22,"NGVT,CC,IOSP"
28,Aluminum,14.72,0.7800000000000011,0.67,0.57,0.42,0.55,0.64,55,62,67,35,5,CSTM
29,Electrical Equipment & Parts,14.69,-2.6800000000000015,0.29,0.34,0.26,0.5,0.28,53,68,82,20,35,ENVX
30,Utilities - Regulated Gas,14.49,9.75,0.62,0.31,0.53,0.58,0.21,52,35,68,75,58,CTRI
31,Education & Training Services,13.53,0.16000000000000014,0.63,0.55,0.57,0.5549999999999999,0.325,50,53,77,70,27,"COUR,STRA"
32,Banks - Diversified,13.22,-0.3699999999999992,0.52,0.45,0.36,0.53,0.2,48,55,75,78,72,NTB
33,Insurance - Reinsurance,12.09,0.5,0.57,0.5,0.66,0.49,0.68,47,48,85,88,70,SPNT
34,Beverages - Non-Alcoholic,11.375,4.24,0.6000000000000001,0.6,0.38,0.52,0.42,45,40,62,82,85,"AKO-B,COCO"
35,Semiconductor Equipment & Materials,10.48,2.6099999999999994,0.615,0.485,0.39,0.41000000000000003,0.47,43,42,72,37,75,"ACMR,FORM"
36,Grocery Stores,9.98,0.0649999999999995,0.51,0.73,0.42,0.51,0.4,42,47,20,48,17,"GO,WMK"
37,Medical Instruments & Supplies,9.870000000000001,-1.7899999999999991,0.605,0.635,0.495,0.59,0.345,40,50,50,60,82,"ATRC,LMAT"
38,Oil & Gas Midstream,9.72,6.012500000000001,0.725,0.53,0.5375,0.525,0.28500000000000003,38,33,35,33,33,"INSW,TRMD,DHT,GLP"
39,Oil & Gas Integrated,7.93,6.83,0.4,0.33,0.69,0.4,0.45,37,27,83,80,88,TGS
40,Security & Protection Services,7.22,-1.6700000000000008,0.51,0.55,0.26,0.54,0.41,35,45,60,85,78,CXW
41,Insurance - Property & Casualty,6.949999999999999,0.8899999999999988,0.485,0.54,0.485,0.475,0.46,33,38,37,73,52,"STC,TRUP"
42,Packaging & Containers,4.97,-0.20999999999999996,0.51,0.54,0.24,0.37,0.52,32,37,42,65,40,OI
43,REIT - Mortgage,4.19,3.0100000000000007,0.53,0.49,0.48,0.33,0.33,30,28,23,5,42,ABR
44,REIT - Retail,2.14,0.5100000000000002,0.85,0.73,0.45,0.42,0.33,28,32,27,47,68,IVT
45,Packaged Foods,0.6900000000000006,-0.5239999999999998,0.5860000000000001,0.41600000000000004,0.446,0.4680000000000001,0.506,27,30,53,22,37,"KLG,CENTA,CENT,UTZ,JJSF"
46,Broadcasting,0.0,0.0,0.66,0.67,0.34,0.34,,24,21,39,51,58,NMAX
47,Oil & Gas E&P,0.0,0.0,0.83,0.73,0.26,0.51,0.18,24,21,39,51,58,BKV
48,Building Products & Equipment,-1.12,-1.6300000000000001,0.63,0.51,0.54,0.36,0.72,22,23,43,17,43,ROCK
49,Insurance - Diversified,-2.25,-2.96,0.58,0.66,0.25,0.54,0.37,20,25,18,63,20,FIHL
50,Beverages - Brewers,-2.27,0.9899999999999998,0.54,0.53,0.29,0.18,0.82,18,18,25,68,90,CCU
51,REIT - Hotel & Motel,-2.98,1.8299999999999996,0.77,0.72,0.31,0.29,0.3,17,17,13,8,8,PK
52,Apparel Retail,-4.359999999999999,8.295000000000002,0.585,0.595,0.53,0.3,0.155,15,7,5,7,3,"AEO,VSCO"
53,Oil & Gas Drilling,-4.88,9.7,0.82,0.8,0.44,0.33,0.42,13,5,1,1,7,HP
54,Integrated Freight & Logistics,-5.25,3.0,0.65,0.58,0.42,0.4,0.3,12,13,17,12,28,HUBG
55,Utilities - Renewable,-5.61,3.9799999999999995,0.68,0.69,0.54,0.32,0.49,10,10,8,2,1,XIFR
56,Software - Infrastructure,-5.71,1.3000000000000007,0.6477777777777778,0.5311111111111111,0.43333333333333335,0.49222222222222217,0.35111111111111115,8,15,30,58,48,"EVCM,AVDX,CSGS,EVTC,APPN,RAMP,FIVN,PRGS,AI"
57,Medical Care Facilities,-6.486,2.4600000000000017,0.642,0.562,0.27,0.42000000000000004,0.426,7,12,10,15,32,"BKD,ADUS,PACS,ARDT,ACHC"
58,Restaurants,-12.475,-0.009999999999999787,0.45999999999999996,0.635,0.27,0.52,0.58,5,8,15,18,47,"CHA,WEN"
59,Textile Manufacturing,-14.83,0.2699999999999996,0.57,0.66,0.25,0.43,0.36,3,3,3,13,25,AIN
60,Auto & Truck Dealerships,-21.18,0.3100000000000023,0.525,0.515,0.19,0.495,0.095,2,1,7,28,12,"CWH,ACVA"
61,Staffing & Employment Services,-22.42,-1.5399999999999991,0.635,0.6799999999999999,0.3,0.315,0.6000000000000001,1,2,2,3,45,"MAN,NSP"
