Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Coking Coal,163.11,24.210000000000008,0.58,0.54,0.49,0.43,0.34,99,99,97,25,7,METC
2,Engineering & Construction,160.22,-16.590000000000003,0.47,0.68,0.76,0.93,0.23,99,99,99,99,57,WLDN
3,Medical Devices,113.70666666666666,120.27666666666666,0.6633333333333333,0.5966666666666667,0.30666666666666664,0.2866666666666667,0.30333333333333334,97,19,3,22,36,"SSII,ENOV,NVCR"
4,Other Industrial Metals & Mining,98.71,-0.1700000000000017,0.68,0.62,0.68,0.6,0.3,96,97,99,81,82,IPX
5,Semiconductors,80.74,9.14,0.6499999999999999,0.535,0.48,0.625,0.44500000000000006,94,94,94,97,96,"LASR,HIMX"
6,Pollution & Treatment Controls,65.67,-6.219999999999999,0.54,0.57,0.95,0.62,0.44,93,96,96,69,43,CECO
7,Security & Protection Services,60.519999999999996,-1.3100000000000023,0.75,0.7050000000000001,0.62,0.66,0.345,91,93,90,90,16,"EVLV,NSSC"
8,Packaging & Containers,56.84,4.0,0.84,0.7,0.78,0.7,0.43,90,91,88,70,37,TRS
9,Communication Equipment,55.85,14.340000000000003,0.58,0.57,0.15,0.32,0.32,88,87,91,72,78,AAOI
10,Solar,54.96,11.770000000000003,0.75,0.7450000000000001,0.4,0.315,0.375,87,88,73,31,25,"DQ,ARRY"
11,Gold,53.27,14.446666666666673,0.7466666666666667,0.4666666666666666,0.4533333333333333,0.7600000000000001,0.4033333333333333,85,85,82,88,52,"ARMN,AAUC,SA"
12,Lodging,47.88,4.670000000000002,0.91,0.88,0.27,0.52,0.13,84,90,63,73,94,SHCO
13,REIT - Office,39.19,8.54,0.73,0.64,0.22,0.89,0.31,82,81,84,94,46,PGRE
14,Industrial Distribution,37.9,1.9799999999999969,0.71,0.67,0.75,0.52,0.43,81,84,79,61,10,GIC
15,Telecom Services,29.335,-0.02499999999999858,0.5449999999999999,0.475,0.585,0.47000000000000003,0.365,79,79,93,64,30,"LILAK,GOGO"
16,Biotechnology,28.157692307692308,-4.491538461538461,0.5969230769230769,0.5376923076923077,0.5146153846153847,0.5092307692307693,0.41384615384615386,78,82,78,27,90,"CDTX,COGT,AUPH,MESO,WVE,TVTX,VRDN,SNDX,IMCR,BEAM,EWTX,JANX,BHVN"
17,Electronic Components,28.036666666666665,0.3933333333333344,0.64,0.6066666666666666,0.5366666666666666,0.4000000000000001,0.37999999999999995,76,78,76,24,54,"BELFB,BHE,ROG"
18,Building Products & Equipment,25.93,0.5599999999999987,0.6,0.72,0.41,0.4,0.49,75,76,55,28,24,JBI
19,Leisure,21.909999999999997,5.5049999999999955,0.7,0.625,0.395,0.4,0.2,73,72,33,15,4,"MODG,LUCK"
20,Consumer Electronics,21.0,4.629999999999999,0.75,0.75,0.44,0.35,0.5,72,70,24,13,39,SONO
21,Specialty Retail,19.95,0.879999999999999,0.84,0.86,0.48,0.56,0.15,70,75,51,87,28,WINA
22,Real Estate - Development,19.9,1.0799999999999983,0.68,0.65,0.73,0.41,0.42,69,73,57,10,6,FOR
23,Oil & Gas Midstream,19.386666666666667,4.523333333333335,0.7166666666666667,0.6066666666666667,0.5266666666666667,0.44,0.25333333333333335,67,69,48,45,15,"LPG,TNK,FLNG"
24,Information Technology Services,17.97,3.8199999999999985,0.72,0.85,0.42,0.48,0.33,66,67,81,91,45,TASK
25,Medical Care Facilities,16.87,7.93,0.8049999999999999,0.8300000000000001,0.31,0.41500000000000004,0.36,64,61,9,51,69,"MD,ASTH"
26,Entertainment,13.614999999999998,5.039999999999999,0.76,0.6799999999999999,0.33999999999999997,0.64,0.3,63,58,72,78,79,"IMAX,SPHR"
27,Steel,11.91,2.6400000000000006,0.72,0.68,0.33,0.37,0.37,61,64,43,19,12,WS
28,Asset Management,10.967500000000001,2.2575000000000003,0.5625,0.44,0.405,0.475,0.425,60,60,69,66,66,"SII,PX,VRTS,MSDL"
29,Marine Shipping,10.635,2.625,0.52,0.5549999999999999,0.59,0.405,0.3,58,57,64,48,49,"DAC,NMM"
