Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Health Information Services,390.55,-52.289999999999964,0.61,0.82,0.25,0.8,0.34,99,99,99,99,94,CTEV
2,Internet Retail,159.52,24.710000000000008,0.72,0.8,0.56,0.45,0.18,98,98,83,30,2,JMIA
3,Gold,143.67,29.749999999999986,0.86,0.73,0.32,0.82,0.63,96,96,98,98,98,CNL
4,Internet Content & Information,53.715,-0.3149999999999977,0.385,0.52,0.275,0.5650000000000001,0.44,94,94,96,96,70,"GRPN,MOMO"
5,Waste Management,46.22,3.789999999999999,0.81,0.79,0.34,0.7,0.54,93,93,52,24,11,MEG
6,Mortgage Finance,45.28,4.960000000000001,0.41,0.52,0.7,0.53,0.63,91,91,94,43,41,GHLD
7,Information Technology Services,32.843333333333334,-0.7266666666666666,0.5166666666666667,0.48,0.38666666666666666,0.5933333333333334,0.44333333333333336,89,89,93,91,96,"MGIC,PENG,INOD"
8,Restaurants,31.045,5.830000000000002,0.6799999999999999,0.43499999999999994,0.5700000000000001,0.635,0.365,87,87,91,83,39,"BH,KRUS"
9,Software - Infrastructure,24.150000000000002,0.2633333333333354,0.5583333333333333,0.585,0.4716666666666667,0.49833333333333335,0.3166666666666667,85,85,80,48,54,"GCT,YEXT,IIIV,BASE,ATEN,VRNT"
10,Software - Application,23.9,11.122,0.576,0.526,0.41,0.422,0.246,83,65,74,94,85,"ALTS,YALA,FSLY,JAMF,SEMR"
11,Credit Services,23.302500000000002,0.19500000000000028,0.63,0.7575000000000001,0.28,0.34,0.3425,81,83,63,85,89,"ATLC,EZPW,FINV,ECPG"
12,Packaged Foods,22.75,5.300000000000001,0.59,0.5,0.43,0.69,0.8,80,76,87,37,67,HLF
13,Solar,21.8,1.5199999999999996,0.57,0.69,0.27,0.4,0.59,78,80,70,13,50,JKS
14,Staffing & Employment Services,20.765,-0.7850000000000001,0.685,0.725,0.385,0.505,0.365,76,81,72,78,81,"BBSI,HSII"
15,Oil & Gas Integrated,19.77,4.719999999999999,0.66,0.73,0.39,0.52,0.05,74,70,61,70,26,DEC
16,Agricultural Inputs,18.79,1.2399999999999984,0.51,0.29,0.68,0.53,0.47,72,78,85,80,63,UAN
17,Drug Manufacturers - Specialty & Generic,15.993333333333332,0.6799999999999997,0.59,0.6333333333333333,0.4166666666666667,0.5933333333333334,0.47333333333333333,70,72,35,59,74,"PCRX,COLL,DVAX"
18,Medical Care Facilities,15.695,-0.6649999999999991,0.5449999999999999,0.725,0.415,0.395,0.425,69,74,39,72,20,"HCSG,USPH"
19,Biotechnology,13.06,-0.8471428571428561,0.63,0.5714285714285714,0.39999999999999997,0.6135714285714285,0.3735714285714286,67,67,54,63,28,"STOK,CRMD,LENZ,ZYME,ORIC,NTLA,PRAX,SION,ELVN,ETNB,NVAX,SPRY,SYRE,GPCR"
20,Farm & Heavy Construction Machinery,12.97,-1.7400000000000002,0.65,0.64,0.4,0.32,0.59,65,69,59,76,56,"ASTE,AEBI"
21,Oil & Gas Equipment & Services,12.025,4.795,0.6499999999999999,0.5650000000000001,0.43,0.515,0.21999999999999997,63,56,50,41,69,"EFXT,WTTR"
22,Auto Parts,11.99,4.8,0.75,0.72,0.59,0.41,0.31,61,54,26,6,9,THRM
