Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electrical Equipment & Parts,159.16500000000002,-9.039999999999992,0.565,0.615,0.39,0.44999999999999996,0.195,99,99,98,92,75,"AMPX,PLPC"
2,Semiconductor Equipment & Materials,136.23,7.1699999999999875,0.67,0.68,0.6,0.63,0.44,98,98,95,42,14,AEHR
3,Software - Infrastructure,104.45,-4.299999999999997,0.495,0.365,0.46,0.685,0.28,97,97,99,99,73,"AEVA,CTLP"
4,Telecom Services,83.80000000000001,-2.549999999999983,0.7,0.605,0.545,0.675,0.5449999999999999,95,95,93,83,37,"SIFY,SHEN"
5,Luxury Goods,69.09,4.960000000000008,0.64,0.68,0.5,0.53,0.27,93,93,59,86,95,REAL
6,Specialty Retail,56.51,5.729999999999997,0.64,0.61,0.42,0.66,0.67,92,88,88,90,90,BBW
7,Specialty Chemicals,55.83,3.289999999999999,0.91,0.91,0.29,0.53,0.26,90,92,8,1,1,MATV
8,Chemicals,53.269999999999996,0.8549999999999969,0.45,0.5,0.46,0.41000000000000003,0.48,88,90,92,95,78,"ASPI,WLKP"
9,Other Industrial Metals & Mining,46.23,4.339999999999996,0.27,0.44,0.25,0.44,0.28,86,86,97,98,15,CMP
10,Engineering & Construction,45.53,4.330000000000005,0.66,0.665,0.505,0.51,0.23500000000000001,85,83,78,80,17,"BWMN,GLDD"
11,Oil & Gas Equipment & Services,38.74,1.990000000000002,0.75,0.83,0.55,0.39,0.2,83,78,73,81,10,NPKI
12,Credit Services,37.515,6.445,0.585,0.625,0.28500000000000003,0.465,0.20500000000000002,81,73,85,97,92,"GDOT,OPFI"
13,Building Products & Equipment,37.22,0.19999999999999574,0.65,0.7,0.55,0.37,0.6,80,80,80,61,97,SWIM
14,Food Distribution,35.99,0.45000000000000284,0.76,0.72,0.46,0.49,0.33,78,75,86,47,47,SPTN
15,Biotechnology,35.201904761904764,-0.8357142857142819,0.5904761904761905,0.5385714285714286,0.5119047619047619,0.5638095238095238,0.42523809523809525,76,76,69,64,66,"URGN,AMLX,RIGL,TRVI,DNA,NAGE,VALN,FTRE,GHRS,MNMD,AVXL,KALV,TYRA,ZBIO,UPB,OCS,KURA,IMNM,DAWN,AVBP,GYRE"
16,Apparel Retail,34.61,7.09,0.86,0.81,0.47,0.19,0.2,75,71,29,8,3,GES
17,Integrated Freight & Logistics,33.49,6.110000000000003,0.56,0.49,0.58,0.44,0.12,73,69,81,10,19,FWRD
18,Travel Services,32.63,-7.25,0.71,0.63,0.29,0.56,0.25,71,81,76,71,71,LIND
19,Aerospace & Defense,31.466666666666665,-10.196666666666669,0.4666666666666666,0.5866666666666667,0.3633333333333333,0.4633333333333333,0.34,69,85,90,93,99,"RCAT,NPK,EH"
20,Electronic Components,28.685,6.474999999999998,0.645,0.635,0.52,0.43,0.20500000000000002,68,63,63,58,56,"LYTS,DAKT"
21,Oil & Gas Midstream,26.729999999999997,2.399999999999995,0.64,0.61,0.495,0.655,0.27,66,66,64,66,31,"PBT,TK"
22,Auto Parts,25.46,0.2699999999999996,0.77,0.87,0.28,0.34,0.49,64,68,68,68,51,PLOW
23,Communication Equipment,18.92,-2.0699999999999967,0.64,0.66,0.44,0.43,0.42,63,61,71,75,98,ADTN
