Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Medical Care Facilities,78.75,-17.5,0.45,0.49,0.23,0.62,0.37,99,99,99,99,99,NUTX
2,Communication Equipment,70.92,5.049999999999997,0.58,0.73,0.49,0.39,0.57,98,98,86,73,91,GILT
3,Software - Infrastructure,57.324999999999996,12.57,0.7133333333333334,0.69,0.33666666666666667,0.5083333333333333,0.2783333333333333,96,91,68,93,98,"ATGL,BLZE,CCSI,PRTH,OSPN,DAVA"
4,Software - Application,53.09,7.170000000000002,0.52,0.28,0.78,0.88,0.25,95,93,98,98,48,DOMO
5,Drug Manufacturers - Specialty & Generic,45.635000000000005,-8.079999999999998,0.42500000000000004,0.7,0.43000000000000005,0.55,0.33,93,96,88,96,96,"ETON,SIGA"
6,Household & Personal Products,43.60333333333333,-2.5400000000000063,0.6433333333333334,0.7000000000000001,0.4466666666666666,0.5466666666666666,0.62,91,95,91,57,45,"YSG,NUS,HELE"
7,Other Precious Metals & Mining,41.85,8.719999999999999,0.65,0.53,0.35,0.86,0.38,89,87,82,77,27,MUX
8,Internet Retail,36.76,3.6299999999999955,0.56,0.6,0.53,0.63,0.23,88,87,93,30,5,BBBY
9,Specialty Industrial Machinery,35.91,2.529999999999994,0.52,0.57,0.72,0.67,0.29,86,89,96,89,64,GHM
10,Auto Parts,28.426666666666666,1.9033333333333289,0.7000000000000001,0.7566666666666667,0.43333333333333335,0.45,0.27999999999999997,84,82,61,61,30,"CPS,MNRO,MLR"
11,Biotechnology,26.11214285714286,3.352142857142862,0.6371428571428571,0.5442857142857143,0.45071428571428573,0.6364285714285715,0.4735714285714286,82,80,71,50,46,"PVLA,NKTR,RZLT,RAPP,MGTX,ZVRA,TECX,ORKA,SEPN,MBX,BCAX,KROS,ARVN,BCYC"
12,Packaged Foods,25.18,-5.579999999999998,0.62,0.6599999999999999,0.56,0.5449999999999999,0.535,80,84,57,21,7,"OTLY,USNA"
13,Steel,22.72,6.18,0.65,0.81,0.4,0.43,0.28,79,71,50,52,71,NWPX
14,Utilities - Regulated Water,22.49,-0.07000000000000028,0.76,0.78,0.18,0.76,0.59,77,79,79,66,62,CWCO
15,Publishing,19.87,-0.4499999999999993,0.6,0.55,0.64,0.4,0.57,75,77,77,5,11,SCHL
16,Specialty Business Services,19.676666666666666,0.7866666666666653,0.5533333333333333,0.56,0.4366666666666667,0.4,0.395,73,75,89,64,82,"BKSY,CASS,ANPA"
17,Aerospace & Defense,18.973333333333333,0.9466666666666654,0.5233333333333333,0.53,0.4633333333333333,0.4166666666666667,0.45,71,73,84,91,93,"TATT,BYRN,RGR"
18,Packaging & Containers,12.64,2.7600000000000016,0.565,0.5,0.37,0.615,0.355,70,62,70,80,39,"MYE,KRT"
19,Industrial Distribution,12.015,0.3000000000000007,0.6499999999999999,0.6699999999999999,0.36,0.33499999999999996,0.21500000000000002,68,64,46,59,25,"TITN,BXC"
20,Electronics & Computer Distribution,11.89,-0.27999999999999936,0.57,0.67,0.52,0.44,0.38,66,66,75,82,89,CLMB
