Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Consumer Electronics,817.905,124.48500000000001,0.61,0.7,0.605,0.425,0.36,99,99,94,13,50,"ZEPP,TBCH"
2,Software - Infrastructure,571.2933333333334,-0.9466666666666015,0.4033333333333333,0.5733333333333334,0.3066666666666667,0.57,0.24333333333333332,98,98,99,99,21,"DFDV,ARQQ,IMXI"
3,Electronic Components,178.64,-62.73000000000002,0.51,0.66,0.39,0.43,0.25,96,96,96,87,96,NEON
4,Electrical Equipment & Parts,148.49,9.100000000000023,0.58,0.55,0.45,0.65,0.31,94,94,92,98,98,LTBR
5,Marine Shipping,82.68,1.5700000000000074,0.79,0.72,0.69,0.51,0.41,92,90,90,79,17,ESEA
6,Credit Services,60.3,-2.010000000000005,0.725,0.73,0.335,0.49,0.505,90,88,85,90,92,"XYF,RM"
7,Pollution & Treatment Controls,59.895,4.905000000000001,0.585,0.6,0.295,0.74,0.325,88,83,50,31,38,"ADUR,ARQ"
8,Oil & Gas Equipment & Services,58.96,0.8400000000000034,0.6,0.685,0.29,0.455,0.375,87,85,87,88,90,"FET,FTK"
9,Internet Content & Information,52.06,-7.7450000000000045,0.5549999999999999,0.635,0.275,0.5900000000000001,0.41000000000000003,85,87,73,94,75,"JFIN,UPXI"
10,Information Technology Services,51.94,-32.44,0.24,0.07,0.65,0.68,0.26,83,92,98,96,99,TSSI
11,Mortgage Finance,50.120000000000005,14.415000000000006,0.72,0.655,0.48,0.405,0.25,81,77,63,75,25,"BETR,ONIT"
12,Auto & Truck Dealerships,50.03,3.719999999999999,0.63,0.49,0.34,0.87,0.43,79,79,88,85,27,KFS
13,Airports & Air Services,46.58,-1.480000000000004,0.53,0.91,0.52,0.45,0.43,77,81,31,33,83,ASLE
14,Health Information Services,38.660000000000004,2.980000000000004,0.515,0.5875,0.355,0.5599999999999999,0.3633333333333333,75,75,75,77,12,"OPRX,SPOK,CARL,NRC"
15,Engineering & Construction,28.46,3.400000000000002,0.56,0.56,0.55,0.39,0.17,73,73,79,71,71,MTRX
16,Software - Application,22.96666666666667,1.730000000000004,0.49,0.44333333333333336,0.28,0.5366666666666666,0.34,71,69,83,92,94,"AZ,OOMA,PUBM"
17,Apparel Retail,19.08,12.559999999999999,0.76,0.67,0.53,0.41,0.28,69,58,33,4,67,GCO
18,Scientific & Technical Instruments,17.42,4.120000000000001,0.65,0.62,0.36,0.47,0.42,67,63,48,69,8,VPG
19,Semiconductors,16.34,-5.879999999999999,0.54,0.29,0.48,0.43,0.37,65,71,77,38,79,AIP
20,Biotechnology,15.839999999999998,-1.3500000000000032,0.6583333333333333,0.64,0.3983333333333334,0.6366666666666667,0.48833333333333334,63,67,37,40,19,"INBX,BNTC,ITOS,PRTA,RGNX,CGEM"
21,Real Estate Services,14.666666666666666,-1.2666666666666693,0.5966666666666667,0.6333333333333333,0.43,0.5666666666666668,0.4566666666666667,62,65,69,62,46,"TCI,SEG,MLP"
22,Specialty Industrial Machinery,12.99,4.9,0.72,0.73,0.41,0.35,0.24,60,60,40,37,54,LXFR
23,Uranium,7.23,8.17,0.66,0.68,0.37,0.61,0.25,58,37,8,35,2,ISOU
24,Banks - Regional,6.385882352941176,0.7823529411764705,0.7000000000000001,0.6711764705882353,0.2852941176470588,0.38,0.31529411764705884,56,56,46,65,81,"RRBI,PDLB,HBCP,BCML,FRBA,PCB,CWBC,FBIZ,BSRR,FSBW,CIVB,NEWT,FMAO,USCB,WTBA,NECB,VBNK"
25,Drug Manufacturers - Specialty & Generic,6.09,-5.83,0.6000000000000001,0.72,0.335,0.54,0.32,54,62,23,44,52,"EBS,ZYBT"
26,Agricultural Inputs,4.35,2.5999999999999996,0.61,0.27,0.38,0.58,0.55,52,52,71,83,73,IPI
27,Electronic Gaming & Multimedia,3.93,3.06,0.48,0.51,0.45,0.5,0.26,50,48,42,63,13,GRVY
28,Aerospace & Defense,3.9000000000000004,-0.34500000000000064,0.575,0.58,0.47,0.505,0.355,48,54,52,27,15,"PKE,SWBI"
29,Home Improvement Retail,1.11,-0.42999999999999994,0.62,0.65,0.37,0.38,0.51,46,50,29,15,10,HVT
30,Shell Companies,0.3142307692307692,-0.011538461538461608,0.4768,0.42119999999999996,0.5295652173913044,0.6811111111111111,0.63,44,46,62,60,65,"HYAC,GPAT,CUB,BLUW,MBAV,NPAC,BCAR,WENN,TACO,SDHI,DRDB,RTAC,PCAP,CRAQ,MLAC,BRR,OYSE,KCHV,DMAA,KFII,IPCX,CCII,GIG,MBVIU,RDAG,CCIX"
31,Insurance - Property & Casualty,0.0,0.0,0.68,0.57,0.55,0.35,,39,41,57,55,59,AII
32,Beverages - Wineries & Distilleries,0.0,0.0,0.69,0.8,0.4,0.79,,39,41,57,55,59,EPSM
33,Personal Services,0.0,0.0,0.44,0.21,0.65,,,39,41,57,55,59,WW
34,Gold,0.0,0.0,0.35,0.44,0.19,,,39,41,57,55,59,BGL
35,Asset Management,-0.9719999999999999,0.2620000000000001,0.512,0.578,0.374,0.42800000000000005,0.554,35,35,44,46,63,"FINS,SAR,NMAI,DHIL,SPMC"
36,Steel,-2.88,1.5099999999999998,0.69,0.66,0.36,0.41,0.42,33,31,15,18,6,ZEUS
37,Farm & Heavy Construction Machinery,-3.585,1.75,0.545,0.425,0.405,0.415,0.41000000000000003,31,27,67,18,4,"MTW,WNC"
38,Oil & Gas Refining & Marketing,-4.32,0.6899999999999995,0.63,0.42,0.55,0.47,0.59,29,29,65,50,85,SGU
39,Medical Care Facilities,-5.935,-3.4349999999999996,0.63,0.675,0.47,0.29,0.355,27,33,19,73,88,"CCRN,EHAB"
