Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Communication Equipment,50.96,-4.68,0.48,0.34,0.42,0.36,0.21,99,99,99,94,99,TSAT
2,Drug Manufacturers - General,35.47,-1.490000000000002,0.52,0.55,0.37,0.84,0.42,94,94,94,76,18,AMRN
3,Oil & Gas Equipment & Services,10.17,5.57,0.8,0.61,0.54,0.36,0.22,88,82,65,18,82,RNGR
4,Apparel Retail,9.42,7.56,0.73,0.74,0.51,0.43,0.24,82,65,18,1,6,ZUMZ
5,Banks - Regional,5.588,1.1560000000000006,0.7,0.626,0.315,0.495,0.33,76,76,82,59,47,"MVBF,FNLC,COSO,AVBC,PLBC"
6,Real Estate Services,4.16,0.48,0.71,0.77,0.36,0.44,0.38,71,71,6,12,35,RMAX
7,Security & Protection Services,3.545,2.135,0.49,0.695,0.29000000000000004,0.42000000000000004,0.325,65,59,12,35,41,"MG,CIX"
8,Packaged Foods,1.25,-10.29,0.5,0.61,0.32,0.8,0.26,59,88,88,88,12,MAMA
9,Shell Companies,0.27,-0.06666666666666665,0.5188888888888888,0.5177777777777778,0.5277777777777778,0.7255555555555556,0.685,53,47,74,68,68,"GRAF,POLE,VCIC,ALDF,CHAC,LPAA,ATII,TVA,GSRT"
10,Credit Services,0.0,0.0,0.55,0.56,0.51,0.54,,47,41,74,68,68,ANTA
11,Recreational Vehicles,-0.5,-1.04,0.6,0.61,0.36,0.4,0.27,41,53,47,29,29,MPX
12,Entertainment,-6.46,1.5599999999999996,0.58,0.75,0.31,0.65,0.18,35,24,1,6,1,AMCX
13,Asset Management,-6.95,0.08999999999999986,0.3,0.45,0.42,0.25,0.43,29,35,53,47,59,RFMZ
14,REIT - Mortgage,-6.99,0.29000000000000004,0.6,0.67,0.25,0.34,0.6,24,29,24,41,76,REFI
15,REIT - Residential,-8.85,1.200000000000001,0.7,0.64,0.3,0.62,0.52,18,18,35,24,53,BRT
16,Semiconductors,-10.6,2.8100000000000005,0.6,0.67,0.23,0.53,0.36,12,12,29,53,24,NVEC
17,Medical Devices,-14.76,1.910000000000002,0.54,0.49,0.39,0.52,0.46,6,6,59,99,88,NPCE
18,Gambling,-25.95,3.09,0.36,0.32,0.22,0.14,0.25,1,1,41,82,94,GAMB
