Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Capital Markets,HOOD,165.1,-15.680000000000007,0.36,0.53,0.5,0.7,0.4,99,99,99,99,99
2,Software - Infrastructure,PLTR,135.96,0.14000000000001478,0.24,0.36,0.59,0.58,0.27,99,99,99,99,99
3,Advertising Agencies,APP,113.8,13.579999999999998,0.54,0.69,0.61,0.62,0.41,99,99,98,99,99
4,Specialty Industrial Machinery,GEV,92.14,3.219999999999999,0.36,0.29,0.75,0.8,0.3,98,98,99,98,28
5,Banks - Diversified,SAN,56.69,-2.1500000000000057,0.57,0.8,0.48,0.68,0.76,98,98,96,94,96
6,Auto & Truck Dealerships,CVNA,56.04,0.13000000000000256,0.63,0.56,0.58,0.76,0.32,97,97,98,98,96
7,Internet Retail,SE,54.08,0.30999999999999517,0.88,0.85,0.53,0.67,0.64,96,96,95,97,98
8,Semiconductors,AVGO,53.28,1.990000000000002,0.45,0.51,0.6,0.8,0.21,96,96,96,96,88
9,Computer Hardware,ANET,51.36,7.07,0.48,0.68,0.67,0.45,0.26,95,93,82,54,39
10,Banks - Diversified,BBVA,47.9,-2.8800000000000026,0.42,0.7,0.71,0.54,0.76,94,95,94,88,94
11,Electronic Components,APH,45.07,-2.210000000000001,0.47,0.56,0.61,0.8,0.33,94,94,94,90,25
12,Software - Application,SHOP,43.72,0.8599999999999994,0.39,0.61,0.53,0.45,0.35,93,92,90,82,89
13,Software - Application,SNOW,43.56,18.160000000000004,0.82,0.38,0.4,0.76,0.42,92,86,91,91,78
14,Tobacco,BTI,39.53,-4.600000000000001,0.41,0.62,0.73,0.93,0.31,92,92,92,86,70
15,Software - Infrastructure,ORCL,38.77,-6.099999999999994,0.27,0.29,0.64,0.63,0.4,91,94,97,63,68
16,Electronic Gaming & Multimedia,NTES,37.89,3.0700000000000003,0.62,0.58,0.45,0.77,0.4,91,91,87,91,69
17,Banks - Diversified,C,35.04,1.1000000000000014,0.65,0.61,0.61,0.55,0.3,90,90,89,62,68
18,Aerospace & Defense,GE,33.57,1.3200000000000003,0.5,0.41,0.59,0.87,0.4,89,89,93,89,87
19,Internet Retail,BABA,33.31,14.490000000000002,0.69,0.62,0.63,0.21,0.66,89,74,62,73,98
20,Internet Content & Information,SPOT,32.34,-3.979999999999997,0.47,0.64,0.33,0.66,0.33,88,91,88,96,97
21,Financial Data & Stock Exchanges,COIN,31.77,7.059999999999999,0.41,0.54,0.24,0.51,0.32,88,82,92,71,16
