Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Banks - Regional,DB,69.49,-7.460000000000008,0.39,0.83,0.68,0.53,0.75,99,99,99,97,99
2,Biotechnology,ALNY,62.08,-2.930000000000007,0.57,0.64,0.89,0.82,0.33,99,99,98,94,88
3,Computer Hardware,STX,56.32,2.1499999999999986,0.7,0.67,0.58,0.82,0.32,99,99,99,92,29
4,Uranium,CCJ,55.28,8.11,0.49,0.51,0.43,0.73,0.29,98,97,96,90,15
5,Entertainment,LLYVA,53.2,1.7800000000000011,0.88,0.88,0.49,0.32,0.33,97,98,92,94,99
6,Gold,AEM,46.25,4.509999999999998,0.69,0.56,0.6,0.77,0.5,97,94,89,97,96
7,Travel Services,CCL,45.13,0.46000000000000085,0.71,0.64,0.47,0.61,0.29,96,96,94,87,81
8,Utilities - Independent Power Producers,VST,44.78,0.5900000000000034,0.39,0.31,0.6,0.73,0.25,95,95,99,99,95
9,Gold,B,39.56,-0.4899999999999949,0.83,0.81,0.52,0.72,0.53,94,93,74,66,57
10,Insurance - Life,PUK,38.34,-2.529999999999994,0.58,0.72,0.48,0.51,0.71,94,94,90,90,67
11,Gold,WPM,38.03,4.0,0.59,0.43,0.52,0.8,0.59,93,90,90,96,90
12,Diagnostics & Research,IDXX,37.77,3.480000000000004,0.47,0.5,0.52,0.61,0.36,92,90,75,75,26
13,Biotechnology,ONC,37.46,-1.4399999999999977,0.61,0.51,0.79,0.8,0.68,92,92,92,86,98
14,Internet Retail,EBAY,35.62,-12.39,0.4,0.7,0.78,0.86,0.45,91,97,94,88,79
15,Rental & Leasing Services,URI,34.51,3.6099999999999994,0.73,0.69,0.61,0.42,0.29,90,87,76,42,8
16,Entertainment,TKO,33.03,4.370000000000001,0.65,0.67,0.3,0.47,0.25,90,86,80,88,94
17,Aerospace & Defense,AXON,32.71,-4.990000000000002,0.33,0.26,0.47,0.65,0.34,89,92,97,99,93
18,Aerospace & Defense,HWM,32.7,1.5700000000000038,0.38,0.32,0.5,0.82,0.53,88,88,97,99,97
19,Banks - Diversified,BCS,31.55,-5.52,0.41,0.74,0.56,0.74,0.6,88,91,91,93,97
20,Gambling,DKNG,30.19,7.300000000000001,0.84,0.61,0.5,0.33,0.46,87,79,79,10,64
21,Entertainment,LYV,29.8,1.6000000000000014,0.84,0.83,0.45,0.37,0.33,86,85,77,78,88
22,Banks - Diversified,BK,28.89,1.4200000000000017,0.59,0.6,0.71,0.58,0.54,85,85,85,83,90
23,Banks - Diversified,ING,28.66,-4.139999999999997,0.44,0.68,0.52,0.56,0.86,85,88,82,78,86
24,Electrical Equipment & Parts,VRT,27.62,4.120000000000001,0.36,0.28,0.71,0.64,0.28,84,82,95,81,28
25,Travel Services,TCOM,27.25,10.23,0.78,0.63,0.45,0.41,0.42,83,69,48,67,85
26,Telecom Services,AMX,26.21,2.539999999999999,0.7,0.84,0.6,0.43,0.39,83,83,62,65,12
27,Oil & Gas Integrated,IMO,26.11,5.16,0.87,0.64,0.51,0.5,0.28,82,77,78,58,26
28,Semiconductors,MPWR,26.07,3.09,0.58,0.58,0.69,0.34,0.3,81,80,56,45,20
29,Gambling,FLUT,24.61,1.2100000000000009,0.77,0.47,0.55,0.55,0.46,81,81,85,50,83
30,Building Products & Equipment,JCI,24.21,0.9299999999999997,0.53,0.55,0.51,0.75,0.31,80,81,88,92,72
31,Engineering & Construction,PWR,23.95,0.10999999999999943,0.45,0.38,0.55,0.62,0.23,79,83,88,91,17
32,Biotechnology,ARGX,22.51,5.150000000000002,0.87,0.51,0.88,0.65,0.41,78,71,68,63,91
33,Software - Infrastructure,ZS,22.06,-1.9100000000000001,0.56,0.4,0.31,0.85,0.38,78,84,93,98,41
34,Airlines,DAL,21.92,4.370000000000001,0.72,0.7,0.18,0.3,0.28,77,72,42,17,69
35,Auto Parts,AZO,21.91,-0.3299999999999983,0.69,0.64,0.57,0.59,0.63,76,78,70,76,78
36,Banks - Regional,ITUB,21.71,6.08,0.6,0.64,0.51,0.48,0.41,76,68,59,89,30
37,Banks - Regional,NWG,20.4,-12.82,0.43,0.79,0.56,0.92,0.69,75,89,84,95,99
38,Engineering & Construction,FER,20.23,-1.2899999999999991,0.64,0.67,0.41,0.63,0.62,74,78,73,80,72
39,Banks - Regional,NU,19.54,5.09,0.86,0.75,0.34,0.31,0.23,74,65,17,34,17
40,Oil & Gas Integrated,E,19.49,0.5899999999999999,0.73,0.69,0.61,0.5,0.44,73,76,72,43,32
41,Aerospace & Defense,LHX,18.95,0.8200000000000003,0.83,0.44,0.76,0.81,0.69,72,74,83,62,22
42,Scientific & Technical Instruments,GRMN,18.62,3.8900000000000006,0.68,0.56,0.51,0.59,0.6,72,67,76,49,89
43,Electronic Gaming & Multimedia,EA,17.63,0.14999999999999858,0.4,0.68,0.62,0.43,0.58,71,72,58,48,19
44,Building Materials,MLM,16.39,6.17,0.6,0.48,0.58,0.51,0.33,70,56,43,51,6
45,Agricultural Inputs,CTVA,16.35,-0.8699999999999974,0.62,0.58,0.38,0.75,0.45,69,69,74,84,55
46,Oil & Gas Equipment & Services,BKR,16.32,2.6899999999999995,0.76,0.55,0.65,0.43,0.24,69,64,63,24,83
47,Auto Manufacturers,F,14.77,0.1399999999999988,0.71,0.73,0.29,0.38,0.59,68,66,45,21,6
48,Utilities - Regulated Electric,ETR,14.56,-3.089999999999998,0.39,0.42,0.78,0.59,0.56,67,74,81,79,92
49,Oil & Gas Refining & Marketing,VLO,14.37,5.989999999999998,0.97,0.72,0.28,0.41,0.35,67,53,40,25,8
50,Healthcare Plans,HUM,13.49,1.1300000000000008,0.9,0.93,0.6,0.53,0.51,66,61,10,3,3
51,Building Materials,VMC,13.4,2.860000000000001,0.58,0.59,0.56,0.45,0.3,65,57,40,56,21
52,Medical Instruments & Supplies,RMD,13.13,-6.749999999999998,0.38,0.51,0.78,0.49,0.35,65,76,78,61,46
53,Aerospace & Defense,HEI-A,12.54,-5.050000000000001,0.5,0.38,0.62,0.71,0.78,64,73,86,76,74
54,Lodging,HLT,12.53,0.6499999999999986,0.7,0.68,0.3,0.43,0.31,63,60,58,58,80
55,Aerospace & Defense,HEI,12.5,-5.699999999999999,0.5,0.38,0.56,0.73,0.83,62,75,87,77,73
56,Specialty Industrial Machinery,EMR,12.21,0.4400000000000013,0.5,0.31,0.54,0.46,0.3,62,59,83,53,42
57,Railroads,NSC,11.16,-1.629999999999999,0.52,0.46,0.62,0.63,0.29,61,63,71,42,28
58,Beverages - Non-Alcoholic,MNST,11.03,-1.67,0.38,0.65,0.46,0.83,0.8,60,62,56,85,51
59,Entertainment,FWONK,11.02,-3.880000000000001,0.66,0.62,0.36,0.5,0.36,60,67,69,73,78
60,Steel,NUE,11.01,-6.299999999999999,0.7,0.7,0.45,0.56,0.48,59,70,41,6,4
61,Medical Devices,EW,10.88,-0.129999999999999,0.68,0.59,0.54,0.61,0.32,58,58,67,55,34
62,Specialty Industrial Machinery,XYL,10.44,-1.3499999999999996,0.46,0.46,0.71,0.51,0.49,58,60,67,22,42
63,Software - Application,ADSK,10.28,10.79,0.74,0.37,0.53,0.55,0.22,57,28,51,81,48
64,Semiconductors,NXPI,9.98,0.9000000000000004,0.75,0.74,0.32,0.35,0.48,56,54,25,7,15
65,Entertainment,FWONA,9.59,-3.01,0.7,0.62,0.35,0.45,0.37,56,62,60,70,81
66,Grocery Stores,KR,9.24,-4.76,0.26,0.44,0.45,0.48,0.32,55,65,72,74,74
67,Oil & Gas Integrated,SU,9.13,3.240000000000001,0.75,0.65,0.41,0.56,0.14,54,49,44,28,18
68,Utilities - Regulated Electric,AEP,8.54,-2.7300000000000004,0.46,0.49,0.76,0.63,0.53,53,58,65,51,65
69,Oil & Gas Refining & Marketing,PSX,7.82,2.83,0.9,0.7,0.32,0.31,0.4,53,46,36,13,10
70,Insurance - Property & Casualty,HIG,7.57,-1.92,0.65,0.66,0.5,0.57,0.69,52,55,49,69,60
71,Food Distribution,SYY,7.38,0.16999999999999993,0.52,0.5,0.59,0.66,0.69,51,49,57,27,39
72,Telecom Services,CHT,6.8,-3.3199999999999994,0.33,0.43,0.42,0.6,0.6,51,56,60,68,47
73,Confectioners,HSY,6.5,1.3499999999999996,0.66,0.36,0.81,0.5,0.72,50,47,64,12,31
74,Other Industrial Metals & Mining,VALE,6.25,3.26,0.53,0.58,0.46,0.26,0.54,49,41,29,16,19
75,Utilities - Regulated Electric,XEL,5.67,-2.13,0.48,0.45,0.71,0.55,0.57,49,53,66,59,70
