Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Semiconductors,CRDO,152.29,19.98999999999998,0.53,0.55,0.59,0.77,0.28,99,99,99,99,96
2,Electronic Components,CLS,131.6,12.689999999999998,0.44,0.47,0.7,0.71,0.16,99,99,99,99,97
3,Capital Markets,FUTU,114.6,-1.3700000000000045,0.7,0.84,0.46,0.37,0.54,99,98,96,83,99
4,Credit Services,SOFI,113.55,-10.530000000000001,0.64,0.75,0.49,0.42,0.42,98,99,98,92,94
5,Gold,GFI,82.68,5.5800000000000125,0.63,0.65,0.61,0.8,0.53,97,97,89,97,93
6,Specialty Industrial Machinery,SYM,82.49,17.629999999999995,0.41,0.21,0.56,0.6,0.22,96,95,99,84,13
7,Communication Equipment,UI,71.1,-1.6800000000000068,0.61,0.64,0.55,0.29,0.45,96,96,94,99,99
8,Engineering & Construction,FIX,69.06,4.450000000000003,0.53,0.5,0.83,0.69,0.3,95,94,96,94,28
9,Gold,AU,68.8,3.1799999999999926,0.49,0.42,0.53,0.7,0.39,94,96,93,98,87
10,Luxury Goods,TPR,59.45,2.690000000000005,0.42,0.34,0.63,0.32,0.4,94,93,97,96,98
11,Computer Hardware,WDC,58.92,-0.0899999999999963,0.69,0.62,0.74,0.76,0.31,93,94,95,62,15
12,Travel Services,VIK,47.3,5.659999999999997,0.75,0.59,0.51,0.51,0.37,92,92,90,77,43
13,Computer Hardware,PSTG,43.75,38.89,0.78,0.6,0.5,0.49,0.21,92,46,35,47,30
14,Engineering & Construction,EME,40.89,2.740000000000002,0.53,0.4,0.76,0.57,0.35,91,90,92,80,37
15,Electronic Components,FLEX,40.77,3.240000000000002,0.64,0.61,0.41,0.63,0.21,90,89,89,87,61
16,Asset Management,CG,40.34,2.1200000000000045,0.58,0.61,0.49,0.47,0.39,89,91,84,42,45
17,Capital Markets,IBKR,37.76,-1.6600000000000037,0.34,0.46,0.64,0.59,0.22,89,92,94,91,94
18,Software - Infrastructure,MDB,35.42,39.13,0.84,0.45,0.63,0.46,0.35,88,26,39,1,18
19,Discount Stores,DLTR,34.31,-2.729999999999997,0.32,0.36,0.7,0.76,0.46,87,88,91,87,8
20,Telecom Services,VIV,33.99,-1.4099999999999966,0.59,0.83,0.57,0.59,0.34,87,87,82,85,27
21,Banks - Regional,BAP,32.54,-0.259999999999998,0.64,0.68,0.76,0.63,0.48,86,87,85,85,54
22,Credit Services,SYF,32.38,3.020000000000003,0.81,0.68,0.38,0.39,0.22,85,86,80,67,65
23,Software - Infrastructure,CYBR,31.69,3.1400000000000006,0.8,0.68,0.67,0.74,0.43,85,85,87,92,92
24,Asset Management,NTRS,26.72,1.009999999999998,0.68,0.64,0.51,0.5,0.37,84,83,86,63,72
25,Household & Personal Products,EL,26.12,2.960000000000001,0.54,0.46,0.53,0.59,0.57,83,81,80,11,6
26,Medical Devices,PODD,25.53,0.4400000000000013,0.85,0.82,0.42,0.64,0.42,82,82,77,96,90
27,Telecom Services,VOD,24.26,0.5200000000000031,0.74,0.87,0.52,0.82,0.68,82,82,75,70,36
28,Information Technology Services,LDOS,24.02,2.5199999999999996,0.61,0.75,0.38,0.34,0.44,81,78,49,39,23
29,Specialty Retail,ULTA,23.88,-13.16,0.47,0.58,0.7,0.78,0.36,80,88,88,90,19
30,Banks - Regional,SHG,22.21,0.3200000000000003,0.35,0.43,0.32,0.81,0.28,80,79,81,76,15
31,Software - Infrastructure,VRSN,22.15,1.2999999999999972,0.59,0.48,0.39,0.5,0.72,79,77,79,95,89
32,Asset Management,STT,21.91,-0.8599999999999994,0.69,0.66,0.47,0.45,0.32,78,80,75,65,64
33,Internet Content & Information,Z,21.82,-7.34,0.61,0.59,0.56,0.46,0.47,77,85,85,69,89
34,Discount Stores,DG,21.74,-0.26000000000000156,0.32,0.54,0.36,0.84,0.5,77,80,82,94,8
35,Banks - Regional,CFG,21.63,2.16,0.82,0.7,0.44,0.42,0.33,76,75,70,36,67
36,Internet Content & Information,ZG,20.81,-7.170000000000002,0.63,0.6,0.54,0.45,0.51,75,84,83,73,92
37,Scientific & Technical Instruments,TRMB,19.97,-0.3000000000000007,0.43,0.46,0.61,0.53,0.36,75,76,87,72,69
38,Communication Equipment,HPE,19.94,2.0600000000000023,0.69,0.76,0.39,0.46,0.22,74,73,51,23,38
39,Residential Construction,PHM,19.62,0.9700000000000024,0.71,0.69,0.56,0.32,0.5,73,73,38,10,16
40,Banks - Regional,RF,19.47,3.1199999999999974,0.82,0.66,0.52,0.37,0.26,73,70,65,32,39
41,Financial Conglomerates,IX,18.85,-1.8099999999999987,0.61,0.82,0.53,0.8,0.7,72,77,57,34,25
42,Specialty Retail,TSCO,18.76,2.360000000000003,0.65,0.62,0.48,0.34,0.45,71,70,63,17,47
43,Rental & Leasing Services,AER,17.98,1.1400000000000006,0.88,0.93,0.25,0.68,0.57,70,71,60,79,71
44,Capital Markets,NMR,17.93,-1.8999999999999986,0.57,0.72,0.57,0.62,0.53,70,75,73,39,65
45,Telecom Services,RCI,17.12,0.9200000000000017,0.81,0.74,0.55,0.72,0.55,69,69,71,6,3
46,Entertainment,FOX,16.96,-0.28999999999999915,0.74,0.72,0.44,0.47,0.57,68,72,78,82,95
47,Oil & Gas Integrated,CVE,15.01,3.5600000000000005,0.82,0.71,0.57,0.42,0.17,68,61,43,18,4
48,Telecom Services,TLK,14.74,-3.950000000000001,0.64,0.77,0.77,0.63,0.53,67,74,54,43,13
49,Banks - Regional,KEY,14.64,0.3800000000000008,0.86,0.69,0.39,0.36,0.32,66,67,58,37,39
50,Internet Content & Information,BIDU,14.46,7.360000000000001,0.68,0.65,0.5,0.28,0.48,65,50,27,25,50
51,Diagnostics & Research,LH,14.14,0.5,0.67,0.7,0.61,0.51,0.73,65,65,63,61,76
52,Diagnostics & Research,NTRA,13.71,5.670000000000002,0.67,0.76,0.24,0.64,0.29,64,54,31,82,84
53,Utilities - Regulated Electric,CNP,13.01,-0.8599999999999994,0.37,0.34,0.7,0.62,0.63,63,66,74,81,74
54,Oil & Gas E&P,EQT,12.44,0.8200000000000003,0.5,0.51,0.34,0.54,0.41,62,62,77,93,87
55,Utilities - Regulated Gas,ATO,12.44,0.16000000000000014,0.54,0.72,0.52,0.52,0.55,62,63,56,75,77
56,Scientific & Technical Instruments,TDY,12.31,-1.959999999999999,0.47,0.42,0.56,0.56,0.45,61,68,73,63,75
57,Banks - Regional,HBAN,11.69,1.8200000000000003,0.82,0.69,0.33,0.46,0.31,60,58,45,49,48
58,Software - Application,SSNC,11.69,-1.3900000000000006,0.67,0.68,0.54,0.5,0.41,60,65,66,54,85
59,Insurance - Property & Casualty,L,11.56,-0.629999999999999,0.72,0.64,0.44,0.56,0.6,59,63,58,61,61
60,Agricultural Inputs,NTR,10.73,-0.10999999999999943,0.61,0.44,0.38,0.6,0.5,58,59,67,80,44
61,Banks - Regional,FITB,10.01,2.0599999999999996,0.81,0.72,0.21,0.45,0.27,58,52,37,27,34
62,Restaurants,DRI,9.47,-1.5699999999999985,0.63,0.52,0.39,0.7,0.5,57,60,72,89,82
63,Utilities - Regulated Electric,FTS,8.4,-1.1799999999999997,0.37,0.46,0.74,0.68,0.54,56,57,68,71,54
64,Medical Devices,PHG,7.77,-0.1800000000000006,0.62,0.65,0.67,0.31,0.43,56,52,34,8,59
65,Drug Manufacturers - Specialty & Generic,TEVA,7.53,3.8000000000000003,0.72,0.75,0.36,0.47,0.44,55,44,15,46,33
66,Insurance - Property & Casualty,WRB,7.35,-1.5199999999999996,0.61,0.56,0.49,0.65,0.58,54,56,65,88,60
67,Insurance - Property & Casualty,MKL,7.34,-3.75,0.61,0.57,0.37,0.58,0.51,54,61,64,70,80
68,Financial Data & Stock Exchanges,CBOE,7.09,-7.57,0.3,0.5,0.66,0.59,0.5,53,68,76,73,62
69,Software - Infrastructure,GEN,7.03,-5.54,0.44,0.7,0.33,0.47,0.52,52,64,62,56,55
70,Utilities - Regulated Electric,PPL,6.37,-0.8600000000000003,0.52,0.58,0.59,0.58,0.5,51,51,55,54,70
71,Oil & Gas Integrated,EC,6.28,4.62,0.87,0.87,0.29,0.52,0.46,51,37,25,20,41
72,Computer Hardware,SMCI,6.23,-4.27,0.35,0.19,0.64,0.6,0.49,50,58,92,46,4
73,Utilities - Regulated Electric,AEE,5.74,-2.5199999999999996,0.41,0.43,0.72,0.62,0.55,49,54,69,66,83
74,Oil & Gas Equipment & Services,TS,5.69,-3.4699999999999998,0.62,0.54,0.29,0.54,0.41,49,56,44,44,63
75,REIT - Healthcare Facilities,VTR,5.29,-0.20999999999999996,0.47,0.41,0.62,0.44,0.89,48,47,59,44,88
76,Packaging & Containers,PKG,4.99,2.81,0.76,0.75,0.31,0.61,0.51,47,38,26,25,37
77,Asset Management,TROW,4.82,1.6400000000000001,0.56,0.55,0.52,0.37,0.29,46,42,33,13,20
78,Utilities - Regulated Electric,FE,4.63,1.98,0.54,0.52,0.78,0.5,0.43,46,39,44,45,26
79,Software - Application,ZM,4.55,-3.16,0.75,0.71,0.28,0.39,0.28,45,51,25,74,56
80,Medical Devices,ZBH,4.48,0.35000000000000053,0.68,0.83,0.4,0.34,0.69,44,45,7,9,24
81,Personal Services,ROL,4.36,-2.6499999999999995,0.35,0.37,0.64,0.77,0.66,44,49,70,77,66
82,Utilities - Regulated Electric,DTE,4.16,-2.08,0.38,0.46,0.63,0.58,0.72,43,48,61,60,68
83,Semiconductors,STM,3.89,0.4700000000000002,0.69,0.72,0.2,0.45,0.59,42,43,30,18,10
84,Software - Infrastructure,NTAP,3.75,6.55,0.65,0.82,0.41,0.64,0.23,42,28,22,32,11
85,Insurance Brokers,WTW,3.62,-5.05,0.46,0.7,0.55,0.64,0.72,41,55,46,49,79
86,Telecom Services,TU,3.47,-0.6999999999999997,0.73,0.84,0.29,0.77,0.7,40,46,42,52,29
87,Semiconductors,ASX,3.08,3.45,0.47,0.54,0.46,0.32,0.51,39,33,46,24,51
88,Specialty Chemicals,DD,3.07,1.8599999999999999,0.81,0.67,0.32,0.38,0.43,39,35,23,8,42
89,Oil & Gas E&P,DVN,2.69,2.05,0.83,0.85,0.43,0.33,0.49,38,35,17,7,11
90,Scientific & Technical Instruments,KEYS,2.68,1.36,0.53,0.55,0.41,0.38,0.27,37,36,47,51,46
91,Pollution & Treatment Controls,VLTO,2.38,-0.8700000000000001,0.46,0.52,0.6,0.51,0.42,37,42,48,37,31
92,Railroads,WAB,2.24,-0.6199999999999997,0.53,0.59,0.19,0.49,0.4,36,40,36,75,58
