Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Other Industrial Metals & Mining,MP,286.05,-24.639999999999986,0.47,0.57,0.74,0.56,0.58,99,99,99,71,94
2,Telecom Services,SATS,189.79,152.14,0.93,0.77,0.39,0.37,0.64,99,90,61,2,96
3,Computer Hardware,IONQ,128.96,38.10000000000001,0.44,0.41,0.38,0.61,0.07,99,99,99,99,98
4,Communication Equipment,ASTS,96.23,5.77000000000001,0.58,0.44,0.59,0.43,0.62,98,98,99,85,99
5,Beverages - Non-Alcoholic,CELH,93.63,9.799999999999997,0.79,0.88,0.46,0.54,0.61,97,97,87,75,1
6,Internet Content & Information,TME,88.71,-4.359999999999999,0.64,0.88,0.49,0.72,0.56,96,99,96,93,79
7,Utilities - Independent Power Producers,TLN,87.46,11.629999999999995,0.56,0.22,0.78,0.69,0.33,96,96,98,97,93
8,Mortgage Finance,COOP,71.93,-3.1399999999999864,0.55,0.52,0.66,0.55,0.61,95,95,97,92,86
9,Airlines,LTM,60.67,7.050000000000004,0.84,0.77,0.56,0.74,0.57,94,94,94,45,44
10,Auto Manufacturers,XPEV,59.07,-16.059999999999995,0.49,0.69,0.57,0.44,0.76,93,96,89,99,99
11,Resorts & Casinos,WYNN,47.51,13.689999999999998,0.8,0.71,0.38,0.2,0.71,93,87,79,41,39
12,Diagnostics & Research,MEDP,47.0,4.280000000000001,0.68,0.67,0.67,0.47,0.43,92,93,81,19,24
13,Utilities - Regulated Electric,KEP,45.64,-4.439999999999998,0.4,0.5,0.43,0.82,0.6,91,93,96,94,25
14,Gold,PAAS,45.31,4.57,0.69,0.72,0.3,0.81,0.48,90,91,64,70,88
15,"Furnishings, Fixtures & Appliances",SGI,41.98,3.729999999999997,0.74,0.74,0.51,0.53,0.36,90,90,79,67,76
16,Aerospace & Defense,BWXT,39.7,-2.269999999999996,0.24,0.13,0.72,0.86,0.41,89,92,86,79,33
17,Biotechnology,SMMT,39.08,2.009999999999998,0.29,0.34,0.56,0.38,0.5,88,89,91,96,99
18,Electrical Equipment & Parts,NVT,38.87,4.369999999999997,0.55,0.49,0.81,0.43,0.19,87,87,90,46,5
19,Aerospace & Defense,AVAV,36.82,0.3500000000000014,0.47,0.31,0.46,0.69,0.13,87,88,95,63,3
20,Gold,AGI,35.96,7.75,0.82,0.72,0.38,0.65,0.62,86,81,68,90,93
21,Health Information Services,DOCS,35.21,2.469999999999999,0.69,0.66,0.29,0.3,0.35,85,85,80,74,97
22,Entertainment,ROKU,34.98,3.059999999999995,0.78,0.7,0.36,0.55,0.5,84,84,72,52,84
23,Engineering & Construction,APG,33.29,-0.38000000000000256,0.59,0.68,0.56,0.73,0.48,84,86,88,87,49
24,Engineering & Construction,MTZ,32.58,1.8699999999999974,0.53,0.49,0.52,0.56,0.37,83,82,87,84,73
25,Software - Application,YMM,30.92,5.060000000000002,0.74,0.71,0.27,0.37,0.59,82,79,53,73,95
26,Communication Equipment,CIEN,30.64,2.66,0.51,0.48,0.7,0.6,0.23,81,81,82,88,84
27,Aerospace & Defense,CW,29.61,-1.740000000000002,0.43,0.36,0.55,0.83,0.4,81,83,93,93,59
28,Aerospace & Defense,WWD,28.33,-3.110000000000003,0.47,0.36,0.59,0.77,0.4,80,84,93,84,63
29,Apparel Manufacturing,RL,27.32,3.289999999999999,0.59,0.41,0.57,0.61,0.33,79,76,90,90,85
30,Utilities - Regulated Water,SBS,25.37,6.170000000000002,0.65,0.68,0.44,0.53,0.43,79,71,62,87,57
31,Security & Protection Services,ALLE,24.61,1.9499999999999993,0.61,0.6,0.74,0.41,0.4,78,73,70,57,30
32,Oil & Gas Equipment & Services,FTI,24.35,-3.169999999999998,0.69,0.61,0.54,0.56,0.27,77,80,73,70,47
33,Biotechnology,INCY,24.31,-1.110000000000003,0.66,0.74,0.65,0.78,0.53,76,77,61,47,59
34,Real Estate Services,JLL,24.02,-2.030000000000001,0.78,0.76,0.6,0.33,0.49,76,79,49,23,77
35,Tools & Accessories,LECO,22.52,-0.6000000000000014,0.56,0.5,0.68,0.49,0.52,75,74,77,39,27
36,Metal Fabrication,CRS,22.2,-3.3000000000000007,0.42,0.34,0.37,0.71,0.62,74,78,92,96,96
37,Software - Infrastructure,FFIV,22.18,-1.7800000000000011,0.43,0.46,0.63,0.61,0.19,73,75,74,83,91
38,Rental & Leasing Services,FTAI,20.47,6.159999999999998,0.76,0.68,0.69,0.59,0.49,73,59,85,59,72
39,Auto Parts,MGA,20.45,1.5700000000000003,0.75,0.79,0.43,0.43,0.4,72,70,56,21,10
40,Electronics & Computer Distribution,SNX,20.18,0.7199999999999989,0.54,0.62,0.46,0.45,0.24,71,72,67,36,70
41,Food Distribution,PFGC,20.06,-3.9800000000000004,0.62,0.62,0.62,0.56,0.39,70,76,76,66,51
42,Computer Hardware,LOGI,20.0,4.630000000000001,0.77,0.69,0.4,0.34,0.43,70,62,50,24,71
43,Specialty Retail,CASY,19.26,0.5400000000000027,0.27,0.34,0.49,0.55,0.33,69,69,76,68,67
44,Engineering & Construction,STN,19.15,0.10999999999999943,0.49,0.41,0.35,0.84,0.61,68,70,81,81,42
45,Asset Management,PHYS,18.3,2.41,0.71,0.48,0.51,0.59,0.55,67,64,67,81,82
46,Utilities - Renewable,EBR,18.2,3.5599999999999987,0.49,0.7,0.42,0.38,0.64,67,61,30,65,39
47,Insurance - Diversified,AEG,17.65,-3.280000000000001,0.68,0.77,0.43,0.73,0.4,66,73,53,67,53
48,Insurance - Diversified,BNT,17.4,-0.28000000000000114,0.59,0.38,0.56,0.37,0.39,65,67,71,63,67
49,Software - Application,BSY,17.33,4.329999999999998,0.68,0.34,0.52,0.44,0.37,64,57,75,47,16
50,Specialty Industrial Machinery,ITT,16.73,0.5100000000000016,0.58,0.57,0.59,0.51,0.4,64,65,63,59,41
51,Utilities - Regulated Electric,EMA,16.5,-0.4800000000000004,0.49,0.55,0.63,0.66,0.77,63,67,70,73,68
52,Capital Markets,HLI,16.08,1.4399999999999977,0.66,0.57,0.4,0.42,0.31,62,61,66,61,56
53,Residential Construction,TOL,15.96,2.530000000000001,0.8,0.72,0.54,0.41,0.3,61,59,30,12,9
54,Engineering & Construction,J,15.38,-0.08000000000000007,0.46,0.55,0.57,0.5,0.31,61,63,54,50,37
55,Medical Care Facilities,EHC,14.77,-1.7899999999999991,0.69,0.86,0.28,0.65,0.55,60,66,47,82,66
56,Scientific & Technical Instruments,COHR,14.51,5.52,0.28,0.36,0.67,0.54,0.26,59,51,84,60,21
57,Tools & Accessories,RBC,13.54,-4.390000000000001,0.45,0.47,0.7,0.54,0.41,59,68,78,69,81
58,Banks - Regional,EWBC,13.43,0.2400000000000002,0.68,0.64,0.27,0.35,0.25,58,58,51,56,54
59,Software - Application,GWRE,13.14,1.3100000000000005,0.64,0.35,0.52,0.58,0.27,57,55,69,91,90
60,Capital Markets,JEF,12.61,5.2299999999999995,0.69,0.67,0.5,0.28,0.22,56,47,27,10,60
61,Auto & Truck Dealerships,PAG,12.11,-2.2200000000000006,0.62,0.65,0.33,0.45,0.51,56,60,47,44,50
62,Credit Services,ALLY,10.06,-1.4699999999999989,0.87,0.8,0.28,0.42,0.4,55,53,44,31,24
63,Food Distribution,USFD,9.95,-1.9000000000000004,0.46,0.36,0.56,0.7,0.47,54,56,83,80,78
64,Internet Retail,CHWY,9.92,-1.8200000000000003,0.75,0.78,0.37,0.9,0.47,53,54,64,98,92
65,REIT - Diversified,WPC,9.92,1.5700000000000003,0.62,0.48,0.58,0.65,0.93,53,50,59,53,74
66,Biotechnology,GMAB,9.4,0.7599999999999998,0.88,0.65,0.53,0.72,0.91,52,50,29,16,32
67,Banks - Regional,BCH,7.84,2.41,0.5,0.55,0.4,0.44,0.61,51,42,51,77,76
68,REIT - Mortgage,NLY,7.64,1.0899999999999999,0.67,0.55,0.67,0.38,0.68,50,46,48,28,64
