Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Utilities - Regulated Electric,OKLO,303.61,28.110000000000014,0.52,0.33,0.6,0.76,0.17,99,99,99,99,99
2,Aerospace & Defense,KTOS,126.67,-11.670000000000002,0.51,0.69,0.6,0.72,0.36,99,99,99,98,89
3,Gold,CDE,96.6,13.14,0.74,0.79,0.32,0.72,0.24,99,99,94,96,81
4,Communication Equipment,LITE,87.96,15.559999999999988,0.72,0.72,0.74,0.58,0.28,98,96,97,90,78
5,Internet Retail,W,80.64,5.469999999999999,0.56,0.49,0.73,0.63,0.26,97,98,96,59,3
6,Software - Application,SRAD,69.14,-5.239999999999995,0.7,0.74,0.53,0.55,0.52,96,97,98,99,99
7,Internet Content & Information,BZ,65.84,18.490000000000002,0.67,0.7,0.53,0.51,0.62,96,94,86,78,80
8,Telecom Services,TIGO,63.48,2.6899999999999977,0.83,0.83,0.57,0.7,0.49,95,96,93,95,83
9,Solar,NXT,48.42,0.7600000000000051,0.73,0.68,0.41,0.6,0.41,94,95,92,93,43
10,Asset Management,IVZ,36.93,2.710000000000001,0.71,0.56,0.73,0.29,0.26,93,91,88,17,46
11,Farm & Heavy Construction Machinery,OSK,36.13,-1.3900000000000006,0.59,0.56,0.63,0.56,0.23,93,93,90,38,22
12,Household & Personal Products,HIMS,36.12,-9.370000000000005,0.29,0.18,0.67,0.36,0.46,92,93,99,99,99
13,Telecom Services,TIMB,35.4,1.4600000000000009,0.53,0.71,0.53,0.52,0.32,91,90,88,86,38
14,Oil & Gas Refining & Marketing,DINO,33.95,9.140000000000004,0.87,0.79,0.43,0.51,0.31,91,82,71,29,1
15,Semiconductors,LSCC,33.57,6.030000000000001,0.71,0.74,0.33,0.23,0.53,90,85,27,7,70
16,Specialty Industrial Machinery,GNRC,33.11,-3.240000000000002,0.34,0.44,0.83,0.46,0.12,89,92,93,16,20
17,Auto Parts,BWA,32.86,-0.10999999999999943,0.81,0.91,0.61,0.45,0.52,88,89,80,54,21
18,Financial Conglomerates,FRHC,32.7,0.1700000000000017,0.45,0.31,0.72,0.45,0.38,88,88,96,96,98
19,Engineering & Construction,BLD,31.55,-2.5599999999999987,0.53,0.6,0.51,0.33,0.38,87,91,64,10,8
20,Biotechnology,HALO,31.15,-1.8200000000000003,0.97,0.98,0.56,0.61,0.59,86,89,58,41,90
21,Specialty Industrial Machinery,GTLS,29.73,1.620000000000001,0.55,0.34,0.84,0.33,0.33,86,86,89,56,72
22,Aerospace & Defense,HII,26.67,-0.06999999999999673,0.58,0.5,0.59,0.54,0.73,85,84,74,62,12
23,Biotechnology,ASND,26.64,-4.829999999999998,0.48,0.55,0.49,0.65,0.79,84,87,84,85,79
24,Real Estate Services,CIGI,25.64,-3.919999999999998,0.74,0.8,0.79,0.34,0.44,83,86,70,26,43
25,Software - Application,APPF,24.76,-0.9599999999999973,0.45,0.2,0.9,0.51,0.63,83,83,95,30,33
26,Metal Fabrication,MLI,24.75,4.780000000000001,0.69,0.73,0.42,0.48,0.52,82,77,64,69,86
27,Travel Services,NCLH,24.74,0.9499999999999993,0.59,0.47,0.58,0.4,0.24,81,80,83,22,57
28,Auto Parts,ALV,24.55,0.9700000000000024,0.87,0.85,0.35,0.52,0.6,80,80,72,42,30
29,Leisure,HAS,24.36,2.120000000000001,0.67,0.71,0.44,0.49,0.58,80,79,83,59,64
30,Banks - Regional,BPOP,23.42,1.1800000000000033,0.88,0.75,0.42,0.56,0.27,79,79,74,73,61
31,Airports & Air Services,PAC,21.8,-4.140000000000001,0.47,0.62,0.51,0.65,0.33,78,83,87,88,76
32,Specialty Chemicals,ALB,21.14,11.55,0.58,0.71,0.45,0.33,0.46,78,60,23,1,1
33,Building Products & Equipment,WMS,20.7,2.4299999999999997,0.68,0.75,0.44,0.33,0.28,77,75,12,12,7
34,Electrical Equipment & Parts,AYI,20.23,2.120000000000001,0.6,0.61,0.58,0.37,0.17,76,75,68,34,53
35,Building Products & Equipment,SPXC,19.81,-4.27,0.3,0.25,0.75,0.52,0.43,75,81,91,63,41
36,Aerospace & Defense,DRS,19.21,-0.10999999999999943,0.51,0.45,0.26,0.71,0.38,75,76,86,97,73
37,Pharmaceutical Retailers,WBA,19.13,2.4599999999999973,0.57,0.63,0.78,0.42,0.61,74,70,67,64,41
38,Capital Markets,SF,18.17,0.4400000000000013,0.62,0.58,0.52,0.31,0.37,73,74,76,40,75
39,Telecom Services,KT,17.45,-4.370000000000001,0.53,0.54,0.33,0.41,0.7,72,78,80,81,82
40,Resorts & Casinos,MGM,17.41,8.28,0.84,0.72,0.36,0.25,0.45,72,59,46,20,18
41,Internet Content & Information,MTCH,17.19,0.38000000000000256,0.62,0.66,0.65,0.65,0.34,71,71,45,28,34
42,Aerospace & Defense,CAE,16.99,-0.5400000000000027,0.36,0.33,0.3,0.51,0.57,70,73,91,86,88
43,Banks - Regional,CMA,16.72,2.2399999999999984,0.7,0.54,0.58,0.47,0.17,70,69,70,39,62
44,Semiconductors,QRVO,16.34,-0.8200000000000003,0.65,0.72,0.37,0.52,0.35,69,72,46,38,10
45,Banks - Regional,FHN,16.09,-1.25,0.7,0.62,0.43,0.48,0.24,68,72,75,72,83
46,Software - Application,OTEX,15.77,3.8200000000000003,0.74,0.69,0.52,0.53,0.24,67,62,42,45,12
47,Oil & Gas E&P,APA,15.06,7.180000000000001,0.87,0.83,0.4,0.48,0.23,67,56,22,9,7
48,Utilities - Diversified,AES,14.67,0.7400000000000002,0.68,0.66,0.62,0.23,0.61,66,68,62,4,5
49,Agricultural Inputs,MOS,14.55,1.9400000000000013,0.58,0.38,0.45,0.76,0.34,65,65,85,93,15
50,Banks - Regional,WTFC,13.99,1.3800000000000008,0.85,0.69,0.35,0.51,0.19,64,65,61,70,62
51,Banks - Regional,ZION,13.86,3.33,0.82,0.68,0.26,0.41,0.28,64,61,56,33,66
52,Software - Application,DAY,13.37,0.1899999999999995,0.93,0.81,0.51,0.48,0.26,63,66,21,51,25
53,Gold,RGLD,12.97,2.120000000000001,0.63,0.7,0.3,0.71,0.55,62,62,44,92,79
54,Banks - Regional,WAL,12.52,3.469999999999999,0.79,0.68,0.31,0.32,0.39,62,59,38,28,74
55,Real Estate Services,FSV,12.18,-0.019999999999999574,0.65,0.57,0.72,0.49,0.66,61,63,66,52,58
56,Specialty Industrial Machinery,DCI,11.85,6.869999999999999,0.68,0.63,0.55,0.44,0.45,60,50,49,35,32
57,Asset Management,SEIC,11.7,-1.6800000000000015,0.55,0.61,0.22,0.55,0.25,59,67,69,80,65
58,Publishing,NYT,11.01,-1.58,0.68,0.66,0.18,0.61,0.18,59,64,41,75,30
59,Specialty Industrial Machinery,CR,10.99,-3.74,0.39,0.44,0.61,0.47,0.3,58,70,78,74,53
60,Airlines,AAL,10.88,5.4,0.69,0.65,0.29,0.33,0.26,57,52,30,22,71
61,Medical Devices,PEN,10.75,4.4,0.8,0.74,0.53,0.23,0.6,57,54,57,72,93
62,Lodging,HTHT,9.73,5.69,0.78,0.83,0.37,0.3,0.69,56,48,28,55,78
63,Oil & Gas Midstream,HESM,8.85,0.40000000000000036,0.46,0.4,0.66,0.43,0.6,55,57,72,50,77
64,Telecom Services,FYBR,8.83,0.009999999999999787,0.71,0.65,0.43,0.42,0.66,54,58,60,79,91
65,Software - Application,CVLT,8.5,3.12,0.51,0.43,0.58,0.53,0.39,54,51,65,87,92
66,Semiconductors,MTSI,8.28,1.4099999999999993,0.64,0.38,0.49,0.6,0.34,53,54,81,78,57
67,Diagnostics & Research,QGEN,7.57,-5.84,0.4,0.44,0.59,0.72,0.37,52,67,75,71,23
68,Packaging & Containers,CCK,7.43,-0.6099999999999994,0.44,0.58,0.11,0.53,0.5,51,57,59,76,60
69,Oil & Gas Midstream,AM,5.47,-0.5100000000000007,0.32,0.26,0.58,0.61,0.65,51,53,77,83,85
70,Oil & Gas E&P,OVV,5.23,3.1800000000000006,0.74,0.57,0.41,0.41,0.34,50,44,51,20,19
71,Oil & Gas E&P,PR,5.2,2.1100000000000003,0.68,0.57,0.46,0.37,0.25,49,46,53,33,13
72,Capital Markets,XP,4.72,8.58,0.63,0.5,0.26,0.65,0.51,49,28,54,88,17
73,Internet Retail,CART,4.1,4.859999999999999,0.24,0.36,0.45,0.61,0.21,48,36,67,89,64
74,Insurance - Property & Casualty,AIZ,3.86,-1.3199999999999998,0.66,0.73,0.4,0.54,0.46,47,51,36,58,63
75,Biotechnology,EXEL,3.84,-3.1500000000000004,0.5,0.54,0.24,0.68,0.84,46,55,79,94,96
76,Insurance - Property & Casualty,AFG,3.56,-0.94,0.69,0.71,0.35,0.51,0.55,46,49,32,31,35
77,Auto & Truck Dealerships,LAD,3.47,3.58,0.75,0.67,0.17,0.45,0.0,45,38,30,60,49
78,Specialty Industrial Machinery,AOS,3.45,1.37,0.54,0.61,0.55,0.32,0.57,44,45,41,17,16
79,Restaurants,WING,3.13,2.63,0.5,0.43,0.64,0.83,0.21,43,41,78,82,1
80,REIT - Industrial,REXR,2.86,3.3899999999999997,0.79,0.72,0.43,0.51,0.62,43,36,25,11,27
81,Aluminum,AA,2.59,5.6,0.67,0.62,0.42,0.43,0.33,42,30,29,4,24
82,Utilities - Regulated Electric,OGE,2.58,-1.7400000000000002,0.44,0.47,0.58,0.6,0.61,41,49,63,67,84
83,Software - Application,PCOR,1.75,4.51,0.71,0.57,0.3,0.27,0.53,41,31,25,32,69
84,Advertising Agencies,IPG,1.34,1.2200000000000002,0.72,0.82,0.47,0.23,0.54,40,41,14,6,22
85,Utilities - Regulated Water,WTRG,1.2,0.26,0.56,0.65,0.53,0.6,0.71,39,43,43,44,52
86,Specialty Business Services,ARMK,1.13,-2.58,0.5,0.49,0.38,0.6,0.37,38,47,82,77,55
87,Engineering & Construction,TTEK,1.01,3.1799999999999997,0.46,0.39,0.37,0.5,0.24,38,33,40,37,4
88,Footwear & Accessories,SKX,0.72,-0.09000000000000008,0.64,0.46,0.43,0.37,0.41,37,42,62,36,29
89,Software - Infrastructure,SAIL,0.0,0.0,0.71,0.56,0.5,0.29,0.58,36,39,50,47,50
90,Software - Application,TTAN,0.0,0.0,0.66,0.36,0.66,0.34,0.34,36,39,50,47,50
91,Packaged Foods,SFD,0.0,0.0,0.53,0.55,0.62,0.61,0.38,36,39,50,47,50
92,Semiconductors,SWKS,-2.25,-1.47,0.66,0.81,0.18,0.44,0.55,34,35,9,18,6
93,Integrated Freight & Logistics,ZTO,-2.39,-3.92,0.22,0.4,0.71,0.39,0.62,33,43,54,12,56
94,Medical Distribution,HSIC,-2.58,4.0,0.67,0.66,0.4,0.5,0.29,33,22,39,41,44
95,Travel Services,MMYT,-3.04,-5.6,0.6,0.75,0.52,0.36,0.28,32,46,16,75,68
96,Banks - Regional,CBSH,-3.13,-0.81,0.62,0.6,0.17,0.36,0.29,31,33,36,57,67
97,Packaged Foods,SJM,-3.15,-0.48999999999999977,0.49,0.58,0.58,0.53,0.6,30,32,35,49,31
98,Insurance - Property & Casualty,KNSL,-3.24,0.2699999999999996,0.62,0.53,0.25,0.63,0.32,30,28,48,66,33
99,Software - Infrastructure,DOX,-3.29,-2.0700000000000003,0.46,0.58,0.29,0.56,0.59,29,34,34,70,59
100,Insurance - Life,PRI,-3.46,-0.45999999999999996,0.68,0.53,0.43,0.52,0.57,28,30,38,53,70
101,REIT - Retail,FRT,-3.95,0.6799999999999997,0.82,0.72,0.36,0.44,0.29,28,26,14,19,40
102,Insurance - Reinsurance,RNR,-5.38,-5.01,0.54,0.59,0.53,0.57,0.69,27,37,47,51,42
103,Medical Care Facilities,DVA,-5.41,1.0700000000000003,0.67,0.45,0.43,0.35,0.2,26,23,31,25,36
104,Software - Application,PCTY,-5.7,-1.6900000000000004,0.6,0.48,0.51,0.31,0.35,25,27,52,67,86
105,Oil & Gas E&P,AR,-5.97,5.830000000000001,0.46,0.22,0.35,0.33,0.33,25,14,57,80,88
106,Packaged Foods,INGR,-6.08,0.4900000000000002,0.66,0.57,0.2,0.52,0.54,24,22,37,65,47
107,Software - Infrastructure,AKAM,-6.1,2.530000000000001,0.81,0.59,0.36,0.43,0.25,23,19,7,14,14
108,Software - Infrastructure,KVYO,-6.44,2.679999999999999,0.66,0.53,0.38,0.27,0.24,22,18,17,61,96
109,Publishing,PSO,-6.67,-1.4000000000000004,0.53,0.44,0.69,0.32,0.63,22,25,43,43,91
110,Beverages - Non-Alcoholic,COKE,-6.68,-0.7299999999999995,0.57,0.64,0.5,0.39,0.41,21,24,33,21,87
111,Biotechnology,TECH,-7.34,-3.9899999999999998,0.65,0.56,0.56,0.39,0.29,20,29,18,2,14
112,Medical Care Facilities,UHS,-7.62,0.040000000000000036,0.7,0.82,0.29,0.46,0.49,20,21,12,36,28
113,Specialty Chemicals,WLK,-7.66,3.08,0.71,0.57,0.37,0.17,0.5,19,16,4,1,11
114,Restaurants,TXRH,-8.3,-3.1800000000000006,0.44,0.42,0.4,0.59,0.72,18,25,55,68,67
115,Auto Parts,MBLY,-8.92,5.35,0.59,0.46,0.24,0.48,0.38,17,10,22,46,9
116,Information Technology Services,EPAM,-8.94,3.34,0.79,0.74,0.29,0.27,0.12,17,12,5,15,26
117,Beverages - Brewers,TAP,-9.99,-1.4299999999999997,0.51,0.63,0.44,0.35,0.72,16,20,15,24,54
118,REIT - Industrial,CUBE,-10.53,-0.5499999999999989,0.7,0.57,0.35,0.5,0.53,15,17,24,30,28
119,Packaged Foods,PPC,-10.89,-2.6500000000000004,0.16,0.24,0.66,0.61,0.62,14,20,59,62,93
120,Medical Instruments & Supplies,ATR,-10.92,-0.39000000000000057,0.48,0.48,0.26,0.58,0.72,14,17,28,54,39
121,Medical Devices,GMED,-11.3,-0.23000000000000043,0.57,0.7,0.34,0.57,0.3,13,15,2,7,75
122,Biotechnology,BMRN,-11.87,-0.27999999999999936,0.6,0.31,0.5,0.32,0.68,12,14,13,5,37
123,Diagnostics & Research,RVTY,-12.8,-0.7000000000000011,0.59,0.57,0.37,0.39,0.51,12,13,8,9,46
124,Beverages - Non-Alcoholic,PRMB,-13.09,1.33,0.66,0.33,0.26,0.47,0.46,11,9,33,83,97
125,Software - Application,NICE,-14.05,0.41999999999999993,0.47,0.39,0.51,0.54,0.34,10,9,26,57,9
126,Rental & Leasing Services,UHAL-B,-14.27,-0.7400000000000002,0.5,0.55,0.27,0.44,0.42,9,12,10,23,45
127,Rental & Leasing Services,UHAL,-14.58,-0.5800000000000001,0.51,0.5,0.3,0.38,0.38,9,11,11,25,59
128,Diagnostics & Research,EXAS,-14.97,1.7499999999999982,0.78,0.45,0.26,0.55,0.39,8,8,20,64,17
129,Specialty Retail,GME,-15.08,3.9799999999999986,0.5,0.48,0.32,0.55,0.44,7,4,19,84,72
130,Financial Data & Stock Exchanges,MORN,-17.06,0.5600000000000023,0.6,0.49,0.29,0.51,0.34,7,7,17,43,36
131,Auto & Truck Dealerships,KMX,-17.82,-0.4800000000000004,0.71,0.66,0.19,0.38,0.26,6,7,4,13,48
132,Medical Instruments & Supplies,AVTR,-18.09,3.0,0.72,0.69,0.36,0.48,0.24,5,3,1,1,2
133,Telecom Services,LBRDA,-20.71,-2.990000000000002,0.58,0.61,0.11,0.44,0.76,4,6,9,91,94
134,Packaged Foods,CPB,-20.81,-2.0,0.48,0.49,0.61,0.43,0.56,4,4,6,8,20
135,Telecom Services,LBRDK,-21.19,-2.9400000000000013,0.58,0.61,0.11,0.44,0.74,3,5,7,91,95
136,REIT - Industrial,LINE,-24.12,0.9800000000000004,0.58,0.4,0.53,0.29,0.73,2,2,3,47,50
137,Medical Instruments & Supplies,ALGN,-27.22,-0.8599999999999994,0.59,0.56,0.24,0.36,0.22,1,1,1,14,4
138,Building Materials,JHX,-31.6,-1.3200000000000003,0.26,0.27,0.42,0.41,0.46,1,1,20,3,25
139,Healthcare Plans,MOH,-41.29,2.4200000000000017,0.88,0.77,0.2,0.36,0.7,1,1,1,27,38
