Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Biotechnology,ABVX,954.36,-4.449999999999932,0.78,0.66,0.95,0.77,0.66,99,99,99,10,5
2,Capital Markets,IREN,218.06,62.44,0.79,0.76,0.37,0.61,0.14,99,99,99,60,43
3,Software - Application,LIF,88.95,0.9099999999999966,0.77,0.7,0.72,0.65,0.45,99,99,99,50,53
4,Biotechnology,RYTM,81.96,-2.2900000000000063,0.69,0.72,0.47,0.72,0.37,98,98,96,96,74
5,Information Technology Services,GDS,58.43,16.089999999999996,0.43,0.43,0.47,0.37,0.56,97,91,98,96,99
6,Gold,OR,53.39,3.789999999999999,0.7,0.68,0.56,0.77,0.35,96,95,93,98,69
7,Specialty Retail,FIVE,53.25,4.789999999999999,0.67,0.58,0.48,0.78,0.47,96,94,96,95,8
8,Electronic Components,SANM,49.81,5.359999999999999,0.47,0.48,0.56,0.58,0.23,95,93,94,88,68
9,REIT - Healthcare Facilities,AHR,46.87,-3.8300000000000054,0.9,0.8,0.64,0.49,0.72,94,96,95,99,98
10,Residential Construction,IBP,45.09,-5.409999999999997,0.57,0.78,0.56,0.43,0.44,93,96,56,14,9
11,Specialty Retail,MNSO,43.78,-0.6999999999999957,0.69,0.76,0.57,0.36,0.34,93,93,41,21,46
12,Gold,EQX,41.45,10.560000000000002,0.84,0.8,0.4,0.75,0.43,92,87,52,86,87
13,Semiconductors,RMBS,40.93,2.280000000000001,0.51,0.49,0.67,0.48,0.35,91,90,93,72,49
14,Auto Parts,MOD,40.01,3.1999999999999957,0.53,0.46,0.87,0.33,0.32,90,90,90,31,3
15,Semiconductors,SITM,38.0,6.809999999999999,0.67,0.65,0.4,0.51,0.57,90,88,74,93,90
16,Pollution & Treatment Controls,FSS,34.72,-1.2000000000000028,0.43,0.52,0.7,0.59,0.19,89,89,92,79,32
17,Education & Training Services,LRN,34.66,-7.82,0.69,0.85,0.29,0.36,0.51,88,92,75,97,99
