Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Computer Hardware,RGTI,520.1,13.82000000000005,0.51,0.38,0.57,0.62,0.3,99,99,99,99,99
2,Communication Equipment,VSAT,234.08,31.57000000000002,0.81,0.73,0.64,0.33,0.6,99,99,95,9,8
3,Gambling,SGHC,90.34,-8.769999999999996,0.62,0.67,0.3,0.52,0.33,99,99,98,99,99
4,Uranium,UEC,87.22,16.14,0.6,0.59,0.83,0.6,0.21,98,96,93,70,13
5,Electronic Components,TTMI,81.1,2.8299999999999983,0.5,0.51,0.48,0.71,0.31,97,97,99,96,87
6,Auto Parts,QS,76.7,4.320000000000007,0.32,0.43,0.43,0.45,0.43,96,96,96,13,17
7,Other Precious Metals & Mining,SBSW,69.01,-13.22999999999999,0.32,0.36,0.48,0.84,0.37,96,98,99,97,24
8,Rental & Leasing Services,CAR,63.98,10.269999999999996,0.56,0.43,0.29,0.65,0.41,95,95,97,89,11
9,Capital Markets,RIOT,56.62,15.149999999999999,0.72,0.67,0.39,0.5,0.33,94,92,75,50,26
10,Semiconductors,PI,49.22,9.979999999999997,0.77,0.62,0.83,0.48,0.39,93,90,82,33,3
11,Other Precious Metals & Mining,TFPM,47.51,4.82,0.54,0.63,0.42,0.85,0.54,93,93,88,94,81
12,Copper,HBM,45.28,5.230000000000004,0.8,0.81,0.25,0.67,0.29,92,91,70,79,37
13,Gold,EGO,44.16,8.699999999999996,0.73,0.53,0.55,0.83,0.49,91,86,84,92,43
14,Software - Application,YOU,40.9,-0.9100000000000037,0.76,0.76,0.5,0.6,0.54,90,93,74,74,77
15,Semiconductors,SMTC,40.41,10.459999999999997,0.68,0.5,0.6,0.44,0.51,90,81,87,26,38
16,Other Precious Metals & Mining,BVN,40.28,2.4200000000000017,0.65,0.6,0.54,0.72,0.59,89,89,86,83,51
17,Specialty Chemicals,SXT,39.94,0.09999999999999432,0.45,0.47,0.59,0.57,0.36,88,90,90,87,39
18,Software - Application,FROG,39.32,1.9299999999999997,0.75,0.64,0.59,0.58,0.5,87,88,85,91,85
19,Aerospace & Defense,ACHR,34.58,-11.82,0.4,0.36,0.42,0.39,0.42,87,94,96,99,99
20,Recreational Vehicles,DOOO,33.9,2.0199999999999996,0.76,0.7,0.51,0.76,0.42,86,84,70,29,5
21,Specialty Industrial Machinery,MIR,32.05,-2.1600000000000037,0.43,0.43,0.42,0.73,0.37,85,85,92,95,93
22,Scientific & Technical Instruments,ESE,30.5,4.850000000000001,0.58,0.52,0.48,0.42,0.49,84,79,91,90,96
23,Uranium,NXE,30.5,17.42,0.7,0.54,0.42,0.65,0.19,84,67,61,66,6
24,Farm Products,CALM,29.61,-1.3399999999999999,0.69,0.74,0.56,0.59,0.2,83,82,82,87,84
25,Education & Training Services,ATGE,28.88,-8.110000000000003,0.73,0.87,0.27,0.54,0.41,82,87,84,96,96
26,Biotechnology,MRUS,28.1,-8.549999999999997,0.54,0.46,0.8,0.78,0.67,81,87,93,88,34
27,Apparel Retail,BOOT,27.79,6.98,0.65,0.57,0.5,0.72,0.3,81,76,90,90,33
28,Auto Parts,DORM,27.73,-3.4800000000000004,0.77,0.78,0.36,0.43,0.71,80,83,59,70,90
29,Engineering & Construction,GVA,26.23,-1.6499999999999986,0.53,0.8,0.45,0.66,0.24,79,81,77,81,76
30,Semiconductors,ALGM,26.11,-7.25,0.57,0.54,0.26,0.54,0.58,79,84,94,67,66
31,Software - Infrastructure,CORZ,25.92,5.830000000000002,0.48,0.45,0.37,0.73,0.3,78,74,86,93,94
32,Airlines,SKYW,25.9,-1.5700000000000003,0.71,0.7,0.43,0.49,0.25,77,80,76,82,73
33,Security & Protection Services,BCO,23.67,1.3100000000000023,0.71,0.89,0.24,0.29,0.37,76,77,17,21,30
34,Specialty Industrial Machinery,NPO,23.41,-3.3599999999999994,0.51,0.51,0.6,0.51,0.41,76,79,89,73,67
35,Capital Markets,PIPR,21.2,-0.33000000000000185,0.57,0.6,0.56,0.37,0.29,75,76,76,44,61
36,Airlines,CPA,19.96,4.420000000000002,0.51,0.62,0.44,0.69,0.62,74,69,79,80,56
37,Specialty Business Services,MMS,19.87,8.030000000000001,0.76,0.79,0.52,0.34,0.53,73,62,39,39,21
38,Software - Infrastructure,ZETA,19.66,8.77,0.62,0.65,0.59,0.26,0.36,73,59,14,3,42
39,Communication Equipment,BDC,19.64,0.9600000000000009,0.7,0.69,0.44,0.37,0.36,72,73,69,60,54
40,Education & Training Services,GHC,18.25,-4.48,0.79,0.85,0.48,0.42,0.53,71,78,64,76,86
41,REIT - Office,KRC,18.2,0.17999999999999972,0.82,0.66,0.46,0.61,0.43,70,72,56,37,31
42,Aerospace & Defense,SPR,17.58,2.4999999999999982,0.65,0.57,0.35,0.61,0.41,70,68,72,81,58
43,Recreational Vehicles,THO,17.05,-0.2699999999999996,0.73,0.76,0.48,0.5,0.21,69,71,53,21,9
44,Auto Parts,LEA,16.08,3.4399999999999977,0.92,0.93,0.23,0.35,0.45,68,65,44,19,19
45,Asset Management,VCTR,15.52,-0.7899999999999991,0.52,0.58,0.55,0.36,0.23,67,70,73,71,78
46,Oil & Gas Midstream,GLNG,14.81,-5.589999999999998,0.7,0.66,0.45,0.59,0.21,67,75,65,86,89
47,Education & Training Services,LOPE,14.73,-3.370000000000001,0.62,0.84,0.43,0.55,0.48,66,73,59,84,88
48,Banks - Regional,VLY,14.06,1.2599999999999998,0.77,0.72,0.37,0.35,0.32,65,66,53,53,68
49,Banks - Regional,FLG,13.33,2.42,0.75,0.82,0.46,0.32,0.41,64,59,49,63,82
50,Banks - Regional,ASB,12.93,1.9499999999999993,0.8,0.7,0.31,0.31,0.33,63,60,57,54,53
51,Oil & Gas Midstream,FRO,12.93,5.989999999999999,0.75,0.5,0.53,0.5,0.33,63,53,51,41,14
52,Leisure,GOLF,12.44,-3.0999999999999996,0.55,0.47,0.47,0.47,0.42,62,69,79,63,41
53,Capital Markets,MC,12.19,0.3699999999999992,0.53,0.56,0.42,0.34,0.22,61,61,67,23,53
54,Banks - Regional,BANF,11.89,-0.009999999999999787,0.74,0.67,0.34,0.38,0.4,61,63,64,79,79
55,Scientific & Technical Instruments,ST,11.88,-0.5699999999999985,0.64,0.66,0.37,0.38,0.43,60,64,67,14,10
56,Software - Infrastructure,WEX,10.95,1.8399999999999999,0.58,0.51,0.69,0.48,0.55,59,56,68,10,16
57,Scientific & Technical Instruments,ITRI,10.66,-3.1799999999999997,0.48,0.51,0.26,0.62,0.65,59,67,78,75,52
58,Mortgage Finance,PFSI,10.35,0.41999999999999993,0.7,0.7,0.41,0.39,0.6,58,58,41,38,64
59,Banks - Regional,IBOC,9.55,-2.3599999999999994,0.62,0.63,0.37,0.42,0.41,57,64,62,59,50
60,Information Technology Services,SAIC,8.87,7.68,0.56,0.62,0.4,0.29,0.48,56,39,24,24,16
61,Utilities - Regulated Gas,SWX,8.42,4.63,0.54,0.36,0.52,0.7,0.34,56,46,63,51,47
62,Oil & Gas Equipment & Services,WFRD,8.26,7.63,0.8,0.62,0.47,0.39,0.28,55,36,20,1,1
63,Insurance - Specialty,ACT,7.64,-1.740000000000001,0.54,0.67,0.49,0.39,0.6,54,56,50,64,62
64,Auto & Truck Dealerships,RUSHA,7.55,-1.8400000000000007,0.6,0.57,0.49,0.44,0.43,53,57,54,39,71
65,Banks - Regional,SFBS,7.36,-1.5499999999999998,0.79,0.77,0.32,0.35,0.45,53,55,42,34,87
66,Semiconductors,CRUS,6.59,-0.15000000000000036,0.73,0.67,0.45,0.3,0.53,52,52,34,24,40
67,REIT - Retail,MAC,6.54,-1.1799999999999997,0.71,0.61,0.47,0.47,0.3,51,54,41,27,64
68,Education & Training Services,TAL,6.49,1.3900000000000006,0.4,0.44,0.52,0.54,0.43,50,49,66,40,95
69,Asset Management,AB,5.51,-0.7800000000000002,0.48,0.52,0.46,0.46,0.73,50,50,60,77,75
70,Auto & Truck Dealerships,VVV,5.35,-1.3100000000000005,0.52,0.7,0.32,0.6,0.25,49,51,30,42,25
71,Utilities - Regulated Gas,SR,5.24,-1.62,0.52,0.57,0.43,0.63,0.7,48,53,61,73,84
72,Steel,SIM,4.98,2.5900000000000003,,,0.42,,0.64,47,41,56,55,33
73,Oil & Gas E&P,MGY,4.89,2.5599999999999996,0.73,0.53,0.48,0.38,0.46,47,41,50,28,29
74,Packaged Foods,MZTI,3.88,-1.0,0.57,0.62,0.5,0.53,0.52,46,48,58,30,59
75,Tools & Accessories,TKR,3.48,-1.8299999999999996,0.58,0.62,0.4,0.4,0.32,45,50,44,25,36
76,Utilities - Regulated Gas,OGS,3.36,0.8599999999999999,0.57,0.62,0.39,0.57,0.62,44,43,47,71,70
77,Auto & Truck Dealerships,ABG,3.17,-1.2999999999999998,0.74,0.71,0.23,0.41,0.18,44,47,25,35,72
78,Residential Construction,MTH,3.08,1.0500000000000003,0.66,0.63,0.47,0.3,0.54,43,40,21,7,19
79,Real Estate - Diversified,HHH,2.93,-0.6499999999999999,0.72,0.7,0.37,0.33,0.54,42,45,36,27,57
80,Capital Markets,BGC,2.86,-1.8400000000000003,0.38,0.54,0.26,0.49,0.54,41,47,55,50,67
81,Medical Instruments & Supplies,BLCO,2.54,1.92,0.69,0.51,0.47,0.45,0.31,41,36,26,4,32
82,Specialty Industrial Machinery,FELE,2.37,-0.06000000000000005,0.62,0.59,0.59,0.41,0.53,40,42,46,17,45
83,Banks - Regional,HOMB,2.21,-1.1,0.72,0.69,0.34,0.34,0.3,39,44,43,61,69
84,Insurance - Specialty,RDN,1.9,-0.8000000000000003,0.57,0.64,0.34,0.48,0.47,39,44,37,61,39
85,"Furnishings, Fixtures & Appliances",WHR,1.17,0.04999999999999982,0.73,0.68,0.21,0.42,0.39,38,39,23,16,28
86,REIT - Office,CUZ,1.11,2.5,0.76,0.66,0.2,0.53,0.4,37,33,27,59,76
87,Oil & Gas Midstream,SOBO,0.0,0.0,0.49,0.56,0.45,0.63,0.77,36,35,52,57,49
88,Utilities - Regulated Gas,NJR,-0.07,-0.96,0.51,0.56,0.44,0.49,0.7,35,38,40,47,60
89,Banks - Regional,FFIN,-0.07,-0.71,0.69,0.66,0.26,0.49,0.41,35,37,33,56,63
90,Insurance - Property & Casualty,WTM,-0.99,-0.49,0.56,0.55,0.37,0.56,0.54,34,34,45,45,47
91,Software - Infrastructure,ACIW,-1.82,-1.07,0.77,0.84,0.31,0.33,0.59,33,33,11,44,92
92,Packaging & Containers,SON,-2.04,1.38,0.65,0.61,0.4,0.54,0.46,33,29,27,22,21
93,Packaging & Containers,SEE,-2.23,2.1999999999999997,0.75,0.65,0.2,0.52,0.4,32,26,18,36,27
94,Oil & Gas E&P,CRK,-2.55,6.79,0.55,0.34,0.15,0.52,0.57,31,19,73,98,98
95,Entertainment,MSGS,-2.57,-0.5,0.4,0.43,0.34,0.3,0.29,30,31,47,36,44
96,Internet Retail,ETSY,-3.74,-14.73,0.35,0.52,0.52,0.93,0.42,30,61,81,76,23
97,Leisure,MAT,-4.53,2.05,0.67,0.71,0.26,0.39,0.3,29,21,33,46,74
98,Medical Care Facilities,OPCH,-4.69,-0.54,0.57,0.5,0.32,0.51,0.82,28,27,22,67,91
99,Beverages - Non-Alcoholic,KOF,-4.73,-1.9400000000000004,0.48,0.62,0.3,0.67,0.64,27,30,38,78,54
100,Biotechnology,NUVL,-4.75,0.6600000000000001,0.55,0.4,0.3,0.69,0.29,27,24,36,62,24
101,Utilities - Regulated Electric,POR,-5.0,0.23000000000000043,0.55,0.51,0.52,0.54,0.65,26,24,35,32,41
102,REIT - Retail,PECO,-5.01,-0.6399999999999997,0.73,0.55,0.39,0.49,0.47,25,27,31,53,50
103,REIT - Retail,KRG,-5.12,-0.13999999999999968,0.71,0.55,0.37,0.41,0.47,24,25,28,33,35
104,Specialty Chemicals,BCPC,-5.42,0.040000000000000036,0.58,0.63,0.3,0.54,0.72,24,23,29,48,61
105,Drug Manufacturers - Specialty & Generic,ALKS,-5.53,-2.43,0.67,0.67,0.32,0.54,0.63,23,30,21,69,93
106,Rental & Leasing Services,HRI,-5.6,5.02,0.69,0.66,0.36,0.34,0.13,22,18,7,10,12
107,Consulting Services,FCN,-6.29,1.88,0.52,0.46,0.47,0.5,0.26,21,20,19,16,18
108,Apparel Retail,ANF,-6.62,-4.77,0.39,0.51,0.48,0.45,0.24,21,32,30,1,1
109,Medical Instruments & Supplies,MMSI,-7.44,2.669999999999999,0.73,0.63,0.27,0.39,0.43,20,19,19,47,83
110,Biotechnology,TGTX,-7.9,-1.5200000000000005,0.74,0.51,0.29,0.72,0.68,19,22,80,93,97
111,Internet Retail,GLBE,-9.31,2.5199999999999996,0.52,0.5,0.39,0.17,0.08,19,15,10,18,65
112,REIT - Residential,IRT,-9.74,1.209999999999999,0.66,0.54,0.35,0.45,0.7,18,17,16,31,81
113,Restaurants,SHAK,-10.11,0.8800000000000008,0.5,0.34,0.23,0.74,0.45,17,16,71,85,30
114,Lodging,CHH,-10.3,1.7799999999999994,0.51,0.36,0.34,0.53,0.34,16,14,32,41,80
115,Insurance - Life,FG,-10.76,-2.59,0.51,0.65,0.54,0.61,0.35,16,20,8,6,44
116,Telecom Services,PHI,-11.84,-7.92,0.26,0.47,0.8,0.35,0.69,15,28,39,30,59
117,Packaging & Containers,SLGN,-12.64,2.049999999999999,0.55,0.49,0.2,0.51,0.48,14,12,15,68,56
118,Resorts & Casinos,CZR,-13.68,4.219999999999999,0.69,0.63,0.19,0.21,0.31,13,9,5,7,15
119,Telecom Services,AD,-13.7,-0.9599999999999991,0.13,0.23,0.66,0.65,0.44,13,13,83,65,90
120,Agricultural Inputs,FMC,-13.75,-2.539999999999999,0.74,0.62,0.32,0.6,0.64,12,16,10,12,4
121,Medical Devices,GKOS,-14.24,5.779999999999999,0.7,0.57,0.08,0.56,0.29,11,7,7,8,36
122,Marine Shipping,KEX,-14.36,-1.0399999999999991,0.5,0.39,0.23,0.68,0.36,10,13,13,58,27
123,Asset Management,FSK,-14.84,1.6099999999999994,0.66,0.25,0.3,0.6,0.4,10,10,48,52,73
124,Medical Instruments & Supplies,TFX,-15.35,4.51,0.68,0.68,0.5,0.39,0.24,9,7,2,5,4
125,Integrated Freight & Logistics,LSTR,-15.9,-0.16999999999999993,0.6,0.54,0.29,0.51,0.37,8,11,12,13,22
126,Specialty Industrial Machinery,CSW,-15.94,2.5600000000000005,0.55,0.58,0.12,0.31,0.4,7,8,4,49,46
127,Scientific & Technical Instruments,BMI,-18.61,-1.3599999999999994,0.41,0.51,0.17,0.59,0.42,7,10,13,84,70
128,Footwear & Accessories,CROX,-19.29,2.9299999999999997,0.81,0.34,0.42,0.11,0.66,6,6,24,19,20
129,Chemicals,CE,-22.97,5.040000000000003,0.51,0.45,0.26,0.51,0.35,5,4,3,4,1
130,Rental & Leasing Services,WSC,-23.17,-0.5800000000000018,0.52,0.46,0.26,0.33,0.24,4,5,6,11,10
131,Internet Content & Information,DJT,-23.19,5.849999999999998,0.52,0.57,0.39,0.28,0.15,4,3,1,15,7
132,Software - Infrastructure,OS,-24.97,4.560000000000002,0.57,0.29,0.16,0.67,0.47,3,2,16,57,49
133,Medical Devices,BRKR,-26.08,-0.759999999999998,0.64,0.6,0.39,0.43,0.32,2,4,4,2,7
134,Solar,ENPH,-32.45,-0.9500000000000028,0.69,0.68,0.21,0.46,0.45,1,1,1,1,2
135,Packaged Foods,BRBR,-37.28,2.269999999999996,0.61,0.61,0.31,0.48,0.36,1,1,9,43,79
136,Advertising Agencies,WPP,-38.77,1.9499999999999957,0.72,0.48,0.4,0.42,0.19,1,1,1,20,13
