Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Communication Equipment,COMM,206.62,-12.650000000000006,0.62,0.64,0.5,0.56,0.65,99,99,98,97,99
2,Software - Application,KC,145.87,24.840000000000003,0.6,0.52,0.54,0.19,0.48,99,98,99,99,99
3,Gold,SSRM,143.91,21.310000000000002,0.82,0.81,0.41,0.76,0.63,99,99,96,98,97
4,Capital Markets,WULF,130.19,29.060000000000002,0.81,0.8,0.43,0.49,0.31,98,96,75,57,77
5,Information Technology Services,APLD,114.78,-24.069999999999993,0.63,0.58,0.67,0.81,0.51,97,99,99,96,93
6,Diagnostics & Research,WGS,111.21,9.349999999999994,0.71,0.67,0.75,0.7,0.69,96,97,97,94,99
7,Specialty Chemicals,PRM,93.59,10.400000000000006,0.95,0.91,0.36,0.56,0.26,96,95,90,84,60
8,Credit Services,SEZL,89.12,2.1300000000000097,0.63,0.16,0.56,0.84,0.39,95,96,99,99,98
9,Solar,RUN,84.54,5.740000000000009,0.71,0.78,0.45,0.33,0.38,94,93,56,14,1
10,Gold,ORLA,74.0,5.920000000000002,0.6,0.57,0.36,0.83,0.59,93,93,95,99,96
11,Resorts & Casinos,MLCO,70.88,12.699999999999996,0.83,0.73,0.49,0.49,0.6,93,88,93,56,28
12,Insurance - Property & Casualty,LMND,69.7,-12.11999999999999,0.51,0.58,0.38,0.58,0.59,92,94,93,87,93
13,Advertising Agencies,MGNI,66.85,5.609999999999992,0.69,0.65,0.43,0.53,0.07,91,90,96,73,58
14,Biotechnology,MIRM,62.8,0.6400000000000006,0.7,0.85,0.41,0.5,0.31,90,91,77,77,84
15,Gold,SAND,62.41,0.09999999999999432,0.65,0.73,0.31,0.82,0.46,90,92,90,93,79
16,Utilities - Renewable,ENLT,58.0,-1.5499999999999972,0.74,0.76,0.48,0.58,0.54,89,90,94,74,43
17,Aerospace & Defense,MRCY,53.59,-4.839999999999996,0.78,0.77,0.54,0.68,0.39,88,89,79,85,82
18,Telecom Services,VEON,48.92,0.9699999999999989,0.54,0.67,0.42,0.49,0.53,87,87,88,91,91
19,Travel Services,CUK,46.34,0.030000000000001137,0.72,0.67,0.47,0.6,0.3,87,86,91,79,78
20,Internet Content & Information,GENI,44.98,0.25,0.59,0.64,0.65,0.25,0.54,86,85,86,76,86
21,Software - Infrastructure,DLO,43.25,6.560000000000002,0.76,0.78,0.31,0.6,0.31,85,82,66,69,28
22,Aerospace & Defense,VSEC,42.69,-6.469999999999999,0.61,0.59,0.66,0.47,0.67,84,87,87,84,85
23,Conglomerates,SEB,42.08,8.759999999999998,0.85,0.7,0.7,0.68,0.52,84,80,75,40,31
