Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Computer Hardware,QUBT,577.3,60.729999999999905,0.45,0.38,0.29,0.65,0.21,99,99,99,99,99
2,Software - Application,DAVE,153.04,21.53,0.68,0.31,0.57,0.69,0.34,99,99,99,98,98
3,Drug Manufacturers - Specialty & Generic,INDV,111.48,-12.879999999999995,0.75,0.84,0.87,0.71,0.51,98,98,98,65,10
4,Biotechnology,LQDA,109.37,1.6899999999999977,0.79,0.76,0.69,0.52,0.38,98,98,86,90,89
5,Footwear & Accessories,WWW,96.2,9.200000000000003,0.83,0.83,0.7,0.49,0.2,97,96,92,69,42
6,Specialty Industrial Machinery,XMTR,80.79,10.220000000000013,0.67,0.59,0.41,0.65,0.25,96,95,91,95,86
7,Gambling,SBET,73.35,-28.310000000000002,0.37,0.47,0.41,0.7,0.32,95,97,98,99,2
8,Engineering & Construction,AGX,69.26,-3.549999999999997,0.5,0.46,0.53,0.92,0.29,95,95,97,98,96
9,Software - Infrastructure,NN,68.93,16.830000000000005,0.79,0.57,0.31,0.38,0.5,94,92,84,73,94
10,Pollution & Treatment Controls,PCT,62.21,21.28,0.63,0.44,0.27,0.65,0.54,93,85,95,88,83
11,Oil & Gas Equipment & Services,NEXT,60.11,4.579999999999998,0.5,0.41,0.48,0.49,0.51,92,92,94,84,88
12,Auto Parts,DAN,56.04,-3.8299999999999983,0.75,0.83,0.18,0.5,0.37,92,93,77,89,81
13,Utilities - Independent Power Producers,KEN,52.93,3.030000000000001,0.73,0.68,0.61,0.78,0.55,91,90,95,87,77
14,Silver,MAG,52.34,5.830000000000005,0.71,0.71,0.29,0.8,0.38,90,89,89,93,84
15,Biotechnology,SRRK,51.76,-8.410000000000004,0.54,0.4,0.41,0.48,0.47,89,94,96,97,99
16,Biotechnology,TARS,48.53,-2.0,0.81,0.91,0.47,0.63,0.3,89,91,56,75,80
17,Electrical Equipment & Parts,POWL,47.69,11.589999999999996,0.51,0.6,0.58,0.31,0.21,88,82,70,44,21
18,Software - Application,SPNS,47.03,-0.21000000000000085,0.99,0.97,0.26,0.56,0.63,87,89,21,41,36
19,Oil & Gas Refining & Marketing,CVI,43.66,14.459999999999997,0.75,0.64,0.21,0.55,0.47,86,79,82,71,15
20,Software - Application,NATL,41.92,-0.22999999999999687,0.72,0.79,0.51,0.47,0.16,85,87,57,52,33
21,Real Estate Services,NMRK,41.62,-4.359999999999999,0.79,0.82,0.87,0.35,0.56,85,88,79,21,69
22,Auto Parts,GTX,39.58,-0.3999999999999986,0.67,0.65,0.75,0.3,0.54,84,84,92,74,64
23,Auto & Truck Dealerships,KAR,39.56,-1.9299999999999997,0.6,0.75,0.34,0.72,0.64,83,86,87,82,78
24,Engineering & Construction,MYRG,39.35,1.1000000000000014,0.54,0.46,0.5,0.45,0.37,82,82,89,86,29
25,Software - Application,BTDR,39.02,16.090000000000003,0.61,0.53,0.4,0.4,0.32,82,73,73,94,92
26,Communication Equipment,EXTR,35.83,2.8999999999999986,0.63,0.76,0.54,0.55,0.45,81,80,81,72,65
27,Drug Manufacturers - Specialty & Generic,KNSA,34.98,-4.790000000000006,0.58,0.5,0.65,0.74,0.78,80,83,85,91,47
28,Drug Manufacturers - Specialty & Generic,BHC,30.91,4.800000000000001,0.61,0.68,0.35,0.46,0.64,79,78,30,2,44
29,Credit Services,ENVA,28.58,6.77,0.84,0.76,0.25,0.34,0.16,79,72,67,66,82
