Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Software - Application,PRCH,377.15,-44.22000000000003,0.64,0.65,0.49,0.4,0.71,99,99,99,99,99
2,Biotechnology,CELC,331.75,12.610000000000014,0.59,0.66,0.94,0.68,0.35,99,99,98,41,10
3,Specialty Industrial Machinery,PSIX,176.63,-24.560000000000002,0.38,0.47,0.62,0.73,0.32,98,98,99,99,99
4,Solar,SEDG,102.72,9.829999999999998,0.74,0.65,0.47,0.5,0.57,98,96,96,32,6
5,Specialty Industrial Machinery,AMSC,100.34,2.1500000000000057,0.46,0.37,0.79,0.9,0.25,97,97,98,94,47
6,Biotechnology,ADPT,92.6,-7.859999999999999,0.63,0.66,0.28,0.63,0.61,96,98,94,98,98
7,Industrial Distribution,DXPE,71.18,-0.6499999999999915,0.62,0.59,0.75,0.18,0.28,95,94,94,87,95
8,Tobacco,TPB,63.47,1.9699999999999989,0.57,0.81,0.67,0.66,0.37,94,92,93,96,97
9,Farm Products,VITL,61.9,0.10000000000000142,0.74,0.95,0.38,0.33,0.37,94,93,34,39,71
10,Medical Devices,ATEC,61.59,-7.420000000000002,0.62,0.6,0.76,0.48,0.59,93,94,91,91,87
11,Specialty Retail,EYE,60.02,-21.109999999999992,0.51,0.44,0.37,0.76,0.53,92,95,97,98,49
12,Metal Fabrication,CMPO,55.35,-5.490000000000002,0.6,0.82,0.43,0.75,0.46,91,91,88,95,96
13,Drug Manufacturers - Specialty & Generic,ANIP,54.53,-3.1899999999999977,0.78,0.89,0.46,0.49,0.5,91,91,40,57,54
14,Biotechnology,OCUL,53.65,-3.4200000000000017,0.43,0.48,0.63,0.71,0.46,90,90,89,75,34
15,Farm & Heavy Construction Machinery,BLBD,49.54,9.299999999999997,0.64,0.79,0.5,0.4,0.41,89,84,57,35,20
16,Specialty Industrial Machinery,HLIO,49.4,5.600000000000001,0.69,0.75,0.56,0.42,0.35,88,87,38,10,21
17,Gold,FSM,48.15,0.46999999999999886,0.73,0.59,0.45,0.79,0.3,87,89,76,94,70
18,Auto Parts,ADNT,47.03,2.9200000000000017,0.72,0.7,0.33,0.48,0.31,87,87,85,21,5
19,Banks - Regional,LC,46.65,4.969999999999999,0.76,0.57,0.75,0.34,0.38,86,85,86,28,76
20,Oil & Gas Equipment & Services,SEI,44.82,10.410000000000004,0.56,0.39,0.44,0.73,0.53,85,80,95,97,98
21,"Furnishings, Fixtures & Appliances",SCS,43.07,5.020000000000003,0.71,0.62,0.42,0.45,0.39,84,83,27,20,29
22,Education & Training Services,COUR,38.47,-0.7899999999999991,0.47,0.35,0.83,0.5,0.44,83,83,91,81,36
23,Specialty Chemicals,NGVT,37.9,6.459999999999997,0.77,0.76,0.18,0.43,0.56,83,78,56,31,66
24,Banks - Regional,CUBI,37.62,5.43,0.85,0.7,0.43,0.36,0.25,82,80,75,58,58
25,Information Technology Services,FORTY,37.12,-7.640000000000001,0.65,0.62,0.29,0.74,0.4,81,88,90,91,80
26,Asset Management,WT,37.08,5.009999999999998,0.58,0.57,0.43,0.5,0.21,80,79,83,47,35
27,Semiconductor Equipment & Materials,ACMR,36.93,1.5499999999999972,0.66,0.47,0.53,0.38,0.6,80,82,92,72,94
28,Specialty Retail,SVV,35.64,13.98,0.67,0.48,0.63,0.62,0.13,79,70,58,88,4
29,Software - Application,DBD,33.8,-8.61,0.58,0.79,0.16,0.54,0.36,78,86,77,74,69
30,Specialty Business Services,LZ,32.72,-1.8100000000000023,0.5,0.77,0.4,0.43,0.67,77,81,74,69,87
31,Health Information Services,PHR,32.08,2.849999999999998,0.72,0.71,0.41,0.48,0.33,76,76,63,76,86
32,Internet Content & Information,JOYY,30.57,5.080000000000002,0.64,0.67,0.26,0.72,0.61,76,75,87,87,94
33,Internet Content & Information,WB,29.65,3.09,0.71,0.74,0.45,0.62,0.52,75,76,65,51,88
34,Packaged Foods,KLG,29.07,-0.6400000000000006,0.34,0.35,0.53,0.32,0.62,74,77,87,24,72
35,Auto Parts,PHIN,25.23,0.5199999999999996,0.82,0.89,0.52,0.36,0.39,73,74,66,29,57
36,Electronic Components,KN,25.16,1.4699999999999989,0.67,0.64,0.66,0.38,0.2,72,73,70,43,40
37,Leisure,OSW,24.41,0.7600000000000016,0.65,0.5,0.55,0.45,0.28,72,72,78,72,83
38,Medical Care Facilities,BKD,24.35,0.8399999999999999,0.66,0.43,0.36,0.39,0.79,71,72,82,66,57
39,Travel Services,TRIP,23.36,3.4399999999999977,0.46,0.56,0.29,0.32,0.11,70,68,60,43,27
40,Health Information Services,PINC,23.07,1.4699999999999989,0.7,0.78,0.5,0.55,0.41,69,69,51,85,25
41,Banks - Regional,NIC,21.68,1.2899999999999991,0.7,0.67,0.43,0.4,0.44,69,69,72,83,89
42,Grocery Stores,GO,21.04,3.1899999999999977,0.48,0.8,0.47,0.54,0.18,68,67,18,30,2
43,Specialty Chemicals,CC,18.02,9.11,0.76,0.66,0.32,0.3,0.28,67,56,7,2,7
44,Oil & Gas Midstream,INSW,17.39,7.18,0.7,0.56,0.56,0.41,0.23,66,58,43,28,13
45,Aerospace & Defense,VVX,17.21,5.050000000000001,0.62,0.54,0.41,0.26,0.49,65,61,28,27,50
46,Biotechnology,CNTA,16.73,-6.289999999999999,0.52,0.46,0.67,0.62,0.44,65,71,81,46,93
47,Biotechnology,IRON,15.09,-2.2699999999999996,0.56,0.45,0.56,0.54,0.67,64,65,80,40,72
48,Aluminum,CSTM,14.72,0.7800000000000011,0.67,0.57,0.42,0.55,0.64,63,63,68,37,9
49,Electrical Equipment & Parts,ENVX,14.69,-2.6800000000000015,0.29,0.34,0.26,0.5,0.28,62,66,79,24,39
50,Utilities - Regulated Gas,CTRI,14.49,9.75,0.62,0.31,0.53,0.58,0.21,61,47,69,80,61
51,Banks - Diversified,NTB,13.22,-0.3699999999999992,0.52,0.45,0.36,0.53,0.2,61,62,73,83,75
52,Insurance - Reinsurance,SPNT,12.09,0.5,0.57,0.5,0.66,0.49,0.68,60,60,84,93,74
53,Medical Instruments & Supplies,ATRC,12.08,-3.7300000000000004,0.62,0.52,0.62,0.69,0.33,59,64,76,79,90
54,Beverages - Non-Alcoholic,AKO-B,11.81,-1.25,0.55,0.59,0.51,0.41,0.61,58,61,64,90,84
55,Software - Infrastructure,EVCM,11.6,1.0899999999999999,0.72,0.67,0.39,0.3,0.24,57,59,35,50,48
56,Biotechnology,GLPG,11.56,-5.369999999999999,0.5,0.37,0.63,0.69,0.67,57,65,83,64,43
57,Beverages - Non-Alcoholic,COCO,10.94,9.73,0.65,0.61,0.25,0.63,0.23,56,39,62,77,80
58,Banks - Regional,EFSC,10.88,1.2400000000000002,0.83,0.76,0.26,0.36,0.26,55,57,43,60,85
59,Software - Infrastructure,AVDX,9.78,3.4699999999999998,0.83,0.67,0.67,0.66,0.17,54,51,67,78,9
60,Leisure,MSGE,9.38,3.1900000000000004,0.58,0.57,0.27,0.45,0.13,54,50,49,63,38
61,Oil & Gas Midstream,TRMD,9.24,9.89,0.76,0.58,0.57,0.42,0.19,53,29,24,9,6
62,Oil & Gas Midstream,DHT,9.23,5.0600000000000005,0.63,0.46,0.51,0.53,0.27,52,44,50,71,65
63,Software - Infrastructure,CSGS,9.0,1.2800000000000002,0.57,0.57,0.41,0.4,0.59,51,54,69,84,92
64,Insurance - Property & Casualty,STC,8.62,-0.3800000000000008,0.69,0.72,0.68,0.3,0.66,50,57,39,25,69
65,Oil & Gas Integrated,TGS,7.93,6.83,0.4,0.33,0.69,0.4,0.45,50,37,80,86,91
66,Medical Instruments & Supplies,LMAT,7.66,0.15000000000000036,0.59,0.75,0.37,0.49,0.36,49,53,35,34,65
67,Security & Protection Services,CXW,7.22,-1.6700000000000008,0.51,0.55,0.26,0.54,0.41,48,55,61,89,78
68,Banks - Regional,CHCO,6.54,-0.7699999999999996,0.74,0.68,0.41,0.4,0.38,47,52,52,61,55
69,Biotechnology,HRMY,6.41,-1.7400000000000002,0.65,0.7,0.48,0.56,0.38,46,54,47,68,67
70,Biotechnology,BLTE,6.31,0.8799999999999999,0.36,0.44,0.59,0.58,0.72,46,50,65,82,81
71,Insurance - Property & Casualty,TRUP,5.28,2.16,0.28,0.36,0.29,0.65,0.26,45,43,54,92,39
72,Packaging & Containers,OI,4.97,-0.20999999999999996,0.51,0.54,0.24,0.37,0.52,44,49,48,67,42
73,Banks - Regional,CASH,4.9,0.4500000000000002,0.73,0.64,0.13,0.31,0.29,43,45,41,80,82
74,REIT - Mortgage,ABR,4.19,3.0100000000000007,0.53,0.49,0.48,0.33,0.33,43,38,28,11,45
75,Banks - Regional,OFG,3.67,-0.9500000000000002,0.74,0.63,0.32,0.38,0.29,42,46,42,52,56
76,Banks - Regional,BANR,3.64,-1.27,0.68,0.64,0.17,0.32,0.36,41,48,36,61,83
77,Software - Application,CXM,3.57,0.48999999999999977,0.66,0.45,0.47,0.52,0.32,40,43,55,42,41
78,Oil & Gas Midstream,GLP,3.02,1.92,0.81,0.52,0.51,0.74,0.45,39,37,59,65,79
79,Packaged Foods,CENTA,2.45,1.2000000000000002,0.66,0.37,0.39,0.45,0.41,39,40,71,36,43
80,REIT - Retail,IVT,2.14,0.5100000000000002,0.85,0.73,0.45,0.42,0.33,38,41,33,44,73
81,Banks - Regional,BUSE,1.95,2.53,0.8,0.7,0.2,0.52,0.26,37,30,32,38,44
82,Medical Care Facilities,ADUS,1.62,0.44000000000000017,0.57,0.5,0.32,0.57,0.18,36,38,29,59,28
83,Oil & Gas E&P,BKV,0.0,0.0,0.83,0.73,0.26,0.51,0.18,34,32,45,54,61
84,Broadcasting,NMAX,0.0,0.0,0.66,0.67,0.34,0.34,,34,32,45,54,61
85,Specialty Business Services,TIC,0.0,0.0,0.87,0.52,0.32,0.49,0.55,34,32,45,54,61
86,Restaurants,CHA,0.0,0.0,0.35,0.64,0.17,0.62,,34,32,45,54,61
87,Software - Infrastructure,EVTC,-0.16,-4.7700000000000005,0.51,0.62,0.53,0.49,0.72,32,46,54,57,76
88,Grocery Stores,WMK,-1.08,-3.06,0.54,0.66,0.37,0.48,0.62,31,42,37,65,77
89,Building Products & Equipment,ROCK,-1.12,-1.6300000000000001,0.63,0.51,0.54,0.36,0.72,31,35,53,22,46
90,Packaged Foods,CENT,-1.19,0.71,0.66,0.37,0.39,0.45,0.35,30,28,61,33,35
91,Biotechnology,AGIO,-1.61,-2.09,0.62,0.54,0.29,0.82,0.56,29,34,39,20,14
92,Insurance - Diversified,FIHL,-2.25,-2.96,0.58,0.66,0.25,0.54,0.37,28,35,25,62,26
93,Beverages - Brewers,CCU,-2.27,0.9899999999999998,0.54,0.53,0.29,0.18,0.82,28,27,31,70,91
94,Asset Management,DBRG,-2.4,0.16999999999999993,0.64,0.66,0.41,0.68,0.54,27,28,31,31,17
95,Apparel Retail,AEO,-2.88,7.170000000000001,0.53,0.55,0.57,0.25,0.23,26,19,9,6,3
96,REIT - Hotel & Motel,PK,-2.98,1.8299999999999996,0.77,0.72,0.31,0.29,0.3,25,25,22,13,15
97,Software - Application,PLUS,-3.21,0.18000000000000016,0.59,0.72,0.26,0.69,0.34,24,26,19,46,20
98,Oil & Gas Drilling,HP,-4.88,9.7,0.82,0.8,0.44,0.33,0.42,24,13,1,3,12
99,Software - Infrastructure,APPN,-4.98,5.58,0.7,0.58,0.4,0.4,0.44,23,17,20,49,51
100,Biotechnology,FOLD,-5.17,2.0700000000000003,0.79,0.64,0.52,0.57,0.42,22,23,10,5,31
101,Biotechnology,APGE,-5.22,0.5100000000000007,0.57,0.45,0.45,0.36,0.32,21,24,23,39,8
102,Integrated Freight & Logistics,HUBG,-5.25,3.0,0.65,0.58,0.42,0.4,0.3,20,21,24,16,30
103,Utilities - Renewable,XIFR,-5.61,3.9799999999999995,0.68,0.69,0.54,0.32,0.49,20,20,16,6,1
104,Apparel Retail,VSCO,-5.84,9.42,0.64,0.64,0.49,0.35,0.08,19,12,21,19,16
105,Software - Infrastructure,RAMP,-5.85,1.0200000000000005,0.7,0.3,0.43,0.62,0.17,18,24,72,76,54
106,"Furnishings, Fixtures & Appliances",HNI,-8.88,1.6199999999999992,0.62,0.52,0.41,0.42,0.34,17,18,57,45,37
107,Packaged Foods,UTZ,-8.98,-0.4400000000000013,0.71,0.52,0.46,0.66,0.51,17,20,50,23,19
108,Auto & Truck Dealerships,CWH,-9.59,-1.5399999999999991,0.71,0.74,0.26,0.58,0.12,16,22,13,26,18
109,Specialty Chemicals,IOSP,-10.81,2.959999999999999,0.72,0.67,0.22,0.38,0.29,15,15,9,15,23
110,Education & Training Services,STRA,-11.41,1.1099999999999994,0.79,0.75,0.31,0.61,0.21,14,16,20,48,22
111,Internet Content & Information,YELP,-11.77,-0.9100000000000001,0.6,0.43,0.34,0.29,0.2,13,17,30,69,46
112,Software - Infrastructure,FIVN,-13.62,3.51,0.64,0.54,0.41,0.47,0.27,13,9,14,13,24
113,Textile Manufacturing,AIN,-14.83,0.2699999999999996,0.57,0.66,0.25,0.43,0.36,12,13,13,18,28
114,Medical Care Facilities,PACS,-14.84,1.9600000000000009,0.56,0.57,0.21,0.37,0.37,11,10,6,2,61
115,Semiconductor Equipment & Materials,FORM,-15.97,3.67,0.57,0.5,0.25,0.44,0.34,10,8,12,17,11
116,Packaged Foods,JJSF,-17.9,-3.4499999999999993,0.56,0.47,0.46,0.46,0.64,9,14,17,14,24
117,Staffing & Employment Services,MAN,-18.28,-2.710000000000001,0.6,0.73,0.37,0.35,0.66,9,11,8,4,33
118,Medical Care Facilities,ARDT,-18.71,-0.7600000000000016,0.62,0.79,0.14,0.51,0.57,8,9,6,54,61
119,Medical Devices,QDEL,-19.5,4.190000000000001,0.74,0.68,0.22,0.29,0.49,7,6,4,12,50
120,Biotechnology,DYN,-20.39,1.5899999999999999,0.79,0.78,0.61,0.63,0.3,6,7,2,7,1
121,Biotechnology,VCEL,-23.15,1.620000000000001,0.54,0.45,0.4,0.41,0.37,6,5,15,17,68
122,Software - Infrastructure,PRGS,-23.61,0.370000000000001,0.63,0.58,0.38,0.53,0.45,5,6,11,73,52
123,Medical Care Facilities,ACHC,-24.85,9.82,0.8,0.52,0.32,0.26,0.22,4,2,3,1,2
124,Restaurants,WEN,-24.95,-0.019999999999999574,0.57,0.63,0.37,0.42,0.58,3,4,5,8,32
125,Staffing & Employment Services,NSP,-26.56,-0.36999999999999744,0.67,0.63,0.23,0.28,0.54,2,3,2,9,53
126,Auto & Truck Dealerships,ACVA,-32.77,2.1599999999999966,0.34,0.29,0.12,0.41,0.07,2,1,17,35,17
127,Software - Infrastructure,AI,-33.55,0.15000000000000568,0.53,0.25,0.28,0.56,0.11,1,2,26,50,13
128,Biotechnology,SRPT,-71.7,0.269999999999996,0.51,0.56,0.42,0.6,0.47,1,1,1,1,31
