Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Medical Devices,SSII,387.9,350.51,0.62,0.55,0.59,0.19,0.28,99,84,58,66,68
2,Biotechnology,CDTX,239.82,-10.430000000000007,0.58,0.57,0.63,0.64,0.5,99,99,99,92,94
3,Coking Coal,METC,163.11,24.210000000000008,0.58,0.54,0.49,0.43,0.34,98,98,95,35,10
4,Engineering & Construction,WLDN,160.22,-16.590000000000003,0.47,0.68,0.76,0.93,0.23,98,99,99,97,55
5,Semiconductors,LASR,145.69,10.930000000000007,0.61,0.74,0.64,0.75,0.33,97,98,98,95,21
6,Security & Protection Services,EVLV,99.49,-18.58,0.71,0.76,0.77,0.65,0.26,96,97,98,96,60
7,Other Industrial Metals & Mining,IPX,98.71,-0.1700000000000017,0.68,0.62,0.68,0.6,0.3,95,96,96,82,80
8,Electronic Components,BELFB,83.23,-2.8499999999999943,0.6,0.59,0.73,0.28,0.47,95,95,95,59,85
9,Gold,ARMN,80.36,28.33,0.78,0.42,0.47,0.76,0.43,94,91,92,98,79
10,Biotechnology,COGT,69.11,-11.489999999999995,0.65,0.56,0.55,0.67,0.44,93,95,90,8,37
11,Solar,DQ,67.39,20.230000000000004,0.7,0.68,0.52,0.31,0.43,92,89,84,15,62
12,Pollution & Treatment Controls,CECO,65.67,-6.219999999999999,0.54,0.57,0.95,0.62,0.44,92,94,94,73,46
13,Packaging & Containers,TRS,56.84,4.0,0.84,0.7,0.78,0.7,0.43,91,92,87,76,43
14,Communication Equipment,AAOI,55.85,14.340000000000003,0.58,0.57,0.15,0.32,0.32,90,85,91,76,78
15,Biotechnology,AUPH,54.11,-1.6199999999999974,0.64,0.6,0.72,0.56,0.67,89,92,88,77,89
16,Banks - Regional,CCB,48.25,-1.740000000000002,0.78,0.8,0.33,0.58,0.55,89,90,85,92,95
17,Software - Application,OLO,48.01,2.539999999999999,0.64,0.27,0.76,0.25,0.42,88,88,93,94,84
18,Gold,AAUC,48.0,6.32,0.85,0.5,0.44,0.81,0.47,87,86,58,66,68
19,Lodging,SHCO,47.88,4.670000000000002,0.91,0.88,0.27,0.52,0.13,86,87,71,79,88
20,Drug Manufacturers - Specialty & Generic,AVDL,47.65,-0.17999999999999972,0.73,0.83,0.67,0.57,0.29,85,89,73,43,2
21,Solar,ARRY,42.53,3.3100000000000023,0.8,0.81,0.28,0.32,0.32,85,85,46,72,6
22,Biotechnology,MESO,39.7,-16.439999999999998,0.43,0.51,0.7,0.26,0.25,84,93,89,75,99
23,REIT - Office,PGRE,39.19,8.54,0.73,0.64,0.22,0.89,0.31,83,80,82,90,50
24,Asset Management,SII,38.53,2.3599999999999994,0.44,0.34,0.29,0.82,0.45,82,83,89,93,74
25,Industrial Distribution,GIC,37.9,1.9799999999999969,0.71,0.67,0.75,0.52,0.43,82,82,79,60,11
26,Leisure,MODG,36.05,5.709999999999997,0.7,0.57,0.39,0.44,0.3,81,79,43,18,2
27,Oil & Gas Midstream,LPG,35.23,6.259999999999998,0.67,0.59,0.42,0.37,0.23,80,78,65,27,5
28,Gold,SA,31.45,8.689999999999998,0.61,0.48,0.45,0.71,0.31,79,75,75,56,20
29,Telecom Services,LILAK,31.16,1.0800000000000018,0.74,0.75,0.71,0.55,0.33,79,79,70,9,39
30,"Furnishings, Fixtures & Appliances",TILE,31.12,-0.0799999999999983,0.64,0.59,0.71,0.41,0.29,78,81,83,73,60
31,Medical Care Facilities,MD,29.13,3.1899999999999977,0.88,0.87,0.29,0.44,0.52,77,76,63,85,91
32,Biotechnology,WVE,27.84,-8.239999999999998,0.71,0.65,0.62,0.53,0.46,76,82,47,22,92
33,Telecom Services,GOGO,27.51,-1.129999999999999,0.35,0.2,0.46,0.39,0.4,76,77,97,91,31
34,Building Products & Equipment,JBI,25.93,0.5599999999999987,0.6,0.72,0.41,0.4,0.49,75,76,66,37,30
