Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Health Information Services,CTEV,390.55,-52.289999999999964,0.61,0.82,0.25,0.8,0.34,99,99,99,99,95
2,Internet Retail,JMIA,159.52,24.710000000000008,0.72,0.8,0.56,0.45,0.18,99,99,82,35,2
3,Gold,CNL,143.67,29.749999999999986,0.86,0.73,0.32,0.82,0.63,98,98,98,98,97
4,Software - Application,ALTS,104.72,36.28,0.57,0.5,0.39,0.76,0.44,98,96,98,99,99
5,Biotechnology,STOK,95.52,6.739999999999995,0.89,0.88,0.56,0.74,0.28,97,98,78,65,12
6,Internet Content & Information,GRPN,78.59,-3.969999999999999,0.15,0.39,0.28,0.8,0.39,96,97,99,98,25
7,Software - Application,YALA,62.88,2.8800000000000026,0.21,0.19,0.49,0.3,0.36,95,94,93,94,30
8,Aerospace & Defense,ATRO,62.06,0.6099999999999994,0.69,0.52,0.41,0.68,0.9,95,95,96,92,93
9,Information Technology Services,MGIC,57.58,-2.4299999999999997,0.57,0.54,0.47,0.62,0.35,94,95,97,92,72
10,Biotechnology,CRMD,57.23,7.299999999999997,0.99,0.65,0.56,0.66,0.51,93,93,92,95,96
11,Waste Management,MEG,46.22,3.789999999999999,0.81,0.79,0.34,0.7,0.54,92,91,58,27,14
12,Mortgage Finance,GHLD,45.28,4.960000000000001,0.41,0.52,0.7,0.53,0.63,92,88,94,46,37
13,Biotechnology,LENZ,45.13,-4.529999999999994,0.5,0.69,0.32,0.55,0.37,91,92,70,91,43
14,Credit Services,ATLC,43.6,1.9200000000000017,0.78,0.88,0.22,0.25,0.26,90,89,61,87,92
15,Restaurants,BH,41.42,4.520000000000003,0.65,0.57,0.53,0.64,0.42,89,88,92,86,87
16,Oil & Gas Equipment & Services,EFXT,40.85,6.490000000000002,0.73,0.79,0.42,0.57,0.15,88,86,78,80,79
17,Software - Infrastructure,GCT,40.41,-2.3800000000000026,0.34,0.67,0.53,0.53,0.27,88,92,75,32,4
18,Software - Infrastructure,YEXT,39.65,-2.5500000000000043,0.76,0.7,0.42,0.52,0.42,87,90,82,81,68
19,Insurance - Property & Casualty,PRA,34.84,-0.45999999999999375,0.4,0.52,0.32,0.7,0.61,86,87,91,93,72
20,Software - Infrastructure,IIIV,32.75,5.120000000000001,0.5,0.66,0.49,0.5,0.22,85,81,77,74,80
21,Software - Infrastructure,BASE,31.82,-1.5,0.62,0.58,0.39,0.55,0.39,85,85,90,50,19
22,Drug Manufacturers - Specialty & Generic,PCRX,31.47,5.890000000000001,0.67,0.75,0.41,0.76,0.26,84,78,47,88,85
23,Credit Services,EZPW,29.89,2.9800000000000004,0.72,0.77,0.47,0.34,0.39,83,80,71,77,88
24,Information Technology Services,PENG,29.67,-0.7299999999999969,0.56,0.61,0.28,0.48,0.39,82,84,84,58,46
25,Medical Care Facilities,HCSG,29.13,-0.5899999999999999,0.71,0.72,0.47,0.41,0.44,82,83,67,89,32
26,Internet Content & Information,MOMO,28.84,3.34,0.62,0.65,0.27,0.33,0.49,81,77,85,38,89
27,Drug Manufacturers - Specialty & Generic,COLL,26.04,-0.8300000000000018,0.67,0.77,0.31,0.45,0.32,80,79,42,45,22
28,Farm & Heavy Construction Machinery,ASTE,25.94,-3.4800000000000004,0.66,0.68,0.39,0.32,0.59,79,82,68,82,51
29,Packaged Foods,HLF,22.75,5.300000000000001,0.59,0.5,0.43,0.69,0.8,78,72,87,40,64
30,Apparel Manufacturing,GOOS,22.51,16.57,0.68,0.6,0.3,0.73,0.5,78,57,80,75,28
31,Building Products & Equipment,LMB,22.4,-4.18,0.55,0.35,0.32,0.67,0.33,77,78,95,97,82
32,Banks - Regional,BFC,22.02,-1.5100000000000016,0.79,0.72,0.4,0.52,0.53,76,76,79,85,78
33,Solar,JKS,21.8,1.5199999999999996,0.57,0.69,0.27,0.4,0.59,75,74,69,20,49
