Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Electrical Equipment & Parts,AMPX,273.41,-20.0,0.41,0.41,0.46,0.42,0.17,99,99,99,94,84
2,Software - Infrastructure,AEVA,181.59,-8.710000000000008,0.57,0.46,0.27,0.69,0.24,99,99,99,99,32
3,Telecom Services,SIFY,163.3,-2.4299999999999784,0.63,0.72,0.81,0.73,0.61,98,97,97,92,68
4,Biotechnology,URGN,161.5,-23.620000000000005,0.59,0.37,0.81,0.21,0.47,98,98,94,1,19
5,Biotechnology,AMLX,160.28,23.610000000000014,0.67,0.54,0.37,0.62,0.46,97,96,98,96,42
6,Semiconductor Equipment & Materials,AEHR,136.23,7.1699999999999875,0.67,0.68,0.6,0.63,0.44,96,95,92,35,16
7,Chemicals,ASPI,109.72,1.8299999999999983,0.46,0.5,0.56,0.63,0.37,95,94,96,97,80
8,Biotechnology,RIGL,101.19,-20.680000000000007,0.67,0.89,0.69,0.63,0.47,95,95,88,86,88
9,Software - Application,VERB,80.44,-109.37,0.46,0.54,0.57,0.65,0.44,94,98,82,42,1
10,Biotechnology,TRVI,79.58,-5.219999999999999,0.49,0.46,0.57,0.39,0.58,93,92,95,95,95
11,Engineering & Construction,BWMN,78.59,12.430000000000007,0.78,0.77,0.62,0.48,0.27,92,92,88,67,15
12,Aerospace & Defense,RCAT,71.58,-17.35000000000001,0.45,0.51,0.37,0.57,0.07,92,93,98,99,99
13,Biotechnology,DNA,70.38,9.039999999999992,0.54,0.38,0.62,0.42,0.28,91,89,86,25,17
14,Luxury Goods,REAL,69.09,4.960000000000008,0.64,0.68,0.5,0.53,0.27,90,91,63,88,95
15,Specialty Retail,BBW,56.51,5.729999999999997,0.64,0.61,0.42,0.66,0.67,89,88,89,92,89
16,Specialty Chemicals,MATV,55.83,3.289999999999999,0.91,0.91,0.29,0.53,0.26,88,88,11,5,1
17,Biotechnology,NAGE,54.6,-7.839999999999996,0.51,0.65,0.26,0.72,0.81,88,90,95,98,99
18,Credit Services,GDOT,52.29,12.490000000000002,0.77,0.75,0.34,0.37,0.23,87,80,64,72,18
19,Biotechnology,VALN,48.78,-0.8299999999999983,0.52,0.57,0.69,0.43,0.38,86,87,69,45,88
20,Oil & Gas Midstream,PBT,48.66,2.319999999999993,0.54,0.65,0.62,0.68,0.32,85,86,82,54,28
21,Other Industrial Metals & Mining,CMP,46.23,4.339999999999996,0.27,0.44,0.25,0.44,0.28,85,84,93,95,20
22,Electrical Equipment & Parts,PLPC,44.92,1.9200000000000017,0.72,0.82,0.32,0.48,0.22,84,85,65,75,38
23,Packaged Foods,SENEA,43.48,3.3599999999999994,0.82,0.86,0.52,0.65,0.78,83,82,90,91,90
24,Oil & Gas Equipment & Services,NPKI,38.74,1.990000000000002,0.75,0.83,0.55,0.39,0.2,82,78,75,82,13
