Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Software - Infrastructure,ATGL,322.32,64.99000000000001,0.72,0.64,0.35,0.65,0.51,99,99,98,99,99
2,Biotechnology,PVLA,168.18,11.719999999999999,0.7,0.8,0.74,0.56,0.71,99,99,97,95,96
3,Auto Parts,CPS,121.5,23.159999999999997,0.93,0.92,0.62,0.28,0.49,98,97,93,94,48
4,Household & Personal Products,YSG,118.15,-6.969999999999999,0.56,0.67,0.41,0.69,0.64,98,98,99,95,78
5,Biotechnology,NKTR,118.11,2.4000000000000057,0.84,0.71,0.44,0.55,0.58,97,98,95,13,18
6,Medical Care Facilities,NUTX,78.75,-17.5,0.45,0.49,0.23,0.62,0.37,96,96,99,99,99
7,Communication Equipment,GILT,70.92,5.049999999999997,0.58,0.73,0.49,0.39,0.57,95,93,88,75,94
8,Drug Manufacturers - Specialty & Generic,ETON,62.85,-9.119999999999997,0.53,0.7,0.46,0.51,0.38,95,95,94,98,98
9,Aerospace & Defense,TATT,62.07,7.890000000000001,0.49,0.5,0.71,0.26,0.4,94,91,92,93,95
10,Biotechnology,RZLT,62.03,-5.459999999999994,0.88,0.8,0.62,0.74,0.31,93,94,89,73,76
11,Medical Devices,ZIMV,59.93,-5.559999999999995,0.58,0.64,0.94,0.57,0.61,92,92,92,5,28
12,Specialty Business Services,BKSY,59.0,2.460000000000001,0.52,0.4,0.33,0.44,0.39,92,92,98,78,90
13,Biotechnology,RAPP,57.59,47.480000000000004,0.69,0.52,0.47,0.62,0.29,91,69,38,64,55
14,Software - Application,DOMO,53.09,7.170000000000002,0.52,0.28,0.78,0.88,0.25,90,89,96,98,33
15,Packaged Foods,OTLY,52.83,-14.739999999999995,0.58,0.61,0.75,0.58,0.55,89,95,82,30,5
16,Household & Personal Products,NUS,49.88,-0.5999999999999943,0.73,0.82,0.44,0.59,0.74,89,90,83,40,30
17,Other Precious Metals & Mining,MUX,41.85,8.719999999999999,0.65,0.53,0.35,0.86,0.38,88,85,84,79,24
18,Software - Infrastructure,BLZE,40.46,8.670000000000002,0.7,0.83,0.39,0.63,0.28,87,84,34,49,31
19,Packaging & Containers,MYE,40.02,5.6200000000000045,0.65,0.6,0.45,0.62,0.21,86,87,85,84,12
20,Semiconductors,SKYT,38.86,11.48,0.36,0.62,0.38,0.57,0.45,85,82,70,81,47
21,Internet Retail,BBBY,36.76,3.6299999999999955,0.56,0.6,0.53,0.63,0.23,85,85,89,31,6
22,Specialty Industrial Machinery,GHM,35.91,2.529999999999994,0.52,0.57,0.72,0.67,0.29,84,86,95,92,62
23,Biotechnology,MGTX,34.38,-9.21,0.38,0.47,0.14,0.57,0.53,83,89,86,60,88
24,Drug Manufacturers - Specialty & Generic,SIGA,28.42,-7.039999999999999,0.32,0.7,0.4,0.59,0.28,82,88,60,44,23
25,Banks - Regional,TCBX,27.87,-0.28999999999999915,0.76,0.71,0.47,0.42,0.23,82,83,85,82,91
26,Banks - Regional,GNTY,27.8,1.4000000000000021,0.77,0.71,0.32,0.45,0.42,81,81,79,86,87
