Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Consumer Electronics,ZEPP,1619.49,247.48000000000002,0.71,0.75,0.61,0.35,0.37,99,99,99,16,20
2,Software - Infrastructure,DFDV,1596.9,24.170000000000073,0.52,0.53,0.27,0.55,0.24,99,99,99,99,18
3,Electronic Components,NEON,178.64,-62.73000000000002,0.51,0.66,0.39,0.43,0.25,98,98,98,92,98
4,Health Information Services,OPRX,149.4,13.730000000000018,0.63,0.69,0.49,0.65,0.42,98,96,92,94,8
5,Electrical Equipment & Parts,LTBR,148.49,9.100000000000023,0.58,0.55,0.45,0.65,0.31,97,97,95,98,98
6,Software - Infrastructure,ARQQ,114.7,-30.88000000000001,0.41,0.3,0.4,0.69,0.26,96,98,97,93,68
7,Biotechnology,INBX,105.47,14.409999999999997,0.83,0.75,0.43,0.68,0.65,95,95,91,27,53
8,Software - Application,AZ,101.2,-1.759999999999991,0.36,0.45,0.25,0.5,0.56,95,95,96,99,99
9,Pollution & Treatment Controls,ADUR,83.95,4.920000000000002,0.45,0.49,0.36,0.76,0.42,94,92,59,53,53
10,Marine Shipping,ESEA,82.68,1.5700000000000074,0.79,0.72,0.69,0.51,0.41,93,92,93,88,18
11,Mortgage Finance,BETR,73.95,27.810000000000002,0.82,0.7,0.48,0.34,0.37,92,85,27,20,11
12,Credit Services,XYF,71.09,-13.590000000000003,0.61,0.64,0.16,0.73,0.71,92,94,94,96,97
13,Oil & Gas Equipment & Services,FET,66.06,7.8700000000000045,0.86,0.83,0.37,0.37,0.49,91,90,83,22,75
14,Internet Content & Information,JFIN,57.21,-14.020000000000003,0.51,0.61,0.14,0.64,0.49,90,91,92,95,96
15,Information Technology Services,TSSI,51.94,-32.44,0.24,0.07,0.65,0.68,0.26,89,93,98,98,99
16,Oil & Gas Equipment & Services,FTK,51.86,-6.189999999999998,0.34,0.54,0.21,0.54,0.26,88,89,95,95,95
17,Auto & Truck Dealerships,KFS,50.03,3.719999999999999,0.63,0.49,0.34,0.87,0.43,88,86,90,92,22
18,Real Estate Services,TCI,49.59,-2.219999999999999,0.65,0.71,0.31,0.54,0.58,87,88,89,87,31
19,Credit Services,RM,49.51,9.57,0.84,0.82,0.51,0.25,0.3,86,85,79,19,87
20,Internet Content & Information,UPXI,46.91,-1.470000000000006,0.6,0.66,0.41,0.54,0.33,85,88,3,97,1
21,Airports & Air Services,ASLE,46.58,-1.480000000000004,0.53,0.91,0.52,0.45,0.43,85,87,26,28,82
22,Pollution & Treatment Controls,ARQ,35.84,4.890000000000004,0.72,0.71,0.23,0.72,0.23,84,83,42,18,19
23,Aerospace & Defense,PKE,34.75,-0.8200000000000003,0.6,0.59,0.61,0.54,0.2,83,84,88,38,27
24,Engineering & Construction,MTRX,28.46,3.400000000000002,0.56,0.56,0.55,0.39,0.17,82,82,86,78,71
25,Mortgage Finance,ONIT,26.29,1.0199999999999996,0.62,0.61,0.48,0.47,0.13,82,82,81,88,84
26,Apparel Retail,GCO,19.08,12.559999999999999,0.76,0.67,0.53,0.41,0.28,81,67,28,6,68
27,Scientific & Technical Instruments,VPG,17.42,4.120000000000001,0.65,0.62,0.36,0.47,0.42,80,73,42,78,15
28,Banks - Regional,RRBI,17.14,-0.07000000000000028,0.65,0.71,0.23,0.48,0.33,79,78,79,79,72
29,Banks - Regional,PDLB,16.99,-0.3000000000000007,0.64,0.66,0.46,0.38,0.39,78,78,84,83,89
30,Banks - Regional,HBCP,16.92,-0.5,0.79,0.74,0.23,0.4,0.08,78,79,77,82,83
31,Semiconductors,AIP,16.34,-5.879999999999999,0.54,0.29,0.48,0.43,0.37,77,80,85,32,78
32,Consumer Electronics,TBCH,16.32,1.4900000000000002,0.51,0.65,0.6,0.5,0.35,76,75,78,11,74
33,Banks - Regional,BCML,15.25,-1.620000000000001,0.74,0.76,0.37,0.42,0.35,75,76,75,81,88
34,Banks - Regional,FRBA,13.59,0.8499999999999996,0.83,0.81,0.19,0.36,0.39,75,72,43,73,82
35,Health Information Services,SPOK,13.51,2.0999999999999996,0.44,0.37,0.62,0.44,0.49,74,70,85,72,72
36,Oil & Gas Midstream,CLCO,13.15,10.690000000000001,0.73,0.6,0.6,0.51,0.11,73,62,31,22,5
37,Banks - Regional,PCB,13.04,0.5899999999999999,0.63,0.68,0.31,0.35,0.29,72,72,76,77,77
38,Specialty Industrial Machinery,LXFR,12.99,4.9,0.72,0.73,0.41,0.35,0.24,72,69,38,31,37
39,Drug Manufacturers - Specialty & Generic,EBS,12.18,-11.66,0.53,0.84,0.28,0.59,0.15,71,81,8,33,34
40,Restaurants,NATH,12.1,-5.000000000000002,0.69,0.73,0.14,0.58,0.66,70,77,80,86,93
41,Biotechnology,BNTC,11.52,-4.559999999999999,0.69,0.79,0.25,0.71,0.65,69,75,35,91,95
42,Banks - Regional,CWBC,11.11,-0.41999999999999993,0.81,0.79,0.23,0.35,0.4,68,71,44,28,32
43,Banks - Regional,FBIZ,7.48,0.6600000000000001,0.76,0.74,0.16,0.41,0.29,68,68,41,80,90
44,Uranium,ISOU,7.23,8.17,0.66,0.68,0.37,0.61,0.25,67,28,13,29,7
45,Biotechnology,ITOS,6.22,-7.71,0.58,0.54,0.19,0.79,0.49,66,74,82,75,8
46,Banks - Regional,BSRR,5.88,0.1200000000000001,0.67,0.65,0.28,0.41,0.39,65,66,72,38,88
47,Agricultural Inputs,IPI,4.35,2.5999999999999996,0.61,0.27,0.38,0.58,0.55,65,58,82,90,75
48,Banks - Regional,FSBW,4.09,2.67,0.71,0.63,0.24,0.35,0.39,64,55,28,35,35
49,Electronic Gaming & Multimedia,GRVY,3.93,3.06,0.48,0.51,0.45,0.5,0.26,63,55,38,72,17
50,Shell Companies,HYAC,3.27,0.1299999999999999,0.61,0.5,0.79,0.33,0.64,62,65,75,74,73
51,Asset Management,FINS,3.27,1.23,0.72,0.69,0.5,0.32,0.53,62,60,46,37,80
52,Asset Management,SAR,3.27,1.81,0.58,0.57,0.39,0.62,0.51,62,57,45,68,70
53,Shell Companies,GPAT,3.26,0.1499999999999999,0.66,0.58,0.58,0.65,0.41,60,64,74,53,53
54,Banks - Regional,CIVB,3.07,3.4299999999999997,0.68,0.66,0.11,0.37,0.26,59,29,34,85,86
55,Banks - Regional,NEWT,2.58,0.5800000000000001,0.69,0.69,0.43,0.37,0.52,58,59,32,15,35
56,Shell Companies,CUB,2.49,-0.2799999999999998,0.62,0.67,0.57,0.9,0.7,58,62,59,53,53
57,Real Estate Services,SEG,2.44,-5.33,0.55,0.66,0.56,0.54,0.4,57,68,33,53,53
58,Banks - Regional,FMAO,2.32,0.8799999999999999,0.62,0.64,0.32,0.37,0.3,56,56,24,26,32
59,Software - Infrastructure,IMXI,2.28,3.87,0.28,0.89,0.25,0.47,0.23,55,27,2,5,12
60,Banks - Regional,USCB,1.85,-0.19999999999999973,0.59,0.57,0.42,0.34,0.33,55,61,39,71,92
61,Home Improvement Retail,HVT,1.11,-0.42999999999999994,0.62,0.65,0.37,0.38,0.51,54,58,24,14,16
62,Biotechnology,PRTA,0.07,-4.1,0.61,0.73,0.62,0.22,0.58,53,65,2,1,14
63,Shell Companies,BLUW,0.0,0.0,0.33,0.45,0.0,,,41,41,59,53,53
64,Health Information Services,CARL,0.0,0.0,0.52,0.67,0.13,,,41,41,59,53,53
65,Shell Companies,MBAV,0.0,0.0,0.5,0.45,0.13,0.95,0.63,41,41,59,53,53
66,Shell Companies,NPAC,0.0,0.0,0.51,0.42,0.39,,,41,41,59,53,53
67,Shell Companies,BCAR,0.0,0.0,0.17,0.0,,,,41,41,59,53,53
68,Shell Companies,WENN,0.0,0.0,0.39,0.37,0.45,,,41,41,59,53,53
69,Shell Companies,TACO,0.0,0.0,0.45,0.34,0.59,,,41,41,59,53,53
70,Shell Companies,SDHI,0.0,0.0,0.83,0.63,0.53,,,41,41,59,53,53
71,Shell Companies,DRDB,0.0,0.0,0.51,0.58,0.6,0.75,0.61,41,41,59,53,53
72,Shell Companies,RTAC,0.0,0.0,0.4,0.25,0.4,,,41,41,59,53,53
73,Beverages - Wineries & Distilleries,EPSM,0.0,0.0,0.69,0.8,0.4,0.79,,41,41,59,53,53
74,Gold,BGL,0.0,0.0,0.35,0.44,0.19,,,41,41,59,53,53
75,Shell Companies,PCAP,0.0,0.0,0.52,0.31,0.44,,,41,41,59,53,53
76,Shell Companies,CRAQ,0.0,0.0,0.42,0.62,0.69,,,41,41,59,53,53
77,Personal Services,WW,0.0,0.0,0.44,0.21,0.65,,,41,41,59,53,53
78,Shell Companies,MLAC,0.0,0.0,0.67,0.67,0.64,0.79,0.67,41,41,59,53,53
79,Shell Companies,BRR,0.0,0.0,0.42,0.35,0.34,,,41,41,59,53,53
80,Shell Companies,OYSE,0.0,0.0,0.66,0.64,0.57,,,41,41,59,53,53
81,Shell Companies,KCHV,0.0,0.0,0.5,0.38,0.53,,,41,41,59,53,53
82,Shell Companies,DMAA,0.0,0.0,0.43,0.53,0.81,0.64,0.64,41,41,59,53,53
83,Shell Companies,KFII,0.0,0.0,0.5,0.4,0.56,0.62,,41,41,59,53,53
84,Shell Companies,IPCX,0.0,0.0,0.4,0.38,0.82,,,41,41,59,53,53
85,Shell Companies,CCII,0.0,0.0,0.0,0.0,,,,41,41,59,53,53
86,Shell Companies,GIG,0.0,0.0,0.5,0.35,0.61,,0.8,41,41,59,53,53
87,Shell Companies,MBVIU,0.0,0.0,,,,,,41,41,59,53,53
88,Medical Devices,CBLL,0.0,0.0,0.46,0.23,0.2,0.53,0.55,41,41,59,53,53
89,Insurance - Property & Casualty,AII,0.0,0.0,0.68,0.57,0.55,0.35,,41,41,59,53,53
90,Shell Companies,RDAG,0.0,0.0,0.37,0.27,0.58,,,41,41,59,53,53
91,Drug Manufacturers - Specialty & Generic,ZYBT,0.0,0.0,0.67,0.6,0.39,0.49,0.49,41,41,59,53,53
92,Medical Devices,SNWV,0.0,0.0,0.48,0.64,0.5,0.36,0.73,41,41,59,53,53
93,Asset Management,NMAI,-0.42,-0.99,0.49,0.6,0.4,0.62,0.6,29,54,45,36,38
94,Software - Application,OOMA,-0.68,1.63,0.77,0.63,0.27,0.51,0.39,28,25,25,82,92
95,Medical Care Facilities,CCRN,-0.7,-3.51,0.61,0.64,0.65,0.09,0.12,28,63,23,24,91
96,Shell Companies,CCIX,-0.85,-0.29999999999999993,0.55,0.39,0.56,0.5,0.57,27,28,72,53,53
97,Biotechnology,RGNX,-1.43,-1.7,0.67,0.58,0.44,0.66,0.3,26,53,14,84,2
98,Asset Management,DHIL,-2.55,-0.41999999999999993,0.54,0.65,0.16,0.37,0.59,25,26,32,23,29
99,Farm & Heavy Construction Machinery,MTW,-2.59,1.1300000000000003,0.44,0.23,0.38,0.42,0.49,25,24,87,76,21
