Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
1,Communication Equipment,TSAT,50.96,-4.68,0.48,0.34,0.42,0.36,0.21,99,99,99,97,99
2,Drug Manufacturers - General,AMRN,35.47,-1.490000000000002,0.52,0.55,0.37,0.84,0.42,97,97,97,80,13
3,Banks - Regional,MVBF,23.17,4.020000000000003,0.68,0.59,0.33,0.62,0.13,93,93,93,83,27
4,Oil & Gas Equipment & Services,RNGR,10.17,5.57,0.8,0.61,0.54,0.36,0.22,90,80,47,13,90
5,Apparel Retail,ZUMZ,9.42,7.56,0.73,0.74,0.51,0.43,0.24,87,70,10,1,3
6,Security & Protection Services,MG,8.65,2.7300000000000004,0.67,0.82,0.4,0.4,0.27,83,87,3,10,40
7,Banks - Regional,FNLC,5.25,0.03000000000000025,0.69,0.69,0.41,0.47,0.44,80,83,43,30,30
8,Real Estate Services,RMAX,4.16,0.48,0.71,0.77,0.36,0.44,0.38,77,77,7,7,23
9,Shell Companies,GRAF,2.43,-0.5999999999999996,0.44,0.51,0.67,0.71,0.75,73,73,68,55,62
10,Packaged Foods,MAMA,1.25,-10.29,0.5,0.61,0.32,0.8,0.26,70,90,90,93,7
11,Shell Companies,POLE,0.0,0.0,0.4,0.55,0.77,0.9,0.73,50,47,68,55,62
12,Banks - Regional,COSO,0.0,0.0,0.7,0.59,0.34,0.51,,50,47,68,55,62
13,Shell Companies,VCIC,0.0,0.0,0.27,0.48,0.33,0.75,0.58,50,47,68,55,62
14,Banks - Regional,AVBC,0.0,0.0,0.8,0.63,,,,50,47,68,55,62
15,Shell Companies,ALDF,0.0,0.0,0.66,0.5,0.29,0.6,0.76,50,47,68,55,62
16,Shell Companies,CHAC,0.0,0.0,0.45,0.54,0.81,0.7,,50,47,68,55,62
17,Shell Companies,LPAA,0.0,0.0,0.82,0.6,0.61,0.81,0.64,50,47,68,55,62
18,Shell Companies,ATII,0.0,0.0,0.53,0.44,0.4,0.71,,50,47,68,55,62
19,Shell Companies,TVA,0.0,0.0,0.57,0.59,0.56,0.71,,50,47,68,55,62
20,Credit Services,ANTA,0.0,0.0,0.55,0.56,0.51,0.54,,50,47,68,55,62
21,Shell Companies,GSRT,0.0,0.0,0.53,0.45,0.31,0.64,0.65,50,47,68,55,62
22,Banks - Regional,PLBC,-0.48,1.73,0.63,0.63,0.18,0.38,0.42,30,27,30,87,87
23,Recreational Vehicles,MPX,-0.5,-1.04,0.6,0.61,0.36,0.4,0.27,27,67,33,20,20
24,Security & Protection Services,CIX,-1.56,1.54,0.31,0.57,0.18,0.44,0.38,23,23,13,77,10
25,Entertainment,AMCX,-6.46,1.5599999999999996,0.58,0.75,0.31,0.65,0.18,20,13,1,3,1
26,Asset Management,RFMZ,-6.95,0.08999999999999986,0.3,0.45,0.42,0.25,0.43,17,20,37,27,37
27,REIT - Mortgage,REFI,-6.99,0.29000000000000004,0.6,0.67,0.25,0.34,0.6,13,17,17,23,83
28,REIT - Residential,BRT,-8.85,1.200000000000001,0.7,0.64,0.3,0.62,0.52,10,10,23,17,33
29,Semiconductors,NVEC,-10.6,2.8100000000000005,0.6,0.67,0.23,0.53,0.36,7,7,20,33,17
30,Medical Devices,NPCE,-14.76,1.910000000000002,0.54,0.49,0.39,0.52,0.46,3,3,40,99,93
31,Gambling,GAMB,-25.95,3.09,0.36,0.32,0.22,0.14,0.25,1,1,27,90,97
